time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2037,3192.86,4277.05
0.04,0,66.37,2077.15,3184,4439.32
0.05,0,67,509.32,2129.81,3339.11
0.06,0,66.4,425,2253.78,3402.94
0.07,0,64.52,1354.18,2497,3714.41
0.08,0,62.17,2235.31,3122.91,3869.84
0.09,0,62.36,106.73,1912.42,3037.02
0.1,0,63.05,1531.55,2562.24,3709.36
0.11,0,63.35,1088.4,2316.32,3377.16
0.12,456.05,63.27,1383.56,2667.67,3220.59
0.13,454.8,64.5,626.85,2071.74,3019.88
0.14,464.92,70.53,479.32,2306.3,3118.66
0.15,0,76.67,480.37,2298.29,2972.49
0.16,181.67,78.64,540.27,2204.23,2888.39
0.17,179.92,78.47,628.23,2044.92,2815.5
0.18,178.07,79.79,701.82,1971.23,2689.78
0.19,176.22,81.44,711.78,1964.25,2681.97
0.2,172.64,81.38,705.36,1990.53,2675.2
0.21,0,79.84,719.14,1988.52,2673.91
0.22,369.25,79.1,734.48,1980.08,2672.58
0.23,358.26,78.44,720.88,2001.7,2673.51
0.24,351.5,75.59,708.89,1963.18,2647.85
0.25,335.47,71.1,639.83,1931.92,2610.34
0.26,322.57,68.98,688.15,1952.89,2592
0.27,0,65.92,680.69,1919.13,2673.51
0.28,0,64.12,681.86,1924.2,2731.78
0.29,0,63,693.89,1960.65,2773.72
0.3,394.12,63.58,609.03,1955.89,2834.86
0.31,377.42,63.32,667.82,1957.74,2965.82
0.32,357.21,61.15,695.11,1908.25,2931.4
0.33,347.93,60.57,645.15,1863.42,2801.98
0.34,342.83,60.02,644.21,1943.15,2804.44
0.35,350.74,60.48,628.19,1957.61,2852.99
0.36,0,64.11,553.91,2013.52,2875.93
0.37,0,63.29,632.27,1616.44,2569.5
0.38,0,62.02,735.98,1401.09,2559.53
0.39,0,63.29,661.85,1257.46,2645.51
0.4,0,61.88,658.94,1333.42,2611.74
0.41,0,61.52,865.72,1371.12,2579.66
0.42,377.53,64.91,692.77,1290.43,2703.77
0.43,381.96,65.71,676.26,1126.15,2580.44
0.44,0,63.12,786.82,1063.29,2715.66
0.45,199.75,66.09,534.88,1399.32,3011.9
0.46,197.09,71.81,443.04,807.43,2933.41
0.47,194.17,74.33,524.08,832.06,3128.71
0.48,191.98,75.04,522.4,800.66,3093.93
0.49,189.06,74.97,513.11,742.27,3061.49
0.5,186.43,74.83,488.59,724.97,3063.03
0.51,185.38,74.93,537.87,668.32,2925.88
0.52,184.33,74.92,529.52,707.05,2815.28
0.53,182.64,74.18,494.24,802.25,3076.08
0.54,181.25,72.79,492.38,858.04,3127.99
0.55,180.58,69.58,499.28,962.41,3119.15
0.56,177.57,66.17,406.4,1058.07,2846.7
0.57,176.52,66.88,357.11,985.94,2882.26
0.58,0,66.17,236.97,676.02,2914.67
0.59,0,63.44,319.52,826.72,2918.8
0.6,0,61.28,485.41,1587.04,2628.03
0.61,0,62.62,528.16,1782.09,2531.66
0.62,0,63.89,665.65,1933.08,2889.66
0.63,0,63.94,459.02,1624.31,2957.13
0.64,0,65.66,578.32,2097.56,3393.96
0.65,424.8,65.98,690.38,2298.25,3516.12
0.66,406.67,64.08,394.83,1858.4,3053.58
0.67,0,65.16,354.11,1874.45,2958.63
0.68,0,63.42,275.53,1881.16,3147.44
0.69,0,60.37,333.66,1865.01,3010.62
0.7,0,59.53,1350.26,2516.62,3997.86
0.71,0,60.24,1397.26,2746.17,4031.91
0.72,0,62.95,1820.58,2909,4168.85
0.73,0,63.75,1880.56,2884.59,4162.66
0.74,0,61.75,2422.93,2989.91,4454.14
0.75,0,61.12,668.62,2265.33,3078.69
0.76,0,63.36,2216.23,2541.84,4137.44
0.77,187.27,67.48,291.55,1771.79,2553.06
0.78,181.15,69.81,371.3,2526.89,2813.75
0.79,173.62,68.94,395.51,2645.5,2995.08
0.8,168.98,68.39,382.33,2672.61,3108.39
0.81,165.2,70.19,371.5,2709.64,3064.43
0.82,161.3,71.56,358.18,2759.9,3153.07
0.83,157.39,71.38,361.94,2766.7,3161.28
0.84,240.16,70.4,375.44,2812.56,3214.58
