time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,306.53,1739.88,2768.97
0.04,0,62.5,1246.59,2442.73,3751.48
0.05,0,62.26,165.53,1716.64,2700.61
0.06,0,62.58,255.48,1619.84,2708.12
0.07,186.99,66.44,275.38,1659.02,2731.11
0.08,188.87,68.78,305.32,1756.68,2804.11
0.09,189.31,70.31,288.87,1673.99,2818.42
0.1,189.54,72.25,274.27,1516.88,2511.37
0.11,191.25,74.12,321.52,1512.13,2599.96
0.12,187.01,75.15,510.38,1631.15,3016.07
0.13,182.19,75.6,716.21,1763.82,3112.92
0.14,179.73,75.32,730.41,1637.85,3107.62
0.15,177.95,74.56,757.15,1530.22,3169.13
0.16,176.72,74.43,770.3,1482.29,3245.89
0.17,175.99,75.02,761.51,1413.52,3364
0.18,175.24,75.94,731.81,1364.84,3514.73
0.19,174.75,76.79,708.13,1317.29,3597.22
0.2,174.51,77.4,693.91,1247.84,3684.82
0.21,174.26,77.29,686.98,1214.41,3680.5
0.22,173.72,76.48,676.9,1134.9,3662.3
0.23,173.18,75.51,651.94,1058.72,3540.89
0.24,172.96,74.84,641.04,1080.87,3514.03
0.25,173.04,74.7,631.51,1155.61,3511.38
0.26,173.15,74.82,623.59,1212.7,3458.92
0.27,172.59,74.4,642.21,1247.29,3446.95
0.28,172.1,73.85,649.11,1305.54,3365.52
0.29,171.79,73.99,641.64,1289.13,3285.45
0.3,171.42,74.66,620.33,1218.23,3184.45
0.31,169.78,75.07,615.15,1169.31,3108.58
0.32,168.4,74.69,614.71,1139.13,3074.54
0.33,168.02,74.13,616.34,1080.79,3041.62
0.34,167.42,73.69,565.98,989.8,3017.88
0.35,166.79,73.34,515.49,994.9,2998.19
0.36,166.51,73.58,492.94,1048.71,2988.09
0.37,166.07,73.84,495.36,1033.89,2864.71
0.38,165.63,74.24,514.06,999.65,2830.68
0.39,165.05,74.92,563.21,1063.74,2749.75
0.4,163.58,74.99,612.69,1136.79,2750.88
0.41,161.95,74.54,710.69,1256.39,2743.86
0.42,160.18,75.08,798.48,1350.69,2751.41
0.43,158.43,75.37,820.64,1426.06,2804.22
0.44,156.52,74.93,835.23,1451.54,2797.23
0.45,154.5,74.83,835.68,1466.44,2765.38
0.46,152.27,74.38,841,1478.94,2735.99
0.47,149.82,73.56,842.4,1492.06,2751.96
0.48,147.11,73.31,895.72,1488.67,2771.13
0.49,144.45,73.6,900.5,1460.57,2753.58
0.5,142.12,73.49,877.48,1434.69,2732.92
0.51,141.66,73.42,875.22,1414,2778.12
0.52,141.15,73.02,826.6,1383.38,2813.52
0.53,140.69,72.69,784.19,1341.65,2881.66
0.54,138.37,72.61,748.24,1313.79,2927.86
0.55,135.03,72.61,767.35,1248.7,2979.11
0.56,133.73,72.23,749.79,1180.18,3002.79
0.57,134.17,71.58,716.46,1160.46,3037.19
0.58,0,71.29,686.46,1070.48,3038.2
0.59,0,71.28,663.6,1041.68,3121.2
0.6,0,70.06,645.86,1061.54,3141.56
0.61,0,67.03,687.17,1259.05,3043.79
0.62,0,64,796.66,1375.99,3071.64
0.63,0,62.63,712.23,1403.2,3028.64
0.64,0,60.56,605.97,1420.78,2826.73
0.65,0,60.71,657.72,1334.72,2900.82
0.66,0,60.96,674.57,1238.76,3023.3
0.67,0,60.83,659.7,1056.87,3197.67
0.68,0,60.93,620.57,1113.32,2829.15
0.69,0,59.01,586.11,1097.8,2813.58
0.7,0,58.57,547.63,1106.23,2838.97
0.71,0,58.98,738.32,1093.9,3691.19
0.72,0,56.93,637.81,1106.36,2733.02
0.73,0,58.59,863.29,2201.22,3109.3
0.74,0,61.16,966.42,2503.15,3872.33
0.75,0,61.53,1062.28,2583.29,3872.46
0.76,0,59.52,993.86,2034.19,3402.4
0.77,0,58.06,1080.01,1825.69,3037.18
0.78,0,60.99,1020.11,2390.25,3721.1
0.79,0,61.55,1213.82,2836.71,3830.09
0.8,0,61.02,1193.54,2590.63,3759.33
0.81,0,59.04,435.94,1696.02,3082.35
0.82,0,0,1061.19,2376.13,3387.05
0.83,0,0,0,0,0
0.84,0,0,0,0,0
