time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,266.39,1541.86,2480.09
0.04,0,58.83,250.67,2161.29,3273.86
0.05,0,58.3,247.52,1736.59,3035.74
0.06,0,57.24,238.27,1801.94,3291.07
0.07,0,54.54,319.42,1690.92,2806.84
0.08,0,57.08,248.51,1837.58,2926.16
0.09,0,63.26,866.18,2048.17,3126.16
0.1,0,68.03,591.18,1631.33,2654.02
0.11,0,68.14,640.73,1429.15,2749.21
0.12,0,65.77,812.56,1646.78,3040.75
0.13,404.86,64.39,771.46,1332.23,3038.64
0.14,412.31,64.81,679.39,1318.8,3035.77
0.15,414.28,65.26,806.69,1335.51,3154.7
0.16,252.63,69.72,442.56,1035.37,3148.64
0.17,223.56,75.28,433.15,948.04,3166.96
0.18,221.81,77.43,556.33,934,3397.16
0.19,216,78.07,577.18,889.15,3450.85
0.2,211.79,78.49,584.78,859.21,3547.36
0.21,210.33,78.42,608.35,846.33,3620.24
0.22,211.26,77.87,593.09,874.01,3635.48
0.23,212.57,77.08,587.03,914.59,3583.89
0.24,212.77,76.68,548.2,996.48,3515.44
0.25,213.82,77.26,525.92,1077.57,3420.56
0.26,214.73,78,525.13,1182.1,3424.8
0.27,215.45,78.64,529.89,1325.39,3579.95
0.28,216.46,79.43,538.39,1404.59,3561.39
0.29,216.6,79.9,519.64,1542.71,3446.8
0.3,216.17,79.94,506.15,1670.54,3395.5
0.31,216.1,79.91,471.62,1815.38,3324.22
0.32,216.25,79.86,440.43,1987.01,3191.89
0.33,216.87,79.65,418.56,2333.64,3155.63
0.34,217.89,79.55,389.89,2565.43,2882.39
0.35,219.08,79.83,363.78,2019.88,2841.01
0.36,219.31,80.5,357.54,1989.85,2868.02
0.37,219.77,81.28,348.26,2100.81,2883.55
0.38,220.2,81.77,315.44,1725.78,2852.95
0.39,220,81.99,284.03,1533.22,2841.19
0.4,219.69,82.1,277.15,1441.66,2853.62
0.41,219.87,82.11,281.75,2061.65,2855.28
0.42,219.99,82.06,295.15,2769.87,3223.24
0.43,219.81,81.94,295.16,2688.91,3519
0.44,219.28,81.71,307.29,2608.33,3396.5
0.45,218.72,81.32,322.4,2552.74,3097.86
0.46,216.43,80.87,345.57,2375.18,2845.41
0.47,214.7,80.47,366.58,2305.98,2545.34
0.48,213.97,79.85,390.95,2127.33,2460.09
0.49,213.31,78.93,428.32,1979.04,2360.49
0.5,212.87,78.09,473.52,1851,2309.24
0.51,213.73,77.72,516.95,1832.31,2332.11
0.52,213.87,77.86,540.48,1745.38,2343.29
0.53,212.86,77.95,544.09,1691.26,2395.74
0.54,212.04,77.38,547.01,1671.01,2519.16
0.55,211.24,76.29,533.87,1593.36,2968.49
0.56,209.67,74.72,503.66,1574.03,2765.5
0.57,207.65,72.49,728.13,1684.75,3056.79
0.58,204.35,72.38,480.92,1879.69,2333.17
0.59,201.06,73.87,429.89,1433.46,1998.66
0.6,197.96,75.09,406.94,1209.17,2062.59
0.61,197.08,76.19,415.64,1142.35,2113.13
0.62,195.41,77.25,442.97,1423.06,2513.5
0.63,192.28,78.84,537.35,1458.16,3364.08
0.64,184.01,79.61,603.72,1506.02,3308.19
0.65,177.83,79.58,699.49,1584.42,3261.74
0.66,173.33,78.91,731.85,1610.93,3173.41
0.67,167.59,77.95,780.49,1659.44,3114.85
0.68,162.44,77.93,817.17,1667.81,3065.58
0.69,159.32,78.06,814.94,1680.27,2962.57
0.7,156.15,78.03,802.14,1767.12,2908.58
0.71,154.03,77.34,818.74,1785.87,2857.41
0.72,152.26,76.35,818.58,1817.29,2837.24
0.73,150.24,75.27,785.05,1846.76,2870.95
0.74,148.35,74.64,810.17,1882.02,2862.5
0.75,147.28,74.5,801.16,1892.62,2828.97
0.76,144.43,74.44,746.97,1925.96,2835.97
0.77,142.28,74.19,709.78,1976.93,2832.27
0.78,142.23,73.22,675.77,2040.85,2845.42
0.79,142.82,72.42,663.23,2108.57,2854.67
0.8,143.36,71.79,553.59,2095.84,2837.63
0.81,144.21,70.58,505.33,2082.3,2769.55
0.82,0,67.82,584.08,2047.69,2827.47
0.83,0,66.61,474.82,1985.92,2866.56
0.84,0,67.52,712.7,2136.25,2873.11
0.85,0,67.11,591.1,1997.97,2863.97
0.86,0,64.56,651.77,2043.64,2842.28
0.87,0,62.93,472.37,1980.84,2775.85
0.88,0,63.27,1369.96,2104.05,2931.29
0.89,0,61.62,1376.69,2141.65,2990.29
0.9,0,59.05,784.83,2137.35,2917.7
0.91,0,58.44,482.7,2160.83,2682.33
0.92,0,57.77,547.65,2165.77,2919.09
0.93,0,59.67,424.51,2053.28,2919.82
0.94,0,62.94,532.22,2039.36,2935.43
0.95,0,64.21,679.87,2085.91,2982.18
0.96,0,61.74,742.8,2057.22,2961.17
0.97,0,59.41,1055.67,2072.68,3060.63
0.98,0,61.2,938.35,2140.82,3091.01
0.99,0,62.39,1010.98,1968.11,3123.92
1,0,60.78,652.38,1969.7,2996.93
1.01,0,60.01,1116.05,2207.26,3329.23
1.02,0,60.3,1247.52,2382.7,3517.75
1.03,0,58.94,1505.9,2503.19,3963.05
1.04,0,55.59,1181.3,2345.7,3479.25
1.05,0,54.74,1166.44,2403.58,3628.79
1.06,0,57.68,1601.27,2676.21,3907.1
1.07,0,60.49,1576.57,2626.4,3853.51
1.08,0,0,0,0,0
1.09,0,0,0,0,0
1.1,0,0,0,0,0
