time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.92,148.97,2115.22,3108.75
0.04,0,65.24,373.65,2050.84,3115.63
0.05,0,61.83,377.92,2092.08,3003.91
0.06,0,61.69,627.75,2171.87,3287.12
0.07,0,61.83,1611.49,2680.75,3878.89
0.08,0,58.4,140.19,1660,2658.47
0.09,0,60.48,1779.49,2914.16,4135.71
0.1,0,63.97,178.52,1822.98,2985.18
0.11,0,69.22,454.25,1746.53,2773.68
0.12,0,69.74,434.15,1675.37,2686.36
0.13,0,68.04,678.79,1577,2638.41
0.14,168.74,75.5,1126.49,2719.02,3720.2
0.15,166.1,81.21,482.23,869.3,2748.62
0.16,165.63,84.6,497.66,1092.72,2814.49
0.17,168.4,87.27,515.43,1175.42,2880.4
0.18,171.42,88.33,529.24,1443.23,2932.89
0.19,172.45,88.07,563.26,1415.84,2917.61
0.2,172.11,87.64,576.6,1185.06,2906.22
0.21,171.94,86.95,536.89,1076.22,2912.88
0.22,172.49,85.71,536.61,1076.73,2929.21
0.23,172.52,85.13,545.92,1107.56,2945.01
0.24,170.96,85.63,539.28,1165.06,2988
0.25,169.33,85.9,535,1275.62,2974.05
0.26,168.01,85.39,523.13,1440.32,2981.95
0.27,167.36,84.68,495.77,1575.5,2958.06
0.28,167.32,84.45,449.43,1684.76,2951.75
0.29,167.56,84.68,421.94,1800.17,2943.5
0.3,168.11,84.96,420.69,1927.13,2912.85
0.31,168.48,84.99,437.92,1827.91,2777.21
0.32,168.28,84.75,421.48,1940.4,2662.01
0.33,168.06,84.61,418.5,1924.78,2479.05
0.34,167.66,84.66,420.38,1770.06,2393.87
0.35,167.03,84.6,413.45,1890.14,2390.24
0.36,166.28,84.38,398.37,2240.29,2377.91
0.37,165.23,84.16,380.89,2173.11,2340.78
0.38,163.74,83.86,380.47,1797.53,2291.36
0.39,162.02,83.02,395.36,1679.57,2247.26
0.4,159.05,81.6,410.02,2219.85,3337.24
0.41,155.25,80.92,437.28,2056.92,3253.26
0.42,153.45,81.71,465.21,1966.9,3109.2
0.43,153.82,82.74,473.66,1883.07,2800.22
0.44,155.23,83.87,482.52,1834.62,2329.77
0.45,156.32,84.92,486.61,1770.06,2800.74
0.46,156.73,85.44,476.94,1737.62,3173.43
0.47,157.27,85.4,462.77,1637.83,2979.78
0.48,157.63,84.78,466.96,1580.93,2963.17
0.49,156.75,83.22,475.43,1480.6,3015.94
0.5,150.85,81.01,461.25,1449.64,3028.77
0.51,145.86,79.18,456.19,1608.55,3034.9
0.52,143.48,78.64,562.37,1745.09,3062.34
0.53,142.21,79.77,416.88,1229.25,2987.61
0.54,140.46,80.08,490.76,1248.31,3030.15
0.55,141.82,82.41,520.77,1397.33,3054.7
0.56,139.39,85.56,543.44,1344.41,3060.01
0.57,135.45,87,575.72,1428.56,3029.45
0.58,130.83,87.28,612.82,1473.37,3032.74
0.59,126.35,87.71,628.28,1523.62,3017.78
0.6,120.32,88.4,637.22,1586.4,2946.01
0.61,115.49,88.2,656.15,1615.66,2934.7
0.62,110.84,86.79,669.79,1642.97,2953.93
0.63,105.03,85.71,659.79,1678.37,2985.09
0.64,98.64,84.85,669.58,1716.99,2946.27
0.65,107.19,84.01,667.84,1766.96,2933.39
0.66,112.28,82.86,669.25,1809.07,2934.74
0.67,0,80.29,644.12,1855.38,2938.26
0.68,0,77.82,665.32,1864.8,2992.55
0.69,0,76.09,664.3,1889.54,2927.8
0.7,0,74.94,632.68,1897.23,2955.86
0.71,0,75.5,580,2055.69,2886.71
0.72,0,73.13,596.03,1973.67,2596.26
0.73,0,69.87,579.44,1829.93,2822.24
0.74,0,70.22,524.93,2174.7,2794.57
0.75,0,68.39,544.35,1945.75,2671.74
0.76,0,65.86,606.34,1802.9,2752.6
0.77,0,66.18,573.89,2013.02,2976.86
0.78,0,64.53,532.03,1683.77,2939.25
0.79,0,63.25,575.77,2016.02,2942.89
0.8,0,64.88,530.08,1731.23,2763.23
0.81,0,65.29,498.51,1813.47,2772.21
0.82,0,63.42,494.42,1834.9,2836.77
0.83,0,60.89,522.2,1879.83,2817.54
