time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,66.59,1180.28,2549.05,2864.4
0.04,0,67.53,1346.22,1965.72,2555.17
0.05,0,68.38,1404.86,2086.41,2678.5
0.06,0,68.11,1235.03,2310.09,2721.54
0.07,0,65.73,1489.34,2528.5,3903.83
0.08,0,61.8,1439.21,1947.25,2662.85
0.09,0,64.67,1300.91,2677.3,3486.5
0.1,0,67.22,306.04,1681.86,3085.32
0.11,112.6,70.36,533.19,2631.82,3308.42
0.12,111.95,73.99,594.43,2614.72,3312.36
0.13,112.36,76.42,498.72,904.71,2672.05
0.14,113.95,77.72,515.62,1029.55,2698.16
0.15,115.45,78.1,514.46,1000.97,2668.69
0.16,116.81,77.54,559.43,994.91,2674.31
0.17,119.35,76.72,625.87,1102.91,2712.19
0.18,121.33,76.36,644.24,1129.61,2663.38
0.19,122.78,76.76,667.58,1033.43,2669.11
0.2,124.56,77.69,616.32,1130.21,2645.46
0.21,125.5,77.89,626.27,1090.1,2612.11
0.22,125.74,78.8,547.32,1141.49,2631.74
0.23,125.78,79.69,541.32,1170.03,2623.86
0.24,125.87,79.48,526.85,1139.61,2567.14
0.25,125.82,79.23,515.39,1110.47,2583.27
0.26,125.64,78.75,509.59,1094.33,2522.84
0.27,125.41,79,488.28,1078.86,2517.91
0.28,125.36,79.2,478.87,1054.23,2506.13
0.29,125.49,79.31,476.47,1080.29,2510.3
0.3,125.54,79.39,493.42,1149.74,2521.39
0.31,125.12,79.56,509.63,1186.32,2554.84
0.32,124.36,79.34,527.92,1252.04,2519.28
0.33,123.83,78.5,519.39,1261.07,2504.79
0.34,123.57,77.04,499.04,1281.06,2477.35
0.35,123.22,75.39,480.91,1272.86,2559.87
0.36,122.87,75.62,492.72,1303.16,2477.37
0.37,122.78,75.44,492.55,1341.69,2477.43
0.38,123.36,73.36,458.17,1390.75,2497.57
0.39,124.41,70.22,516.22,1711.67,2372.33
0.4,124.44,67.38,956.65,2603.43,3683.86
0.41,0,66.71,611.68,2101.59,3280.86
0.42,0,67.43,499.15,2140.1,3302.71
0.43,0,67.27,1209.6,2386.11,3261.4
0.44,0,67.24,1417.08,2719.7,3570.59
0.45,0,67.84,1708.43,2277.61,3305.01
0.46,0,67.88,1590.21,2386.3,3331
0.47,0,67.89,1482.18,2402.16,3281.82
0.48,0,69.34,2416.19,2664,3365.98
0.49,0,71.81,287.74,2252.18,2683.75
0.5,125.28,72.65,253.29,2175.2,2814.83
0.51,125.32,73.05,251.36,2151.62,2913.12
0.52,124.98,74.06,256.04,2168.6,2849.82
0.53,124.02,74.29,250.31,2211.96,2875.76
0.54,120.42,74.39,227.6,2184.33,2848.26
0.55,118.97,74.52,221.73,2228.1,2777.89
0.56,115.19,74.29,293.37,2216.03,2680.28
0.57,111.21,74.36,320.94,2088.65,2695.6
0.58,107.66,74.32,322.75,2041.98,2570.36
0.59,106.27,74.34,327.8,2025.16,2503.32
0.6,103.91,73.74,324.91,2029.74,2365.08
0.61,99.04,72.6,346.09,2021.86,2387.52
0.62,95.28,72.15,326.2,2104.92,2330.66
0.63,94.5,72.12,263.15,2069.95,2319.15
0.64,92.78,71.5,295.51,1948.24,2485.69
0.65,0,69.65,331.91,1974.77,2337.06
0.66,332.24,68.85,275.65,2025.95,2277.7
0.67,336.86,70.44,348.06,1864.85,2365.02
0.68,338.11,69.7,348.77,1895.44,2353.83
0.69,336.04,67.64,328.38,1816.31,2395.56
0.7,336.59,66.49,325.86,1760.03,2422.04
0.71,336.54,66.74,310.89,1797.3,2434.98
0.72,0,66.13,322.51,1824.02,2493.72
0.73,0,64.77,306.55,1678.71,2481.67
0.74,0,64.64,270.14,1666.86,2562.46
0.75,0,64.59,280.67,1683.85,2578.05
0.76,0,63.2,2277.52,3453.35,4531.36
0.77,0,62.43,280.73,2019.48,3250.19
0.78,0,61.81,322.02,2084.01,3385.92
0.79,0,60.77,338.69,2157.87,3593.77
0.8,0,62.43,271.39,2324.82,3762.35
0.81,0,63.03,160.75,2730.5,4108.38
0.82,0,62.08,1589.42,2645,4105.28
0.83,0,61.34,1622.22,3434.61,4218.41
0.84,0,60.12,1784.74,3535.92,4392.03
0.85,444.65,61.43,1843.93,3039.34,4080.62
0.86,445.82,63.28,1420.94,2968,4165.37
0.87,449.21,64.54,1486.28,3051.71,4056.81
0.88,451.82,64.37,1411.23,2972.46,4012.81
0.89,473.13,62.94,1565.76,3020.5,4030.46
0.9,475.06,59.87,2116.51,3499.06,4306.36
0.91,0,57.54,1768.42,3423.5,4235.97
0.92,0,57.18,1507.18,3424.84,4082.34
0.93,0,57.22,2208.4,3506.66,4035.97
0.94,0,58.38,1620.27,3190.59,4038.02
0.95,0,59.28,1561.06,3203.22,3840.37
0.96,0,58.67,1698.84,3269.98,4038.77
0.97,0,58.46,2049.21,3373.43,4006.65
0.98,0,58.64,1608.37,3237.96,4003.51
0.99,0,60.32,1552.42,3247.18,4186.55
1,0,62.17,1580.78,3030.57,4264.17
1.01,0,63.03,1257.53,2179.45,3223.86
1.02,0,62.83,1677.8,3162.51,4244.42
1.03,0,60.6,1714.27,2979.18,4035.72
1.04,0,0,1664.39,3003.45,4253.04
1.05,0,0,0,0,0
1.06,0,0,0,0,0
