time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,139.32,1738.29,2954.07
0.04,0,64.05,980.05,2193.91,3445.99
0.05,0,64.8,1287.68,2575.57,3595.48
0.06,0,62.37,1025.96,2542.31,3657.29
0.07,0,60.77,1541.23,2721.28,4025.38
0.08,0,60.81,1750.05,2708.66,4101.28
0.09,0,59.41,283.86,2044.98,3109.69
0.1,0,55.55,697.42,2398.73,3120.26
0.11,0,57.98,204.84,2107.46,3129.11
0.12,0,62.73,126.05,1928.21,2848.13
0.13,0,63.84,82.23,1547.07,2909.77
0.14,226.67,66.81,342.09,2593.91,3201.71
0.15,226.56,75.04,323.01,2681.47,3289.53
0.16,226.66,79.51,326.21,2680.37,3264.43
0.17,228.97,82.41,320.48,2678.17,3268.16
0.18,232.78,84.93,327.26,2703.95,3250.76
0.19,235.64,86.69,303.72,2823.99,3251.6
0.2,238.15,87.09,303.49,2716.38,3221.74
0.21,240.29,86.97,316.5,2635.81,3231.25
0.22,241.01,87.29,311.94,2624.54,3235.25
0.23,240.22,87.83,297.84,2591.64,3211.28
0.24,237.95,87.76,289.78,2595.2,3190.14
0.25,229.97,86.34,267.94,2536.92,3101.02
0.26,217.37,84.08,258.57,2269.88,2721.36
0.27,205.89,82.55,272.11,2555.11,3360.84
0.28,196.85,81.59,250.37,2601.15,3337.46
0.29,191.28,82.01,239.77,2300.48,3078.12
0.3,188.92,83.35,180.29,2023.57,2896.8
0.31,187.93,84.22,223.03,2106.22,2779.08
0.32,181.28,85.11,325.16,2040.98,2352.16
0.33,175.34,87.33,366.35,1901.21,2242.34
0.34,174.78,88.74,400.21,1790.52,2360.98
0.35,173.25,88.26,407.34,1700.03,2141.96
0.36,170.26,87.89,402.51,1601.4,2042.66
0.37,167.23,88.79,416.21,1814.56,2145.22
0.38,165.7,89.04,460.72,1790.12,2417.76
0.39,165.63,89.02,460.77,1773.29,2613.7
0.4,166.86,89.26,450.53,1767.85,2753.22
0.41,168.81,89.09,454.62,1711.44,2477.01
0.42,170.4,88.66,453.51,1692.7,2683.32
0.43,171.12,88.23,470.23,1694.31,3404.22
0.44,171,87.56,447.76,1591.82,2368.01
0.45,169.24,86.23,384.69,1631.09,1751.09
0.46,166.49,83.94,374.73,1593.81,1863.76
0.47,165.76,81.29,405.52,1372.75,1973.61
0.48,167.37,78.15,453.56,1420.82,1956.22
0.49,168.51,74.9,486.29,1432.97,1866.16
0.5,168.79,73.87,438.8,1404.98,1920
0.51,169.67,73.51,415.76,1669.7,1958.71
0.52,170.37,72.4,416.03,1604.74,1767.83
0.53,169.96,71.92,398.37,1677.15,2500.6
0.54,170.46,72.16,373.22,1498.37,2042.38
0.55,198.29,74.32,376.12,1638.04,3186.47
0.56,223.52,79.16,292.21,1839.82,2638.34
0.57,232.91,82.68,341.32,1824.65,2364.08
0.58,242.36,84.85,357.85,1992.44,2355.9
0.59,243.83,85.64,341.96,2157.09,2602.76
0.6,244.92,85.68,352.99,2216.68,2777.1
0.61,245.32,85.92,351.45,2374.54,2965.72
0.62,244.77,86.19,357.88,2404.67,3091.32
0.63,243.35,86.29,361.67,2402.89,3139.52
0.64,241.27,86.34,360.03,2402.48,3151.16
0.65,237.52,86.43,342.86,2391.36,3100.74
0.66,229.94,86.55,311.64,2375.9,2955.54
0.67,221.89,86.58,325.43,2362.86,2736.58
0.68,212.93,86.09,339.51,2212.63,2470.6
0.69,204.6,84.12,329.02,1951.34,2426.94
0.7,0,81.45,359.85,1881.85,2487.01
0.71,0,80.38,309.25,2126.92,2565.41
0.72,0,79.21,280.15,2136.51,2617.71
0.73,115.56,76.82,292.53,2098.65,2608.83
0.74,116.04,74.96,258.07,2260.51,2818.54
0.75,116.94,75.13,235.4,2040.1,2809.42
0.76,117.51,76.38,434.04,1798.57,2192.28
0.77,117.57,80.65,496.62,1601.76,1810.02
0.78,116.31,84.38,517.78,1753.1,1932.69
0.79,0,85.83,500.88,1762.23,1869.4
0.8,0,84.9,479.3,1566.04,1816.21
0.81,0,82.97,501.72,1501.95,1819.42
0.82,247.61,82.26,506.06,1473.63,1780.72
