time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1062.68,2390.44,3546.75
0.04,0,59.45,630.85,2204.16,3101.41
0.05,0,59.46,1704.52,2800.2,4035.53
0.06,0,57.12,1788.76,2959.18,4363.13
0.07,0,56.99,181.05,1804.65,2951.22
0.08,0,59.15,1147.72,2482.11,3615.77
0.09,0,62.02,1627.26,2999.2,4176.63
0.1,0,64.06,1773.03,2927.79,4041.86
0.11,0,68.31,677.51,1879.95,2731.29
0.12,0,75.92,475.35,2436.49,3400.89
0.13,144.37,81.24,403.96,787.17,2841.31
0.14,144.22,83.47,431.38,858,2870.43
0.15,146.02,84.64,429.38,858.49,2790.87
0.16,151.01,86.16,447.66,892.37,2741.92
0.17,159.57,88.08,506.62,1029.91,2694.41
0.18,165.02,89.95,553,1528.32,2426.89
0.19,167.11,90.94,546.02,1601.33,2563.42
0.2,168.13,91.01,546.66,1583.76,2786.7
0.21,169.02,90.72,532.93,1551.7,2726.26
0.22,169.78,90.34,521.24,1534.06,2298.16
0.23,170.63,89.62,525.5,1532.65,2680.96
0.24,172.28,87.74,489.19,989.71,2709.09
0.25,173.96,86.33,471.41,917.1,2725.02
0.26,174.04,86.77,476.03,898.37,2673.23
0.27,173.46,87.33,467.4,854,2633.9
0.28,172.74,87.11,463.35,848.36,2621.44
0.29,171.74,86.5,467.84,869.24,2566.64
0.3,170.1,86.55,463.81,894.79,2525.11
0.31,168.01,87.51,474.34,928.06,2533.62
0.32,165.36,88.39,475.85,1018.99,2570.78
0.33,162.52,88.62,473.89,1082.6,2580.96
0.34,160.36,87.46,484.06,1155.25,2513.12
0.35,158.66,83.59,501.52,1185.91,2421.35
0.36,164.51,78.89,436.65,1163.85,2478.08
0.37,167.2,76.25,422.77,1051.24,2652.43
0.38,167.06,74.31,550.01,848,2494.96
0.39,166.13,72.27,560.6,1083.21,2639.07
0.4,165.41,71.19,518.52,1070.87,2500.74
0.41,164.95,71.46,436.5,1546.15,2578.2
0.42,164.32,72.5,463.85,2049.6,2727.2
0.43,164.44,71.73,497.89,1244.31,2498.34
0.44,165.46,69.48,498.48,1680.65,2760.43
0.45,165.61,67.81,527.37,2246.77,2347.41
0.46,163.96,67.74,497.57,2365.03,3027.27
0.47,163.62,71.52,458.66,2381.12,2706.01
0.48,158.36,76.72,353.46,2117.55,2633.18
0.49,150.37,78.9,331.16,2048.94,2685.2
0.5,148.71,79.07,312.5,2065.87,2711.39
0.51,148.58,78.55,316.28,2074.51,2715.02
0.52,148.71,78.41,308.84,2073.05,2679.63
0.53,148.99,78.36,307.68,2075.96,2674.03
0.54,148.93,78.21,316.47,2074,2634.37
0.55,148.12,78.39,324.32,2059.16,2581.54
0.56,146.55,78.11,327.22,2049.52,2571.09
0.57,142.54,77.8,336.38,2036.96,2508.78
0.58,139.65,77.93,329.59,2065.33,2436.93
0.59,137.96,78.32,312.25,2056.57,2413.09
0.6,134.04,78.35,316.51,2033.5,2398.78
0.61,129.71,78.24,337.76,2010.25,2461.92
0.62,124.48,78.12,357.09,2008.45,2813.48
0.63,119.34,78.3,337.7,2097.37,2641.25
0.64,115.71,78.3,313.12,2135.24,2451.06
0.65,111.75,77.45,312.97,1992.66,2464.77
0.66,110.41,77.52,315.76,1984.45,2452.45
0.67,110.1,77.14,326.97,1965.9,2332.72
0.68,109.08,76.12,314.37,1963.52,2723.1
0.69,108.47,75.37,295.63,1907.14,2752.21
0.7,108.06,72.94,272.33,1848.41,2688.83
0.71,106.76,69.59,285.96,1868.67,2579.71
0.72,108.43,68.38,323.38,1882.57,2671.8
0.73,109.13,68.01,332.97,1865.32,2685.56
0.74,108.17,68.02,308.82,1817.5,2729.61
0.75,108.12,67.52,305.08,1886.3,2886.69
0.76,0,66.99,295.39,1882.6,3108.54
0.77,0,66.97,303.09,1891.03,3339.15
0.78,0,65.81,301.75,1962.75,3488.93
0.79,0,63.67,355.17,2041.27,3693.51
0.8,0,61.9,252.63,2089.42,3541.01
0.81,0,61.14,218.87,1956.87,3870.76
0.82,0,61.31,390.41,1920.07,3507.67
0.83,0,61.07,346.29,2029,3746.38
0.84,0,60.17,1568.67,3153.69,4462.39
0.85,0,61.39,851.18,2134.96,3482.39
0.86,0,63.34,838.7,2137,4026.35
0.87,468.19,63.25,1545.22,2016.89,4075.65
0.88,468.38,62.68,1362.69,2253.32,4223.89
0.89,467.96,61.77,1722.14,2859.38,3921.35
0.9,461.85,61.96,1395.61,2740.57,4327.61
0.91,463.18,63.31,561.8,2145.72,3530.14
0.92,474.28,66.02,1973.54,3502.13,4279.74
0.93,479.31,65.67,1563.52,2335.22,4103.22
0.94,0,61.91,765.5,2197.96,3410.64
0.95,0,57.94,1291,2535.25,4062.45
0.96,0,55.07,1626.57,2958.67,4254.5
0.97,0,55.59,1858.17,3206.18,4541.54
0.98,0,57.26,937.28,2246.01,3735.08
0.99,0,60.39,819.63,2366.52,3359.48
1,0,61.53,440.9,2004.5,3339.33
1.01,0,62.52,1353.84,2837.94,4288.98
1.02,0,61.93,2021.84,3118.23,4964.14
1.03,0,59.92,1791.17,3076.03,3991.52
1.04,0,62.31,1680.28,2824.56,4013.95
1.05,0,60.81,1553.95,2761.31,3484.79
1.06,0,59.11,1831.59,2975.07,3692.79
1.07,0,60.74,1848.28,3014.5,4230.48
1.08,0,0,0,0,0
1.09,0,0,0,0,0
1.1,0,0,0,0,0
