time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1975.53,2989.7,4013.67
0.04,0,59.51,102.97,1875.45,3138.16
0.05,0,63.39,98.46,2129.59,2893.65
0.06,0,63.72,2194.15,2944.28,3696.56
0.07,0,60.15,2242.38,2974.31,4548.17
0.08,0,58.27,2233.47,2745.07,4581.33
0.09,0,58.13,2272.4,2845.18,4569.71
0.1,0,57.24,130.89,2228.16,2919.5
0.11,0,60.61,2054.01,2353.13,3811.19
0.12,0,62.51,1824.52,3163.17,3533.89
0.13,0,59.54,116.74,1969.39,3120.03
0.14,0,60.38,524.97,2385.6,2692.98
0.15,0,65.2,821.71,2337.57,2690.86
0.16,0,67.83,558.06,2260.63,2619.48
0.17,0,68.21,603.82,2479.39,2491.98
0.18,0,67.65,600.09,2142.62,2705.26
0.19,0,68.1,727.83,2103.58,2797.24
0.2,0,71.6,737.45,1925.51,2574.81
0.21,0,80.1,665.4,1841.56,2456.25
0.22,167.21,85.9,661.93,1812.12,2380.64
0.23,166.36,87.44,668.73,1702.12,2364.75
0.24,166.1,86.3,634.8,1593.08,2336.56
0.25,167.73,84.44,587.91,1620.54,2355.64
0.26,169.13,82.44,528.03,1592.61,2382.77
0.27,168.81,78.51,569.57,1577.28,2433.22
0.28,167.73,73.34,451.47,1616.34,2442.91
0.29,167.1,69.12,589.14,1738.28,2809.11
0.3,166.55,66.97,576.25,1652.45,2828.53
0.31,166.68,66.96,564.23,1670.93,2866.52
0.32,166.45,67.38,543.46,1709.57,2945.1
0.33,0,68.62,382.75,1980.49,3046.95
0.34,0,69.51,573.12,2405.66,3264.58
0.35,0,69.04,610.29,2511.63,3530.49
0.36,0,69.37,615.28,2302.65,3328.29
0.37,0,70.02,597.18,2315.89,3670.52
0.38,0,68.8,503.79,2126.01,3331.45
0.39,451.39,66.93,564.22,2202.82,3503.51
0.4,459.49,67.32,446.71,1822.13,3076.58
0.41,465.64,67.07,479.32,1927.06,2915.89
0.42,393.73,66.08,500.64,1877.13,3156.58
0.43,457.44,64.34,460.06,1837.2,3239.1
0.44,458.26,62.54,555.33,1974.7,2934.38
0.45,0,60.31,528.27,2137.32,2849.38
0.46,0,64.95,640.48,2098.51,2634.72
0.47,0,76.75,443.82,1426.97,2660.19
0.48,168.55,82.01,502.87,1393.38,2646.57
0.49,165.17,82.18,561.37,1400.72,2632.59
0.5,160.11,81.11,596.04,1386.75,2661.16
0.51,156.76,79.99,586.57,1258.18,2635.6
0.52,153.38,78.63,414.85,1129.71,2430.05
0.53,148.38,78.3,355.85,1283.51,2485.52
0.54,145.19,78.18,373.43,1307.43,2544.61
0.55,142.71,77.85,355.7,1353.13,2559.51
0.56,140.2,77.47,338.94,1150.31,2583.12
0.57,137.78,77.67,256.47,1365.51,2591.42
0.58,134.78,77.8,297.72,1079.73,2585.26
0.59,132.29,77.95,292.96,1818.93,2576.89
0.6,129.25,77.5,317.59,1685.51,2455.16
0.61,124.11,76.85,307.31,1634.75,2463.01
0.62,121.02,76.64,281.57,1549.26,2572.11
0.63,120.06,76.48,293.95,1735.48,2608.11
0.64,118.94,75.64,228.29,1727.77,2611.34
0.65,116.32,74.35,256.19,1624.27,2530.12
0.66,114.21,73.02,322.64,1734.75,2501.68
0.67,113.68,72.43,244.25,1725.35,2600.99
0.68,114.14,72.52,261.59,1710.37,2672.54
0.69,116.89,73.73,204.74,1977.76,2682.06
0.7,120.26,75.39,298.76,1894.31,2569.78
0.71,123.29,77.86,322.22,1893.58,2513.14
0.72,125.16,79.93,337.44,1981.46,2562.48
0.73,128.68,81.08,350.05,1999.22,2566.77
0.74,130.47,81.42,358.63,2058.27,2621.17
0.75,131.36,81.15,358.91,2068.11,2639.65
0.76,133.08,80.65,374.6,2096.79,2658.45
0.77,134.7,79.98,372.68,2130.85,2686.45
0.78,135.62,79.2,372.35,2150.43,2700.84
0.79,135.71,79.15,351.96,2159.3,2727.8
0.8,135,79.23,342.6,2213.13,2741.31
0.81,131.36,78.75,343.96,2210.45,2771.11
0.82,127.76,77.8,356.48,2166.41,2682.95
0.83,122.86,77.26,330.85,2151.74,2702.99
