time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2186.66,3269.15,4686.53
0.04,0,65.05,121.17,2009.21,3039.26
0.05,0,62.24,1814.15,2770.32,3728.5
0.06,0,61.53,1890.01,2723.01,3557.81
0.07,0,61.25,374.41,2110.61,3056.54
0.08,0,61.44,110.02,1877.12,2995.93
0.09,0,62.16,1511.92,2915.59,3840.7
0.1,0,60.69,1886.31,3073.89,4664.1
0.11,0,61.84,2307.86,3423.1,4447.94
0.12,0,61.67,1748.73,2803.59,4066.44
0.13,0,59.29,225.28,2011.97,3061.13
0.14,0,58.64,1557.16,2717.18,3809.96
0.15,0,59.77,70.72,1857.42,2979.76
0.16,0,58.66,165.81,2031.44,3148.43
0.17,0,56.36,187.94,1788.34,2919.3
0.18,0,58.82,88.82,1989.16,2857.33
0.19,0,63.5,1833.83,3133.33,4022.97
0.2,0,65.54,1676.59,2809.01,3935.95
0.21,0,64.94,384.68,1935.27,2819.83
0.22,0,72.03,527.71,1935.14,2837.99
0.23,136.14,79.86,461.37,2022.02,2750.14
0.24,137.1,83.52,499.14,1880.12,2594.56
0.25,137.44,85.34,545.69,1939.19,2597.82
0.26,136.94,85.96,587.82,1999.55,2681.16
0.27,135.27,86.17,619.49,1879.34,2400.58
0.28,134.89,87.08,669.76,1840.69,2355.37
0.29,135.44,87.83,718.22,1813.46,2350.13
0.3,136.02,87.98,748.91,1674.31,2322.06
0.31,137.08,87.7,771.6,1612.56,2364.27
0.32,139.15,86.97,774.56,1470.47,2339.86
0.33,142.46,86.35,755.74,1372.25,2296.5
0.34,146.17,86.04,715.4,1292.22,2287.29
0.35,150.98,85.67,699.92,1229.37,2308.48
0.36,155.56,85.47,695.24,1106,2262.62
0.37,159.12,84.89,721.63,1100.95,2080.11
0.38,162.98,84.18,710.51,1131.03,2088.96
0.39,166.28,83.59,681.36,999.78,2384.16
0.4,168.46,82.68,643.33,1000.42,2635.95
0.41,169.63,81.21,663.11,1002.76,2539.51
0.42,169.67,80.56,573.86,831.06,2612.84
0.43,170.16,81.01,374.85,1005.18,2508.94
0.44,170.63,80.96,726.79,821.71,2529.42
0.45,169.93,80.15,330.85,1170.39,2535.28
0.46,167.54,78,337.68,1136.26,2495.64
0.47,163.88,74.68,459.07,1131.52,2506.39
0.48,164.42,72.56,852.81,2246.53,2847.1
0.49,168.12,75.6,624.91,1948.91,2721.06
0.5,168.16,80.44,467.8,1536.49,2712.41
0.51,167.62,82.4,469.37,1439.16,2690.23
0.52,166.77,82.03,467.56,1403.17,2702.26
0.53,165.05,80,450.2,1371.39,2640.44
0.54,162.19,76.69,432.9,1432.97,2704.01
0.55,157.99,73.57,376.08,1376.98,2724.16
0.56,155.79,72.92,373.94,1420.35,2731.49
0.57,159.92,75.99,403.34,1398.29,2823.61
0.58,162.9,81.32,459.16,1283.54,2837.25
0.59,163.56,85.17,487.39,1166.23,2860.09
0.6,162.62,86.93,490.41,1022.46,2803.6
0.61,160.35,87.17,477.6,992.25,2830.24
0.62,156.91,86.26,464.85,903.59,2815.96
0.63,152.12,84.31,444.28,854.76,2749.77
0.64,146.85,82.04,428.49,775.81,2684.92
0.65,142.97,79.61,429.06,769.59,2689.84
0.66,140.29,77.88,439.13,887.51,2846.02
0.67,136.01,77.7,426.78,835.86,2926.78
0.68,135.44,79.43,398.75,724.25,2852.81
0.69,136.1,82.05,409.09,682.18,2851.45
0.7,134.19,83.76,436.79,711.46,2837.9
0.71,132.17,84.87,500.62,759.89,2879.46
0.72,130.78,86.08,550.96,806.96,2787.69
0.73,129.4,86.51,605.79,876.09,2836.46
0.74,128.38,86.4,627.08,906.17,2806.06
0.75,127.43,86.28,645.73,891.31,2613.22
0.76,126.46,86.31,675.27,901.4,2599.54
0.77,125.85,86.35,696.18,1006.66,2523.01
0.78,125.2,86,709.35,1076.53,2492.07
0.79,124.47,85.5,706.74,1117.47,2353.64
0.8,123.84,84.93,710.79,1191.89,2298.99
0.81,122.99,84.35,724.28,1277.08,2259.55
0.82,121.94,84.49,707.48,1341.72,2234.92
0.83,120.96,84.93,704.95,1428.29,2216.52
