time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1580,2882.68,4167.9
0.04,0,61.84,1962.98,2962.06,3877.29
0.05,0,62.74,2030.21,3157.51,4272.23
0.06,0,62.58,1943.34,3116.01,4298.59
0.07,0,63.73,1883.32,2694.85,3660.19
0.08,0,66.76,1696.33,2761.56,3940.62
0.09,0,64.65,1620.17,2879.71,3927.36
0.1,0,60.36,1883.08,2865.5,3920.08
0.11,228.78,58.11,1952.89,2928.47,3660.81
0.12,188.73,64.09,642.84,2436.95,3137.57
0.13,171.01,72.96,234.84,2197.59,2932.4
0.14,162.24,77.33,283.15,2130.3,2889.41
0.15,159.73,79.25,305.12,2196.24,2874.46
0.16,158.98,80.89,310.5,2167.27,2833.1
0.17,158.26,82.03,305.74,2150.23,2815.03
0.18,156.74,82.48,306.04,2142.49,2822.13
0.19,156.85,82.78,306.9,2147.71,2807.01
0.2,161.58,83.14,309.51,2110.4,2752.4
0.21,163.83,83.31,315.35,2103.98,2730.85
0.22,165.73,82.88,322.68,2124.14,2688.62
0.23,166.74,82.05,326.57,2194.32,2768.45
0.24,165.61,80.57,323.65,2219.8,2768.27
0.25,164.01,78.76,323.69,2268.2,2659.94
0.26,163.34,76.57,317.91,2269.04,2618.49
0.27,162.35,74.18,315.68,2235.8,2563.92
0.28,162.26,72.58,313.44,2120.53,2427.86
0.29,164.26,71.48,318.48,1978.76,2578.73
0.3,164.54,71.22,340.92,1871.65,2648.32
0.31,163.05,72.65,315.42,1846.25,2684.15
0.32,165.42,75.19,334.01,1886.09,2576.26
0.33,166.82,80.18,372.16,1859.14,2861.38
0.34,166.49,83.04,383.96,1296.87,1860.33
0.35,166.18,83.73,397.39,1308.87,1887.41
0.36,166.1,84.39,404.5,1327.53,1789.37
0.37,165.6,84.88,403.18,1257.4,1791.25
0.38,164.78,84.98,405.55,1189.87,1785.66
0.39,163.85,84.9,405.02,1099.16,1739.24
0.4,162.96,84.13,400.53,1254.59,1502.11
0.41,162.96,81.83,384.27,1292.07,1926.38
0.42,164.68,79.37,339.13,1292.33,2435.87
0.43,164.74,78.6,315.86,1339.04,3037.8
0.44,163.77,77.33,320.15,1316.53,2073.94
0.45,163.62,75.95,327.84,1327.16,2158.43
0.46,118.73,74.7,330.67,1325.46,2220.85
0.47,111.96,74.05,325.99,1390.89,2316.72
0.48,112.09,73.39,329.78,1382.06,2830.81
0.49,111.84,73.68,338.96,1579.78,2760.06
0.5,133.07,76.05,342.94,1892.58,2653.13
0.51,133.71,78.33,326.25,1956.14,2319.22
0.52,131.78,79.44,316.54,1975.98,2432.58
0.53,131.26,79.4,311.17,2028.74,2582.91
0.54,131.11,78.64,338.28,2062.26,2755.23
0.55,131.05,77.65,322.4,2061.74,2763.71
0.56,131.2,76.88,298.25,2060.95,2744.32
0.57,131.38,76.27,310.04,2050.29,2720.53
0.58,131.28,75.9,302.38,2089.32,2966.75
0.59,130.71,76.19,304.28,2082.92,2846.33
0.6,129.87,76.98,314.15,2077.69,2669.36
0.61,128.94,77.67,324.71,2087.31,2663.4
0.62,127.99,78.13,339.69,2041.45,2484.38
0.63,126.88,77.92,355.26,1952.47,2339.4
0.64,124.58,76.74,327.55,1978.3,2355.22
0.65,122.24,74.96,250.36,1955.67,2905.93
0.66,122.59,72.36,243.1,1922.22,2743.95
0.67,122.84,69.65,274.98,1885.7,2741.85
0.68,123.94,66.54,313.36,1990.12,2736.13
0.69,0,64.86,284.69,2084.72,2646.74
0.7,0,64.41,221.41,1973.45,2804.58
0.71,0,63.73,285.91,1942.16,2731.57
0.72,0,67.06,411.9,2042.31,2586.68
0.73,115.28,73.17,423.46,1457.74,2369.63
0.74,113.1,76.62,473.51,1453.44,1949.77
0.75,110.41,76.36,478.65,1462.14,1948.49
0.76,107.85,75.32,474.25,1472.14,1827.84
0.77,106.23,75.16,493.84,1416.79,1807.36
0.78,105.36,73.76,525.04,1450.75,2044.98
0.79,104.48,72.65,535.06,1439.02,1883.48
0.8,0,71.15,533.28,1459.37,1999.82
0.81,0,69.31,509.91,1460.18,2264.73
0.82,0,66.31,477.03,1464.67,2058.84
