time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,640.39,2161.35,3365.86
0.04,0,60.8,1130.97,2241.96,3003.14
0.05,61.85,61.01,312.97,1978.6,2734.08
0.06,61.69,62.01,1863.78,2731.42,4142.71
0.07,61.62,61.95,1711.97,2680.76,4319.71
0.08,61.69,61.27,1834.61,2691.86,4319.05
0.09,61.32,60.94,1861.94,2603.04,3728.57
0.1,61.05,60.09,1939.03,2532.86,3604.83
0.11,0,57.55,2097.41,2345.08,3628.02
0.12,0,57.79,2011.72,2576.5,4160.85
0.13,162.27,66.24,1007.53,2155.99,3179.91
0.14,161.04,76.68,450.46,1849.68,2441.09
0.15,157.29,81.87,479.93,1702.94,2275.65
0.16,149.19,82.59,512.11,1724.68,2311.2
0.17,144.35,82.37,545.36,1760.85,2307.74
0.18,144.31,82.38,557.1,1828.74,2345.04
0.19,145.14,82.44,550.08,1816.23,2297.01
0.2,145.95,82.57,560.05,1794.2,2284.69
0.21,146.67,82.67,570.08,1765.31,2266.91
0.22,147.8,82.93,583.93,1747.98,2188.65
0.23,149.35,83.06,599.31,1723.68,2084.76
0.24,151.05,82.79,608.6,1601.3,1961.02
0.25,152.81,82.4,611.88,1498.65,1899.77
0.26,154.19,82.58,621.44,1498.76,1853.38
0.27,154.83,82.1,626.32,1484.8,1831.66
0.28,154.66,81.15,621.13,1426.54,1838.44
0.29,154.09,81.13,612.95,1403.08,1785.02
0.3,153.89,80.85,605.15,1410.43,1755.8
0.31,154.33,79.63,596.67,1362.83,1738.76
0.32,154.94,78.63,597.71,1382.37,1783.87
0.33,155.25,78.15,591.99,1377.14,1842.11
0.34,155.23,77.64,585.24,1367.76,1894.86
0.35,154.9,76.67,565.19,1460.66,2038.85
0.36,154.33,75.79,524.03,1461.28,2202.61
0.37,153.31,75.29,439.6,1598.06,2383.77
0.38,151.79,75.45,378.03,1580.4,2475.64
0.39,150.41,76.12,380.42,1615.91,2470.22
0.4,148.92,76.08,393.45,1618.85,2470.22
0.41,147.47,75.89,341.4,1485.92,2477.42
0.42,146.23,75.58,355.28,1436.26,2455.23
0.43,144.17,75.18,388.12,1491.77,2415.83
0.44,137.28,73.96,321.69,1271.73,2399.57
0.45,129.2,72.05,397.5,1823.14,2518.5
0.46,124.98,69.78,446.42,2169.97,2716.38
0.47,0,66.09,533.89,1822.39,2886.97
0.48,0,65.47,517.04,1745.46,2559
0.49,0,67.91,492.97,1881.18,2594.62
0.5,0,67.43,486.2,1880.87,2733.81
0.51,0,66.61,414.41,1790.63,2857.24
0.52,0,64.95,361.89,1922.16,2917.13
0.53,0,61.22,438.34,1928.48,3080.92
0.54,0,57.79,563.45,1979.3,3764.98
0.55,0,58.79,1693.57,2242.33,4145.45
0.56,0,60.16,1660.99,2400.13,4125.97
0.57,0,60.83,1734.34,2693.83,4179.18
0.58,0,60.93,532.47,1675.43,2910.37
0.59,0,62.72,1699.46,2756.44,3326.59
0.6,0,64.99,1669.77,2740.83,3303.49
0.61,0,65.9,1337.63,2380.42,3690.83
0.62,0,66.16,1180.79,2467.07,3671.3
0.63,0,64.66,775.24,1638.82,3014.61
0.64,144.28,69.06,730.29,2332.08,3795.34
0.65,142,77.05,448.57,878.7,2316.56
0.66,136.97,80.87,437.3,920.6,2180.67
0.67,132.03,81.55,470.14,917.82,2137.53
0.68,128.92,81.95,493,1017.84,2094.26
0.69,127.01,82.72,508.69,1150.42,1994.6
0.7,124.95,82.91,532.64,1277.82,1961.69
0.71,122.45,82.73,548.85,1383.96,1872.03
0.72,120.08,82.54,557.99,1465.16,1815.48
0.73,117.73,81.95,562.26,1518.52,1898.5
0.74,115.74,81.04,575.05,1512.58,1917.04
0.75,114.19,79.78,560.47,1547.59,2026.56
0.76,111.1,77.77,555.06,1618.04,1964.16
0.77,108.05,75.48,571.72,1628.82,2161.67
0.78,106.09,74.17,554.53,1583.44,2124
0.79,104.48,72.88,552.05,1634.01,2259.3
0.8,103.6,71.09,553.06,1684.51,2287.31
0.81,0,70.15,602.31,1610.9,2293.42
0.82,0,69.42,578.01,1597.44,2262.2
0.83,0,68.18,567.09,1547.49,2204.28
