time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.37,2043.89,3226.78,4074.91
0.04,0,59.39,548.15,1933.05,3166.23
0.05,0,59.62,1190.57,2413.93,3495.78
0.06,0,63.66,147.96,1597.05,2945.8
0.07,0,66.34,1602.32,2726.56,3969.93
0.08,0,66.13,2082.27,3354.62,4451.58
0.09,0,65.91,1295.49,2580.14,3790.01
0.1,0,65.92,1220.01,2563.27,3724.45
0.11,0,65.55,1853.52,3073.07,4133.59
0.12,0,62.87,171.26,1889.23,2942.19
0.13,0,60.67,1552.77,2382.44,3820.44
0.14,0,62.59,449.5,2507.24,2930.1
0.15,0,67.99,431.52,2721.26,3061.24
0.16,0,76.17,327.03,2292.43,2741.83
0.17,152.56,81.9,402.05,2014.81,2663.4
0.18,152.75,85.34,464.17,1991.14,2555.46
0.19,153.35,86.38,527.45,2010.87,2550.26
0.2,154.99,85.04,596.23,1868.86,2440.62
0.21,158.95,83.34,620.18,1745.09,2371.62
0.22,164.53,81.48,611.94,1696.48,2312.62
0.23,170.07,78.41,591.2,1666.45,2370.62
0.24,0,76,601.19,1700.9,2401.39
0.25,0,74.48,565.21,1685.01,2382.35
0.26,0,71.47,510.83,1732.83,2309.55
0.27,0,68.56,576.76,1724.92,2312.36
0.28,0,68.13,527.53,1867.78,2603.08
0.29,463.4,67.21,477.63,1802.58,2333.32
0.3,466.03,67.6,475.16,1817.49,2517
0.31,469.69,68.88,529.59,1898.98,2695.74
0.32,473.96,67.14,488.81,1841,2765.47
0.33,0,65.16,530.1,1865.48,2630.12
0.34,0,66.03,565.5,1793.65,2625.67
0.35,0,66.43,603.89,1785.63,2305.56
0.36,0,65.19,511.71,1868.03,2825.48
0.37,0,65.19,499.36,1914.12,2886.02
0.38,0,66.9,1388.71,2452.94,3617.66
0.39,0,67.35,364.09,1804.24,2870.87
0.4,0,66.92,991.82,2133.06,3586.79
0.41,0,65.58,524.41,1057.84,2378.09
0.42,0,66.45,732.04,1067.74,2440.54
0.43,0,68.51,654.61,1143.61,2467.8
0.44,0,67.07,492.58,1094.29,2561.29
0.45,0,66.19,928.3,2104.69,2723.57
0.46,0,66.88,796.35,2137.99,2719.66
0.47,0,71.74,574.99,927.37,2744.65
0.48,141.27,77.9,492.33,713.91,2691.66
0.49,140.64,80.14,455.52,780.96,2799.92
0.5,138.46,79.99,433.95,743.71,2856.94
0.51,135.13,79.51,429.89,721.52,2902.34
0.52,132.35,80.09,414.43,705.38,2832.94
0.53,130.73,80.7,415.79,684.55,2920.15
0.54,129.82,80.25,419.89,674.23,2921.92
0.55,129.5,79.8,405.62,675.96,2788.01
0.56,129.22,80.02,410.15,710.92,2844.16
0.57,128.08,79.53,394.77,730.32,2921.22
0.58,125.78,77.63,408.38,682.86,2921.45
0.59,120.91,74.63,479.27,2168.19,3726.21
0.6,119.11,72.38,614.15,3122.94,3675.47
0.61,0,71.46,345.22,677.6,3108.9
0.62,0,68.99,313.66,810.17,3018.89
0.63,0,65.35,523.33,2289.02,3497.76
0.64,0,64.74,437.16,2114.59,3668.17
0.65,0,64.77,459.51,1934.61,3220.44
0.66,408.86,64.17,396.43,1779.28,2849.05
0.67,406.67,64.47,386,1882.84,3049.93
0.68,395.87,62.89,412.47,1770.03,2830.33
0.69,391.41,61.64,424.76,1813.62,2720.64
0.7,407.11,63.43,341.45,2197.62,2743.76
0.71,440.31,63.34,360.06,1924.82,2727.19
0.72,0,63.49,360.48,1903.16,2761.35
0.73,0,64.8,1961.13,2661.35,3918.15
0.74,0,64.85,355.46,1914.96,2610.74
0.75,0,61.35,166.01,2273.98,3035.98
0.76,0,61.01,406.92,2150.76,2832.73
0.77,0,69.38,372.19,2000.38,2669.83
0.78,0,76.45,330.3,2079.05,2623
0.79,137.86,78.46,342.81,2074.13,2677.52
0.8,134.04,78.02,342.92,2068.61,2697.43
0.81,130.17,77.68,325.94,2081.02,2738.35
0.82,126.46,76.87,337.84,2099.74,2794.48
0.83,123.01,75.84,295.73,2111.11,2850.46
0.84,122.07,75.81,282.61,2150.93,2868.13
0.85,122.58,75.19,268.22,2145.81,2855.75
