time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,285.45,1797.99,3004.16
0.04,0,61.55,116.5,1871.39,2976.12
0.05,0,62.84,1267.8,2618.41,3675.16
0.06,0,61.13,1976.13,2661.27,3537.39
0.07,0,59.18,613.22,2284.14,3331.36
0.08,0,57.56,169.28,1838.48,2993.34
0.09,0,59.67,155.05,1664.18,2877.04
0.1,0,60.8,156.41,1872.51,2867.11
0.11,0,59.52,161.02,1920.33,2893.97
0.12,0,60.9,1511.95,2633.69,3836.62
0.13,0,61.16,865.07,2027.47,2986.76
0.14,0,58.79,695.23,1745.42,2610.87
0.15,0,56.95,859.96,1571.71,2486.01
0.16,0,57.51,680.81,1428.69,2643.41
0.17,0,65.75,753.57,1272.43,2986.99
0.18,0,76.95,531.61,882.2,2970.14
0.19,168.22,83.12,487.31,887.91,2681.94
0.2,168.01,85.82,503.63,901.16,2746.32
0.21,167.92,86.27,490.96,880.06,2773.35
0.22,168.13,85.32,469.81,856.51,2915.98
0.23,169.27,84.2,440.46,829.11,2934.65
0.24,170.92,83.13,423.48,832.55,2858.22
0.25,171.84,81.85,429.61,851.87,2824.91
0.26,172.07,80.03,455.01,892.11,2820
0.27,172.76,78.82,489.43,1023.49,2529.23
0.28,174.97,80.13,480,1058.25,2517.96
0.29,177.43,82.19,447.67,1183.15,2523.85
0.3,179.3,82.99,412.89,1373.21,2440
0.31,180.47,82.51,406.07,1495.64,2417.88
0.32,179.23,81.62,468.03,1745.16,2301.48
0.33,177.02,81.21,426.83,1831.3,2248.03
0.34,176.04,80.65,427.91,1793.24,2262.89
0.35,175.26,80.35,472.02,1658.04,2307.51
0.36,174.22,80.13,470.94,1716.37,2301.6
0.37,172.6,79.48,461.04,2142.87,2840.93
0.38,169.9,78.81,557.49,2274.44,2844.3
0.39,167.72,78.77,490.06,2196.23,2847.63
0.4,166.34,79.04,439.22,2120.96,2478.36
0.41,165.28,79,451.96,2002.63,2132.15
0.42,164.34,78.83,474.97,1909.48,1978.15
0.43,163.03,79.2,487.91,1774.16,1965.64
0.44,160.92,79.72,491.09,1628.81,1958.46
0.45,158.07,79.76,477.62,1530.96,1933.12
0.46,154.55,79.54,474.99,1517.77,1937.99
0.47,150.78,79.71,475.23,1477.3,2031.36
0.48,146.94,80.01,471.65,1433.65,2123.68
0.49,142.94,79.85,478.04,1362.14,2269.25
0.5,138.97,79.28,481.03,1300.62,2380.54
0.51,133.93,79,468.23,1228.87,2667.17
0.52,130.32,78.96,428.24,1193.2,2773.7
0.53,128.02,77.4,409.97,1326.49,2751.25
0.54,123.22,75.77,381.87,1419.67,2787.18
0.55,122.26,75.84,385.59,1592.71,2934.01
0.56,123.36,76.74,390.51,1270.82,2888.08
0.57,124.92,78.53,453.06,1092.02,2660.29
0.58,125.17,81.17,543.14,1110.35,2596.66
0.59,124.73,82.65,583.85,1161.33,2675.77
0.6,123.98,82.43,603.59,1282.27,2816.67
0.61,122.79,82,603.88,1361.62,2482.08
0.62,121.26,81.87,609.48,1450.14,2499.52
0.63,120.01,81.83,614.15,1534.81,2445.49
0.64,119.14,81.85,610.81,1629.37,2451.41
0.65,118.16,81.78,592.1,1706.28,2426.04
0.66,116.26,81.34,578.19,1753.72,2421.79
0.67,114.67,81.12,569.75,1780.63,2334.5
0.68,112.85,80.03,554.48,1808.87,2315.63
0.69,110.91,78.4,520.86,1870.25,2271.91
0.7,108.59,77.46,483.63,1921.34,2303.86
0.71,107.44,76.78,416.99,2001,2373.63
0.72,103.94,75.12,423.52,2090.94,2349.02
0.73,0,73.02,461.35,2101.15,2681.52
0.74,0,71.28,511.21,1896.69,2294.71
0.75,0,70.64,480.08,1889.34,2319.88
0.76,107.31,69.78,447.07,1864.49,2077
0.77,110.09,69.5,427.79,1956.51,2596.88
0.78,109.66,70.12,396.81,1946.97,2637.51
0.79,108.48,70.06,467.81,1966.83,3362.53
0.8,107.56,68.89,482.15,1958.25,3003.49
0.81,0,67,520.63,1870.19,3044.06
0.82,0,66.26,503.9,1797.44,2988.3
0.83,0,66.36,337.97,1600.64,2583.9
0.84,0,64.76,351.4,1530.74,2472.04
