time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1793.94,2381.11,4292.91
0.04,0,61.02,1440.1,2584.1,4105.61
0.05,0,57.82,155.32,1565.38,2693.16
0.06,0,59.78,1732.01,3041.55,4334.34
0.07,0,63.71,642.17,2156.02,3458.31
0.08,0,64.33,1418.24,2662.64,3888.26
0.09,0,60.87,132.34,1837.91,3029.05
0.1,0,58.18,1568.34,2986.16,4274.48
0.11,0,58.14,538.77,2027.43,3058.08
0.12,0,59.18,75.65,1726.7,2860.69
0.13,0,61.24,1419.51,2692.66,4028.11
0.14,0,61.8,147.84,1938.63,2952.05
0.15,0,59.71,92.21,1910.48,3027.96
0.16,0,56.86,1770.24,2993.97,4206.39
0.17,0,64.65,792.19,1795.01,2864.16
0.18,160.59,75.45,451.18,1855.53,2889.69
0.19,156.58,81.84,443.85,1930.69,2900.52
0.2,155.59,84.35,446.54,2011.15,2905.47
0.21,154.78,84.44,433.47,2089.47,2901.33
0.22,154.1,83.95,401.88,2161.59,2887.16
0.23,153.95,83.48,389.11,2259.78,2901.01
0.24,154.24,82.21,421.09,2342.16,2930.04
0.25,154.6,80.02,426.44,2402.96,2944.17
0.26,154.42,78.06,403.88,2366.46,2939.65
0.27,154.44,77.09,419.77,2282.1,3003.34
0.28,153.09,75.03,423.46,2246.56,2973.52
0.29,152.78,71.42,391.71,2231.46,2932.39
0.3,154.06,68.65,361.02,2253.28,2666.35
0.31,154.06,67.57,358.25,2276.03,2715.28
0.32,153.6,66.61,406.87,2212.65,2915.04
0.33,154,66.23,421.09,2223.88,3049.27
0.34,0,67.34,480.2,2017.78,3097.42
0.35,0,67.25,529.45,1934.14,3101.87
0.36,204.89,69.89,463.52,2013.07,3201.63
0.37,188.73,75.86,327.09,2282.49,3016.64
0.38,183.03,79.14,364.39,2609.24,3124.46
0.39,183.08,80.46,390.43,2698.65,3093.77
0.4,182.13,80.64,442.04,2640.34,3061.32
0.41,181.1,80.09,474.83,2657.02,3037.73
0.42,180.46,78.97,529.82,2696.19,3047.51
0.43,180.3,77.26,717.17,2700.92,3021.64
0.44,180.63,76,832.3,2670.65,2834.43
0.45,182.04,76.62,788.91,2097.45,2858.53
0.46,183.04,77.58,762.41,2037.85,2810.15
0.47,184.31,77.99,713.34,2041.6,2809.8
0.48,185.4,78.41,584.65,2043.84,2748.37
0.49,185.6,79.01,536.98,2048.56,2837.6
0.5,186.35,79.26,606.1,2201.43,2840.14
0.51,182.96,79.13,489.69,2557.79,2925.5
0.52,180.37,77.83,485.17,2379.43,2897.85
0.53,186.75,75.82,522.22,2275.27,2887.86
0.54,183.9,74.12,477.61,1997.47,2844.74
0.55,179.44,71.72,486.98,1936.89,2795.23
0.56,179.86,69.15,585.87,1847.93,2746.51
0.57,180.81,65.44,569.37,1831.13,2692.17
0.58,185.57,61.52,564.14,2196.84,2800.24
0.59,184.38,61.9,611.7,2018.89,2706.82
0.6,185.44,65.54,521.49,1910.46,2756.98
0.61,0,72.65,758.09,1708.87,2673.31
0.62,0,76.81,786.85,1658.45,2657.82
0.63,123.62,79.5,764.31,1596.73,2668.75
0.64,123.76,81.13,784.31,1576.87,2527.64
0.65,123.6,81.2,737.84,1534.39,2413.98
0.66,123.49,81.44,725.56,1529.03,2631.15
0.67,122.65,81.85,720.32,1487.22,2615.72
0.68,122.09,81.79,718.65,1436.68,2560.94
0.69,121.75,81.94,718.14,1395.44,2542.83
0.7,121.32,82.32,726.25,1359.23,2617.89
0.71,121.54,82.84,712.18,1299.41,2646.9
0.72,122.05,83.33,698.86,1251.81,2691.51
0.73,122.08,83.6,688.06,1227.05,2737.8
0.74,122.16,83.69,679.93,1213.33,2780.65
0.75,122.34,83.71,677.29,1187.94,2781.78
0.76,122.74,83.69,676.92,1143.16,2832.35
0.77,123.42,83.54,671.03,1021.69,2845.63
0.78,124.21,83.01,645.14,1029.02,2834.34
0.79,125.47,82.03,613.39,1069.56,2851.33
0.8,126.82,81.22,561.68,1016.81,2821.3
0.81,128.09,80.95,571.02,955.4,2855.32
0.82,129.28,80.3,571.46,901.01,2873.21
