time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,60.04,1151.24,2555.68,3774.27
0.04,0,58.7,846.46,2291.98,3534.44
0.05,0,58.09,204.16,1713.07,2875.94
0.06,0,58.32,155.62,1557.45,2869.35
0.07,0,55.95,1019.76,2406.23,3540.22
0.08,0,57.59,377.85,1990.64,3144.94
0.09,0,61.9,133.83,1741.86,3123.94
0.1,0,62.38,196.72,1943.84,3206.32
0.11,0,62.08,539.96,1855.39,3013.79
0.12,0,63.68,1024.46,2087.32,2780.31
0.13,0,63.95,1229.03,2144.56,2873.32
0.14,0,63.46,502.8,2079.12,2883.58
0.15,0,63.08,846.43,2192.86,3361.76
0.16,0,62.84,122.11,1875.62,2735.91
0.17,0,61.07,167.74,1841.92,2782.72
0.18,0,60.01,156.52,1907.12,3066.87
0.19,0,63.28,1927.69,3181.83,3555.28
0.2,0,66.16,1031.14,1956.89,3294.88
0.21,0,64.94,536.92,2220.48,3132.55
0.22,0,62.81,1081.53,2518.14,3358.04
0.23,0,63.03,602.84,2068.05,3011.9
0.24,0,66.86,673.16,2056.23,2816.37
0.25,0,74.67,389.4,2010.79,2767.46
0.26,135.52,79.08,526.6,1969.85,2672.87
0.27,133.78,81.61,660.67,1881.42,2777.19
0.28,132.94,84.03,741.22,1808.18,2587.16
0.29,133.27,86.07,767.52,1757.2,2458.23
0.3,134.44,87.5,780.17,1724.09,2453.74
0.31,135.95,88.44,792.65,1709.46,2518.32
0.32,137.28,89,790.41,1675.57,2558.32
0.33,138.37,89.09,790.87,1664.74,2636.38
0.34,139.95,88.97,794.57,1670.19,2726.86
0.35,141.57,88.84,783.11,1669.28,2876.21
0.36,143.8,89.05,763.54,1677.51,2960.27
0.37,147.38,89.33,763.83,1700.19,2791.92
0.38,151.51,88.77,753.79,1721.57,2644.93
0.39,155.41,87.55,764.78,1733.51,2579.43
0.4,157.09,85.38,736.15,1732.13,2514.64
0.41,155.88,81.67,765.09,1742.08,2535.94
0.42,151.65,76.56,752.31,1720.87,2599.74
0.43,150.96,73.06,762.08,1624.15,2504.45
0.44,149.45,72.79,765.84,1656.85,2516.91
0.45,146.27,73.01,740.98,1689.46,2458.99
0.46,0,72.22,787.89,1855.94,3177.2
0.47,0,73.13,841.93,2045.77,3266.81
0.48,0,74.54,980.39,1953.82,3394.04
0.49,0,75.13,1020.36,1855.4,3469.52
0.5,0,76.13,874.34,2330.46,3488.12
0.51,0,75.42,947.67,2034.87,3384.95
0.52,0,73.2,895.98,1835.05,3373.55
0.53,0,71.48,857.87,1856.98,3545.83
0.54,0,69.8,816.07,1860.37,3488.1
0.55,0,69.63,772.89,1701.69,3370.77
0.56,0,69.61,1491.08,3220.28,4407.14
0.57,0,69.36,801.48,1793.28,3368.6
0.58,0,69.41,724.37,1913.24,3301.18
0.59,0,73,453.73,1776.68,3286.8
0.6,176.38,77.96,410.3,1623.4,2889.41
0.61,175.04,79.8,501.45,1565.43,2869.66
0.62,174.2,79.9,581.12,1571.14,2952.69
0.63,171.78,79.58,626.25,1636.63,2996.28
0.64,168.98,79.29,548.63,1720.85,2676.78
0.65,167.88,79.63,409.5,1449.29,2457.17
0.66,167.47,80.18,437.83,1715.86,2492.52
0.67,166.67,80.52,395.91,1736.62,2581.15
0.68,165.98,81.14,407.28,1735.97,2556.98
0.69,165.26,81.83,400.48,1964.31,2427
0.7,164.42,82.15,395.78,2321.37,3138.68
0.71,162.68,81.85,393.87,2284.45,3114.89
0.72,159.98,81.21,393.08,2185.89,2841.09
0.73,156.84,79.9,365.76,1762.13,2847.66
0.74,150,77.81,365.39,1625.01,3082.04
0.75,145.44,75.45,368.9,1758.74,3310.25
0.76,130.22,72.83,330.6,1760.24,3400.58
0.77,120.23,72.1,332.03,1789.19,3397.67
0.78,116.03,72.6,259.2,1814.26,3351.15
0.79,115.16,72.7,302.87,1907.49,3454.23
0.8,122.07,72.48,296.27,1786.53,3573.3
0.81,130.65,73.5,310.19,1794.19,3250.84
0.82,135.85,75.24,169.45,1812.23,2900.64
0.83,137.68,78.44,280.28,1885.6,2936.5
0.84,138.63,80.95,289.06,1949.72,2928.75
