time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.13,195.48,1835.64,2873.51
0.04,0,58.93,766.6,2327.91,3521.28
0.05,0,58.2,148.51,1673.05,2613.52
0.06,0,55.05,146.62,1941.74,3128.38
0.07,0,56.6,1876.78,2832.15,3708.56
0.08,0,61.18,1932.65,2907.57,3792.39
0.09,0,63.45,979.13,2598.16,3824.89
0.1,0,62.19,2174.97,2676.89,4311.46
0.11,0,57.9,631.9,2257.08,2943.5
0.12,0,59.53,122.74,2230.38,3422.17
0.13,0,64.59,2121.1,3617.48,4431.81
0.14,0,65.55,2069.16,3242.43,4371.22
0.15,0,63.59,795.04,2424.87,3470.12
0.16,0,62.28,179.25,2205.17,3312.63
0.17,0,64.55,1573.7,2832.54,3900.73
0.18,0,69.1,2041.5,3111.03,3579.8
0.19,0,73.41,857.2,2072.08,3248.71
0.2,155.1,78.38,924.1,2497.46,3645.37
0.21,155.19,83.95,400.33,2161.7,3084.41
0.22,160.71,87.19,462.18,2123.05,3028.35
0.23,162.58,89.08,498.74,2098.56,3013.5
0.24,164.54,89.77,529.51,2066.1,3037.84
0.25,166.49,89.42,567.18,2010.22,2962.09
0.26,168.96,89.21,625.74,1942.57,2935.61
0.27,171.26,89.87,672.41,1914.16,2960.8
0.28,172.89,90.71,689.55,1894.3,2961.44
0.29,174.56,90.79,706.44,1871.77,2921.22
0.3,175.76,90.29,709.49,1854.36,2893.63
0.31,176.06,89.39,689.66,1840.47,2867.23
0.32,175.97,87.42,677.57,1849.65,2863.13
0.33,174.92,84.26,675.47,1845.72,2879.85
0.34,174.01,81.27,590.46,1834.48,2921.96
0.35,172.57,78.08,569.3,1907.21,2827.85
0.36,172.83,73.45,613.44,1920.49,2813.49
0.37,173.41,70,641.23,1880.84,2892.5
0.38,173.87,69.93,587.14,1920.83,2874.3
0.39,174.93,69.98,532.48,1914.92,2903.06
0.4,0,69.62,604.88,1947.46,2931.18
0.41,0,69.59,632.34,1916.31,2924.85
0.42,0,70.44,666.7,2067.99,3163.24
0.43,0,70.27,604.48,2084.38,3296.64
0.44,0,69.01,562.58,1967.87,3213.48
0.45,0,69,411.78,1845.71,3235.71
0.46,0,67.8,553.52,1865.51,3149.85
0.47,0,65.42,598.92,1825.89,3047.37
0.48,0,63.51,574.15,1904.62,2944.14
0.49,0,62.04,548.9,1896.19,3193.1
0.5,0,63.51,552.08,1828.57,3030.47
0.51,0,63.78,516.53,1713.06,2784.67
0.52,0,62.46,546.42,1811.17,2965.63
0.53,0,62.12,527.91,1818.87,3099.55
0.54,0,62.07,400.91,1848.56,3062.12
0.55,0,66.22,1214.39,1698.08,3127.58
0.56,0,70.47,1172.82,1681.27,3018.89
0.57,0,69.99,825.92,1631.45,2826.18
0.58,0,68.06,816.74,1651.36,2781.17
0.59,0,67,1146.47,1592.25,2782.82
0.6,0,64.23,975.84,1403.2,2447.24
0.61,0,63.55,857.22,1560.56,2645.18
0.62,0,68.72,791.41,1539.78,2619.89
0.63,0,76.89,513.56,1012.31,2537.76
0.64,149.63,82.41,575.01,914.08,2715.63
0.65,148.31,85.15,655.81,907.49,2794.52
0.66,145.53,86.07,691.3,873.08,2791.93
0.67,143.85,86.27,673.18,804.71,2849.14
0.68,143.26,86.15,643.78,703.16,2916.98
0.69,143.19,85.69,664.56,697.62,2956.84
0.7,143.15,85.36,574.71,787.48,2940.3
0.71,142.57,85.1,569.12,776.93,2974.01
0.72,142.08,84.36,561.79,733.1,3023.45
0.73,141.47,83.26,587.67,708.27,3043.97
0.74,140.09,82.11,561.37,662.58,3048.08
0.75,138.92,81.38,474.86,692.62,3071.43
0.76,137.97,81.23,493.73,726.54,3071.79
0.77,136.45,80.96,425.42,687.44,3094.68
0.78,134.81,80.36,390.13,763.61,3099.51
0.79,130.89,79.12,414.38,849.53,3087.22
0.8,114.47,77.15,486.63,765.99,3045.68
0.81,114.86,75.82,537.58,2460.19,3334.75
0.82,116.83,74.85,312.12,777.84,3044.34
0.83,130.67,74.03,415.57,1399.15,3238.54
0.84,135.06,72.96,459.93,1728.92,3336.82
