time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.26,174.38,1846.37,3152.14
0.04,0,63.92,91.36,1726.18,2537.65
0.05,0,65.7,2092.95,2924.47,4379.41
0.06,0,65.35,1968.46,3207.64,4183.16
0.07,0,62.76,1232.28,2532.36,3907.63
0.08,0,61.53,2073.69,2850.23,4387.31
0.09,0,63.25,1796.89,2783.34,3962.96
0.1,0,63.42,2009.26,3207.21,4271.7
0.11,0,63.22,2104.5,3224.23,4319.87
0.12,0,64.9,1496.27,2712.56,4002.85
0.13,0,66.56,997.7,2401.94,3415.26
0.14,0,67.46,1902.82,2958.75,4019.83
0.15,0,67.31,1896.75,2792.98,3747.14
0.16,0,64.95,638.84,2197.71,3182.77
0.17,0,61.64,1536.19,2357.54,3700.98
0.18,0,61.58,164.75,1732.87,3086.95
0.19,0,66.86,311.18,2461.4,2937.77
0.2,120.98,73.59,296.44,2696.37,2808.94
0.21,128.78,77.6,277.69,2694.52,3495.88
0.22,136.21,79.38,285.08,2639.77,3326
0.23,140.49,80.55,288.07,2617.9,3369.39
0.24,145.17,81.61,297.08,2606.79,3284.52
0.25,151.27,81.92,308.35,2581.62,3278.51
0.26,157.83,81.78,321.01,2589.06,3259.42
0.27,160.88,82.23,326.73,2554.7,3238.98
0.28,165.36,82.12,340.03,2617.09,3264.04
0.29,174.37,81.27,348.01,2578.15,3255.98
0.3,180.83,80.47,340.21,2564.35,3204.17
0.31,184.08,80.92,322.01,2479.94,3163.36
0.32,186.62,82.12,320.11,2534.7,3149.05
0.33,187.62,82.31,309.62,2547.25,3036.63
0.34,187,81.36,313.67,2527.74,2892.46
0.35,181.2,78.39,325.09,2451.55,2674.03
0.36,172.52,74.89,362.82,2382.62,2527.99
0.37,168.21,75.95,360.04,2453.01,3253.98
0.38,159.37,76.5,319.79,2512.41,3471.55
0.39,149.29,75.87,319.37,2331.55,2785.21
0.4,136.79,74.98,288.36,2113.09,2492.67
0.41,125.83,74.17,197.11,1929.31,2405.77
0.42,125.32,76.7,1878.31,2433.05,3619.65
0.43,126.22,81.11,739.07,1971.81,2615.28
0.44,125.49,84.41,333.24,1828.7,2169.43
0.45,125.3,86.68,399.97,1801.16,2125.23
0.46,124.71,87.67,443.06,1671.87,2102.66
0.47,122.03,88.02,488.47,1734.49,2099.13
0.48,119.72,88.68,492.5,1728.01,2361.75
0.49,118.62,88.95,491.62,1716.56,2513.03
0.5,117.66,88.71,511.91,1720.43,2529.8
0.51,116.94,88.47,526.1,1735.07,2562.53
0.52,116.76,88.24,524,1745.42,2501.73
0.53,117.03,88.3,515.29,1691.33,2509.23
0.54,116.93,88.69,506.59,1694.9,2599.95
0.55,115.88,88.71,504.89,1692.54,2555.77
0.56,114.86,88.63,507.47,1688.5,2724.86
0.57,114.39,88.86,505.22,1686.72,2793.61
0.58,114.17,89.2,496.67,1680.96,2827.36
0.59,114.13,89.15,502.74,1676.65,2606.63
0.6,113.96,88.5,524.32,1674.24,2530.08
0.61,113.59,87.57,553.3,1679.76,2572.87
0.62,112.87,86.92,563.21,1664.21,2595.05
0.63,111.87,86.45,576.32,1648.84,3211.71
0.64,111.1,86.15,600.33,1647.75,3364.54
0.65,111,86.3,543.96,1649.45,3083.15
0.66,111.4,86.87,507.08,1654.49,2787.1
0.67,111.8,86.96,498.02,1662.59,2370.75
0.68,111.93,85.7,476.98,1587.36,1851.97
0.69,111.63,82.74,435,1449.74,1774.24
0.7,111.11,79.12,391.97,1506.83,1664.6
0.71,111.15,77.26,396.31,1584.26,1699.1
0.72,111.9,75.91,440.69,1599.2,1707.24
0.73,112.52,73.63,462.78,1428.29,1834.07
0.74,112.91,70.69,489.94,1613.95,1702.91
0.75,112.83,68.15,465.92,1595.55,1771.08
0.76,112.18,66.44,481.87,1521.03,1855
0.77,0,65.04,500.89,1515.91,1804.67
0.78,0,64.96,451.33,1460.96,2458.1
0.79,0,64.76,269.71,1477.03,2711.04
0.8,0,65.17,211.38,1433.37,2076.96
0.81,0,64.68,322.47,1435.86,2008.18
0.82,0,64.7,330.79,1539.48,1839.93
0.83,0,64.52,337.59,1674.65,2516.87
