time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.79,1868.71,2450.18,3176.7
0.04,0,61.64,1898.06,2720.25,3881.22
0.05,0,60.16,1864.36,3135.13,4335.31
0.06,0,62.75,677.18,2324.86,3456.8
0.07,0,64.46,1919.84,3140.11,4296.41
0.08,0,62.88,1845.93,3103.87,4215.82
0.09,0,63.84,656.84,2421.21,3606.63
0.1,0,61.86,191.45,2015.7,3068.29
0.11,0,62.22,1276.95,2725.68,3829.25
0.12,0,73.59,897.33,2199.78,3397.41
0.13,0,81.92,511.25,1773.64,2580.24
0.14,217.06,85.6,549.53,1815.53,2639.23
0.15,217.9,87.07,573.21,1894.78,2727.73
0.16,220.24,88.04,567.16,1944.18,2732.89
0.17,222.83,88.82,547.66,1941.32,2750.14
0.18,224.89,88.97,537.52,1943.57,2757.51
0.19,226.86,88.64,556.91,1941.33,2743.43
0.2,228.31,88.53,595.56,1928.99,2729.06
0.21,229.86,88.56,604.15,1938.25,2665.23
0.22,231.79,88.54,592.37,1967.56,2650.99
0.23,233.17,88.47,594.57,1946.84,2526.79
0.24,233.29,88.54,599.61,1887.67,2422.57
0.25,232.5,88.79,593.39,1873.54,2554.78
0.26,231.48,88.98,599.17,1848.35,2511.5
0.27,230.21,89.2,594.63,1828.55,2392.35
0.28,228.2,89.4,571.35,1806.42,2246.49
0.29,226.21,89.34,553.67,1784.93,2295.18
0.3,224.69,88.97,529.13,1706.59,2070.03
0.31,223.5,88.27,535.84,1681.65,1920.24
0.32,222.49,87.48,529.94,1695.69,1898.51
0.33,222.3,87.41,471.03,1686.99,1968.56
0.34,222.75,87.46,473.58,1679.21,1998.06
0.35,221.96,87.03,469.39,1704.41,2032.21
0.36,220.39,86.23,465.23,1770.16,2311.43
0.37,218.47,85.14,397.08,1769.96,2919.73
0.38,217.39,84.38,440.06,1775.71,3055.27
0.39,216.29,83.34,391.93,1793.52,2612.36
0.4,215.67,82.52,592.62,1865.13,2625.01
0.41,214.89,82.07,786.3,1896.82,2997.35
0.42,213.33,81.62,390.39,1797.88,2767.63
0.43,211.79,80.95,764.85,1831.43,2870.28
0.44,209.52,79.61,329.01,1766.31,2924.54
0.45,203.57,77.13,354.66,1762.95,3052.99
0.46,196.2,75.91,372.32,1713.58,3098.64
0.47,200.2,77.31,246.47,1737.75,3101.88
0.48,203.65,76.53,241.05,1799.4,3292.79
0.49,203.53,72.68,1245.29,2723.86,4090.33
0.5,0,69.5,214.14,1810.83,3213.08
0.51,0,70.26,277.35,1938.81,3333.34
0.52,0,71.05,1959.95,3356.78,4525.9
0.53,0,71.44,1713.93,3203.71,4493.14
0.54,0,71.5,750,2296.23,3585.89
0.55,0,72.23,1257.59,2712.86,3982.47
0.56,0,73.48,1761.14,2963.27,4342.76
0.57,0,72.91,1740.29,2929.89,4271.01
0.58,0,69.93,1226.62,2134.98,3560.92
0.59,0,65.25,566.4,1641.15,3029.6
0.6,0,62.75,1594.04,3263.3,4156.36
0.61,0,62.03,1674.17,3318.31,4198.99
0.62,0,61.98,285.91,1719.85,2963.32
0.63,0,60.82,383.76,1709.28,3004.96
0.64,0,63.34,794.46,1620.9,3146.76
0.65,0,68.8,749.56,1372.4,3251.76
0.66,234.05,74.31,483.62,761.31,2941.22
0.67,233.01,79,387.19,599.74,2749.53
0.68,233.69,81.68,429.51,652.65,2723.08
0.69,235.96,83.48,431.73,700.77,2728.13
0.7,238.33,85.5,477.14,723.48,2730.81
0.71,240.78,87.68,599.88,731.28,2656.26
0.72,242.6,89.23,603.4,1253.5,2429.57
0.73,241.56,89.5,575.76,1156.38,2593
0.74,238.43,88.6,602.93,1304.79,2602.7
0.75,234.24,87.19,645.41,1526.57,2569.08
0.76,229.57,85.91,671.48,1639.98,2550.5
0.77,224.15,85.13,635.98,1734.82,2580.55
0.78,216.98,84.49,611.42,1787.06,2642.25
0.79,211.93,84.16,635.68,1837.7,2656.74
0.8,0,83.69,659.63,1867.04,2609.95
0.81,0,82.81,639.58,1860.75,2572.42
0.82,0,81.97,651.23,1910.08,2577.48
0.83,0,81.69,661.34,1877.42,2481.53
