time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1690.68,2322.74,3902.84
0.04,0,58.89,1338.83,2462.19,3535.32
0.05,0,60.43,1288.34,2507.21,3343.8
0.06,0,62.34,1195.91,2527.57,3464.98
0.07,0,63.29,1213.37,2512.32,3528.78
0.08,0,67.82,1246.64,2473.95,3421.82
0.09,0,72.45,506.63,1285.87,2373.62
0.1,0,72.48,445.18,1251.76,2336.53
0.11,0,69.73,351.36,1349.83,2523.26
0.12,0,66.25,823.77,2154.38,3282.27
0.13,0,63.2,882.75,2208.64,3305.97
0.14,0,62.94,794,2181.82,3510.62
0.15,0,63.3,503.22,1626.85,3151.06
0.16,0,62.9,1033.26,2139.17,3131.53
0.17,0,64.32,345.34,1759.6,3508.27
0.18,0,63.69,1668.08,2291.49,3713.37
0.19,0,64.36,1893.43,2480.63,3141.69
0.2,0,70.34,2039.07,2424.63,3549.17
0.21,143.88,76.71,276.37,2273.01,2612.38
0.22,143.82,79.8,308.98,2269.58,2658.73
0.23,143.16,80.12,303.8,2264.85,2692.8
0.24,142.23,79.63,295.11,2255.4,2746.8
0.25,141.8,79.77,293.03,2272.88,2744.53
0.26,139.13,79.47,293.81,2198.87,2669.42
0.27,137.65,78.05,288.81,2152.83,2597.71
0.28,137.55,75.99,262.01,2219.15,2815.93
0.29,137.69,73.77,251.9,2309.95,3123.91
0.3,0,71.06,217.83,2296.38,3361.28
0.31,0,68.25,1237.11,2837.99,4114.32
0.32,0,65.84,312.31,2156.42,3619.59
0.33,0,65.9,1244.62,2960.32,4232.97
0.34,0,66.82,2075.08,3366.26,4741.23
0.35,0,66.68,1307.92,2075,3509.85
0.36,0,67.05,1602.33,2139.11,3554.82
0.37,0,71.05,823.53,2011.97,3152.62
0.38,0,75.61,376.59,1755.01,2470.3
0.39,0,76.97,376.99,1802.18,2414.42
0.4,0,75.63,1685.36,2369.85,3350.77
0.41,0,74.03,1720.1,2266.41,3341.33
0.42,0,72.52,379.88,1976.4,2872.83
0.43,0,70.18,376.04,1745.75,3172.25
0.44,0,67.66,370.66,1802.33,2713.18
0.45,0,65.65,419.59,1775.47,2704.05
0.46,0,65.05,420.85,1755.25,3019.55
0.47,0,64.18,371.49,1704.9,2447.91
0.48,0,63.16,433.69,1702.45,2469.84
0.49,0,64.09,668.41,2142.85,2766.37
0.5,0,67.16,988.48,2356.95,3007.03
0.51,0,67.1,632.98,2407.68,2585.43
0.52,0,65.46,2264.28,2642.75,4223
0.53,0,69.37,330,2226.49,2772.02
0.54,0,74.17,404.85,2138.46,2546.99
0.55,0,76.56,446.59,2066.37,2522.73
0.56,0,77.42,441.76,2067.56,2534.89
0.57,0,75.97,406.11,2057.96,2564.31
0.58,0,75.01,422.67,2085.58,2581.33
0.59,0,75.63,453.43,2112.01,2558.06
0.6,402.79,75.71,450.61,2090.06,2563.63
0.61,401.32,74.36,438.56,2087.62,2544.34
0.62,400.75,72.44,422.94,2116.41,2523.48
0.63,401.63,71.73,406.34,2138.1,2489.45
0.64,404.41,71.62,378.11,2106.51,2384.97
0.65,414.92,69.82,355.41,2128.88,2450.37
0.66,417.93,66.3,387.03,2066.07,2667.73
0.67,421.86,65.47,369.45,2074.4,2627.88
0.68,0,67.73,340.13,2076.89,2572.63
0.69,0,68.05,280,2114.19,2926.89
0.7,0,65.66,289.92,2107.02,3007.25
0.71,449.89,62.12,379.76,2101.95,3009.29
0.72,446.27,60.76,915.04,2189.75,3238.94
0.73,445.38,63.94,907.38,2258.49,2393.41
0.74,446.75,65.24,916.52,2248.01,2468.18
0.75,455.74,64.59,403.71,2330.92,2665.03
0.76,428.17,62.77,1438.41,2363.69,3364.18
0.77,457.36,60.51,266.71,2284.41,2550.89
0.78,475,60.08,1454.16,2742.43,3602.2
0.79,481.84,61.04,404.56,2384.77,2732.21
0.8,483.83,61.88,378.96,2396.31,2525.71
0.81,493.56,63.8,2091.57,2496.21,3812.79
0.82,454.72,64.68,1741.29,2276.77,3436.73
0.83,0,62.06,1763.56,2373.83,3653.38
0.84,0,57.99,1695.59,2271.35,3142.75
0.85,0,54.99,1681.79,2301.22,3211.44
0.86,0,55.02,1683.5,2130.34,3060.04
0.87,0,55.13,1727.75,2444.77,3277.69
0.88,0,58.03,1561.45,1984.18,3030.33
0.89,0,60.43,1720.76,2560,3444
0.9,0,58.05,1642.46,2511.58,3113.66
0.91,0,0,0,0,0
0.92,0,0,0,0,0
0.93,0,0,0,0,0
