time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.16,787.74,2128.8,2912.55
0.04,62.42,59.35,366.3,1865.13,3144.16
0.05,61.3,56.55,570.59,1964.6,3443.24
0.06,62.11,57.38,728.88,2293.27,2945.65
0.07,61.96,58.5,890.1,2388.96,3724.18
0.08,0,62.73,1155.96,2180.02,3378.29
0.09,0,65.95,1466.07,2335.19,3450.69
0.1,0,65.96,1526.39,2473.99,3770.15
0.11,0,63.44,1382.95,2420.71,3544.29
0.12,0,59.53,1563.39,2351.45,3530.69
0.13,0,56.49,1674.65,2469.59,3506.2
0.14,0,54.22,1666.44,2410.83,3264.2
0.15,0,56.43,1414.24,2278.66,3206.55
0.16,0,60.93,1430.1,1949.38,3045.63
0.17,126.06,67.13,438.16,1866.44,2563.16
0.18,119.79,71.37,512.18,1756.59,2317.72
0.19,118.26,73.33,545.61,1748.55,2293.67
0.2,118.98,74.35,563.84,1726.22,2240.31
0.21,119.73,75.13,581.31,1735.55,2235.86
0.22,120.34,75.54,603.01,1758.29,2259.11
0.23,121.06,75.98,616.66,1747.44,2209.1
0.24,122.05,76.48,600.21,1753.56,2068.07
0.25,122.78,76.62,571.24,1731.14,1988.68
0.26,123,76.82,586.32,1744.9,1929.28
0.27,122.81,77.1,561.75,1735.7,1881.77
0.28,122.48,76.92,546.88,1709.91,1883.92
0.29,122.07,76.81,537.63,1729.49,1773.58
0.3,121.61,76.79,517.97,1637.9,1803.32
0.31,121.19,76.9,509.88,1621.54,1806.3
0.32,120.64,76.99,495.06,1733.76,1797.83
0.33,119.92,76.77,457.72,1759.91,1825.59
0.34,119.05,76.58,418.7,1788.19,1909.02
0.35,118.28,76.53,411.65,1805.72,1970.88
0.36,117.66,76.29,419.81,1781.76,2191.28
0.37,117.15,76.01,416.14,1699.06,2395.62
0.38,116.75,75.79,401.57,1697.55,2549.41
0.39,116.24,75.43,341.13,1708.96,2641.57
0.4,114.82,74.71,271.19,1664.49,2626.51
0.41,113.41,74.05,221.41,1727.87,2860.41
0.42,113.38,74,194.97,1708.55,2833.61
0.43,113.33,74.2,236.83,1756.28,2718.65
0.44,112.74,73.65,261.95,1738.54,2615.14
0.45,111.74,72.07,288.85,1717.02,2829.91
0.46,109.99,70.38,302.43,1719.48,2866.46
0.47,108.33,68.04,254.59,1685.15,2810.73
0.48,193.54,65.7,263.51,1656.45,2917.3
0.49,225.66,64.42,251.66,1834.4,3156.2
0.5,226.97,65.22,97.67,1809.17,3384.17
0.51,0,65.58,1127.3,2748.25,3938.1
0.52,0,64.28,1767.29,3393.59,4089.02
0.53,0,64.53,1655.49,2790.19,3951.06
0.54,457.45,65.61,1501.53,2717.02,3989.07
0.55,458.5,65.43,1419.41,2493.49,3921.08
0.56,0,64.54,1496.84,2337.68,3853.83
0.57,0,62.05,1545.6,2586.3,4125.05
0.58,435.99,60.86,1558.89,2499.79,4069.4
0.59,432.11,65.86,1282.58,2215.44,3586.28
0.6,431.92,69.66,1277.87,1679.51,3168.39
0.61,436.36,69.19,1295.31,2935.66,4004.76
0.62,0,68.98,1081.97,1570.38,2985.17
0.63,0,70.84,867.94,1755.25,3096.92
0.64,0,71.73,476.65,1279.82,2030.95
0.65,0,72.07,509.43,1272.18,1977.55
0.66,0,72.86,569.74,1384.32,2034.06
0.67,0,73.43,575.23,1439.15,2041.77
0.68,0,73.46,609.12,1578.96,2053.8
0.69,0,73.52,606.76,1641.31,2095.49
0.7,0,73.35,607.7,1630.19,2154.98
0.71,0,71.82,649.51,1607.11,2118.51
0.72,0,69.26,607.07,1669.2,1997.37
0.73,0,67.37,643.15,1704.98,2022.05
0.74,0,66.78,606.18,1674.3,2230.08
0.75,0,67.53,624.78,1708.03,2143.46
0.76,0,67.51,606.5,1723.62,2143.04
0.77,0,65.38,586.62,1793.11,2221.49
0.78,0,64.11,559.79,1778.65,1998.92
0.79,0,64.36,611.29,1745.05,2078.75
0.8,0,65.33,558.5,1736.95,2809.86
0.81,0,65.89,639.2,1582.9,2621.51
0.82,0,64.88,541.15,1739.8,2608.1
0.83,0,64.88,540.65,1681.57,2050.28
0.84,0,63.01,548.03,1683.17,2080.21
0.85,0,60.54,563.29,1730.82,2052.69
0.86,0,60.44,546.37,1657.8,1885.15
0.87,0,58.44,1551.81,1820.87,3428.51
0.88,0,58.07,199.65,1665.89,1994.71
0.89,0,58.76,955.98,1683.07,3285.52
0.9,0,61.87,667.36,1877.89,3358.9
0.91,0,64.71,827.48,1745.41,3395.6
0.92,0,63.38,754.47,1671.32,3273.46
0.93,0,63.49,707.58,1745.6,3294.96
0.94,0,64.27,1280.44,1945.42,3503.91
0.95,0,62.31,1370.79,2245.65,3785.46
0.96,0,58.36,876.5,2104.75,3729.3
0.97,0,59.02,1785.67,2704.17,4338.64
0.98,0,60.14,1484.95,2266.69,3634.72
0.99,0,60.19,1341.3,2569.43,3581.84
1,0,0,0,0,0
1.01,0,0,0,0,0
1.02,0,0,0,0,0
