time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2122.94,2309.53,3284.68
0.04,0,60.67,98.84,2057.6,2326
0.05,0,57.99,148.04,1695.15,2561.12
0.06,0,61.7,1172.66,2288.87,3532.05
0.07,0,65.18,519.45,2070.56,3176.99
0.08,0,64.01,118.1,1610.15,2629.99
0.09,0,61.82,136.81,1693.09,2824.97
0.1,0,60.63,1444.34,2707.73,3974.81
0.11,0,62.34,2257.82,2647.49,4239.5
0.12,0,64.98,695.72,2361.65,3287.46
0.13,490.83,65.4,1166.73,2421.92,3393.38
0.14,487.02,66.31,1711.97,2441.98,3339.54
0.15,477.23,67.01,1650.91,2313.99,3189.62
0.16,463.65,70,270.89,2184.35,2460.29
0.17,457.32,73.18,404.04,2071.73,2523.3
0.18,456.86,74.54,433.43,1993.12,2431.45
0.19,456.27,74.97,449.23,1990.2,2424.49
0.2,455.81,74.87,442.03,1972.03,2390.08
0.21,455.9,72.19,436.33,1939.81,2373.48
0.22,453.86,67.98,317.19,1967.99,2346.62
0.23,449.24,67.25,311.73,2006.37,2310.71
0.24,452.88,67.08,355.19,1954.46,2490.04
0.25,456.48,64.31,451.48,1932.11,2425.6
0.26,445.42,59.19,435.59,2041.76,2552.78
0.27,420.25,57.23,379.24,1937.28,2599.26
0.28,427.58,58.3,415.41,1945.43,2514.66
0.29,445.21,59.89,426.81,1937.63,2520.6
0.3,448.09,60.97,455.03,1658.38,2273.97
0.31,447.37,64.52,829.85,1344.97,2364.45
0.32,445.03,64.99,743.14,1331.22,2476.44
0.33,432.58,64.78,403.45,1294.73,2473.96
0.34,418.07,63.47,1242.74,2491.58,3443.69
0.35,0,61.57,687.82,1578.77,2746.94
0.36,0,61.56,575.6,1223.9,2443.01
0.37,114.53,66.54,364.94,1086.09,2511.34
0.38,113.17,70.98,506.82,1047.1,2552.55
0.39,111.01,73.33,510.1,1036.67,2560.04
0.4,109.56,74.36,507.96,1005.75,2567.83
0.41,108.54,74.08,512.66,942.36,2634.31
0.42,107.5,73.77,533.94,852.36,2733.94
0.43,106.63,73.07,509.87,864.39,2864.28
0.44,106.05,72.24,515.24,824.18,2973.08
0.45,105.59,71.93,497.12,859.01,2940.03
0.46,0,70.99,334.57,732.95,2894.68
0.47,0,69.35,408.76,1425.28,2881.41
0.48,0,68.76,330.16,914.49,2791.68
0.49,96.77,68.6,286.38,896.54,2985.15
0.5,96,68.1,282.97,901.53,3032.64
0.51,94.91,66.57,273.6,887.31,2989.84
0.52,0,65.38,247.34,896.78,2968.35
0.53,0,65.26,509.31,2014.77,2942.07
0.54,0,63.87,507.98,2056,3188.99
0.55,0,62.03,515.61,2449.38,3288.5
0.56,493.97,60.75,532.97,2069.63,3080.98
0.57,494.35,63.26,369.25,2304.3,3142.16
0.58,492.5,64.42,1330.62,2403.85,3336.45
0.59,491.27,62.75,646.51,2248.27,3167.7
0.6,494.75,63.03,1582.11,2762.19,3697.59
0.61,493.75,64.03,1710.28,2416.24,3249.92
0.62,484.35,62.86,1832.79,2457.37,3329.38
0.63,479.05,60.87,1847.89,2457.81,3271.36
0.64,491.33,62.75,1879.03,2449.73,3249.15
0.65,0,66.61,623.77,2238.09,2838.08
0.66,0,68.8,288.61,2205.44,2657.61
0.67,95.05,69.76,281.32,2217.98,2618
0.68,95.07,69.89,257.18,2235.16,2603.81
0.69,93.41,70.3,239.49,2202.51,2614.91
0.7,92.47,70.24,254.7,2213.39,2620.67
0.71,90.62,68.94,229.93,2246.75,2622.32
0.72,87.71,67.12,217.32,2243.43,2639.18
0.73,86.83,65.45,366.47,2235.87,2646.06
0.74,86.98,65.82,350.36,2259.13,2628.79
0.75,0,66.5,343.33,2261.94,2625.28
0.76,0,66.12,331.89,2227.16,2599.36
0.77,0,65.92,325.63,2208.61,2579.36
0.78,0,65.62,307.46,2178.05,2550.84
0.79,0,65.94,297.76,2070.94,2587.63
0.8,0,66.48,251.9,1986.75,2497.88
0.81,0,64.32,258.93,2015.21,2527.17
0.82,0,62.21,287.06,2071.64,2639.66
0.83,0,62.62,272.44,2095.24,2636.04
0.84,0,64.67,262.66,2272.01,2453.5
0.85,0,65.41,267.78,2279.16,2423.69
0.86,0,63.44,278.77,2152.48,2575.84
0.87,0,60.83,282.12,2239.6,2686.8
0.88,0,64.41,199.42,2052.51,2479.97
0.89,0,67.29,130.4,2191.66,2818.63
0.9,0,66.32,106.12,2337.68,2922.26
0.91,0,62.98,94.03,2333.3,3487.04
0.92,0,58.91,2012.14,2772.03,3983.32
0.93,0,59.09,275.06,2005.06,2650.2
0.94,0,64.03,2021.29,2460.03,3850.5
0.95,0,66.09,1215.88,2372.89,3402.96
0.96,0,64.83,528.75,1991.5,2947.49
0.97,0,61.94,82.35,1729.28,2630.78
0.98,0,64.04,1606.88,2678.93,3386.34
0.99,0,66.03,1194.54,2452.42,3393.02
1,0,64.74,1628.52,2737.57,3691.42
1.01,0,62.85,1492.04,2651.63,3625.63
1.02,0,0,485.31,2069.7,2850.74
1.03,0,0,0,0,0
1.04,0,0,0,0,0
