time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1867.09,2642.24,3920.68
0.04,0,63.73,1962.32,2787.39,3967.76
0.05,0,63.83,1514.94,2698.89,3795.38
0.06,0,63.8,239.89,1791.46,2693.23
0.07,0,61.42,1264.28,2576.69,3832.07
0.08,0,63.16,1650.91,2740.95,4031.13
0.09,0,64.73,864.67,2196.67,3292.29
0.1,0,63.07,1074.06,2242.08,3512.26
0.11,0,59.81,1168.94,2296.45,3824.04
0.12,0,60.76,1313.84,2325.75,3616.36
0.13,0,65.88,105.69,1362.74,2315.34
0.14,0,69.45,166.27,1347.24,2273.33
0.15,0,70.69,196.04,1328.41,2271.93
0.16,0,70.68,205.27,1321.99,2275.7
0.17,112.67,70.88,230.47,1306.18,2259.75
0.18,113.58,70.74,207.16,1301.23,2261.63
0.19,113.8,71,356.02,1339.83,2442.59
0.2,113.36,72.5,515.17,1393.97,2521.25
0.21,113.1,73.29,575.46,1411.45,2530.94
0.22,113.1,73.08,627.16,1431.08,2584.2
0.23,113.07,73.53,643.16,1409.05,2644.46
0.24,113.08,74.2,643.5,1366.23,2677.12
0.25,113.27,74.55,621.99,1338.69,2699.95
0.26,113.44,74.24,618.73,1295.88,2707.32
0.27,113.27,73.67,621.48,1217.17,2736.76
0.28,112.91,73.65,597.03,1164.63,2742.43
0.29,112.57,74.07,566.24,1132.24,2737.83
0.3,112.22,74.44,552.15,1116.6,2743.09
0.31,111.76,74.47,532.5,1133.11,2722.07
0.32,110.89,74.92,531.43,1141.38,2751.25
0.33,109.68,75.48,547.7,1132.83,2817.74
0.34,108.54,75.57,558.92,1123.99,2775.51
0.35,107.6,75.2,580.39,1141.9,2735.19
0.36,106.24,74.21,605.18,1165.89,2702.11
0.37,105.17,73.73,635.07,1157.92,2706.98
0.38,104.11,74.43,658.06,1145.65,2674.76
0.39,103.06,74.81,662.23,1137.19,2638.68
0.4,102.04,74.81,632.14,1126.53,2597.29
0.41,100.93,74.42,599.77,1114.51,2567.31
0.42,99.4,74.04,583.95,1109.57,2537.06
0.43,98.33,73.7,580.67,1093.12,2530.29
0.44,96.47,73.28,550.87,1091.08,2513.5
0.45,94.08,73.63,617.6,1029.52,2484.2
0.46,92.98,75,567.42,1134.58,2493.48
0.47,92.56,75.08,597.57,1194.27,2459.23
0.48,91.16,74.94,623.2,1227.38,2469.25
0.49,90.12,75.22,693.9,1289.91,2493.74
0.5,0,75.77,697.7,1349.68,2503.3
0.51,348,75.89,696.51,1390.36,2495.06
0.52,349.66,74.36,701.07,1396.95,2499.91
0.53,351.81,71.19,709.74,1384.67,2553.17
0.54,352.69,71.37,722.02,1396.37,2500.48
0.55,0,71.44,720.34,1403.32,2540.32
0.56,0,72.43,731.35,1403.75,2514.08
0.57,0,70.9,693.44,1382.9,2507.27
0.58,0,71.14,735.59,1371.99,2511.45
0.59,0,70.19,706.23,1365.91,2513.38
0.6,0,66.18,662.54,1328.28,2540.58
0.61,0,65.93,636.14,1301.58,2597.3
0.62,0,69.43,747.12,1264.84,2587.5
0.63,0,69.69,712.99,1259.71,2561.15
0.64,0,65.73,645.15,1233.78,2550.99
0.65,0,60.68,662.79,1254.16,2643.22
0.66,0,58.98,657.17,1184.68,2622.29
0.67,0,59.95,630.77,1297.53,2612.53
0.68,0,61.15,596.7,1217.72,2570.19
0.69,0,65.21,347.41,1098.21,2494.33
0.7,0,68.58,1165.32,2466.22,3266.14
0.71,0,68.77,1150.7,2552.52,3379.2
0.72,0,65.65,227.09,1268.74,2509.45
0.73,0,63.28,206.17,1396.07,2595.62
0.74,56.2,61.71,189.97,1266.63,2648.96
0.75,61.8,60.91,1144.33,2473.34,3523.38
0.76,63.97,61.77,222.64,1377.17,2763.13
0.77,0,64.49,1077.29,2566.27,3528.48
0.78,0,64.71,1233.11,2571.9,3604.48
0.79,0,62.17,869.79,2463.86,3554.33
0.8,0,62.01,1257.37,2584.53,3852.91
0.81,0,65.12,1212.77,2572.94,3941.52
0.82,0,65.82,1370.92,2668.18,3813.54
0.83,0,65.18,1461.74,2691.21,3869.81
0.84,0,61.7,1038.39,2749.34,3710.44
0.85,0,61.47,1164.26,2556.65,3613.03
0.86,0,62.12,1182.44,2406.25,3620.94
0.87,0,60.19,1739.32,2363.01,3664
0.88,0,61.75,1214.85,2499,3716.37
0.89,50.1,61.18,598.88,2171.84,3504.92
0.9,0,0,1653.69,2689.58,3841.87
0.91,0,0,0,0,0
0.92,0,0,0,0,0
