time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1859.16,2667.1,3817.58
0.04,0,57.1,261.12,1702.84,2618.57
0.05,0,55.91,214.49,1504.4,2670.49
0.06,0,54.05,1391.12,2486.92,3816.97
0.07,0,57.29,218.33,1650.94,2505.05
0.08,0,62.61,1498.92,2558.77,3882.13
0.09,0,63.66,1910.67,2804.61,4260.49
0.1,0,62.45,1410.89,2662.55,4020.73
0.11,51.9,64.53,1315.54,2645.68,3990.02
0.12,51.9,65.01,1095.22,2657.05,3542.27
0.13,52.2,63.93,1061.15,2789.84,3267.28
0.14,51.5,64.06,1070.13,2680.4,3575.31
0.15,0,67.97,535.52,1170.2,2799.09
0.16,0,73.53,567.36,1043.29,2714.93
0.17,117.95,76.24,579.04,1053.27,2694.85
0.18,118.54,76.79,572.08,1061.73,2725.4
0.19,120.38,76.67,590.44,1064.2,2715.81
0.2,121.27,76.83,599.58,1085.95,2729.74
0.21,121.23,76.92,599.21,1096.61,2802.73
0.22,120.78,77.08,564.09,1109.08,2806.73
0.23,119.94,77.48,546.51,1118.56,2777.85
0.24,119.38,77.84,534.14,1179.33,2754.28
0.25,118.83,77.92,521.32,1239.08,2735.06
0.26,118.56,77.92,507.01,1354.89,2657.86
0.27,118.55,77.97,517.04,1486.11,2602.09
0.28,118.33,77.82,513.66,1680.04,2571.22
0.29,117.82,77.69,410.4,1908.53,2513.68
0.3,117.46,77.45,308.08,2240.13,2374.86
0.31,117.02,77.15,290.57,2253.6,2330.98
0.32,115.97,76.54,295.81,2281.15,2367.64
0.33,114.67,75.88,153.78,2223.17,2915.36
0.34,113.36,75.47,205.18,2106.53,3150.22
0.35,112.75,75.43,315.48,2139.97,2391.84
0.36,112.12,74.84,268.09,1926.5,2165.07
0.37,111.23,74.4,272.98,2216.95,2248.14
0.38,110.3,74.39,314.74,2109.8,2345.9
0.39,109.73,74.96,291.29,2012.87,2424.6
0.4,104.57,74.98,272.01,1918.77,2446.12
0.41,103.59,74.38,326.42,1852.42,2455.89
0.42,102.53,73.06,422.26,1824.47,2272.18
0.43,101.22,71.71,555.19,1826.28,2304.45
0.44,100.44,72.51,522.33,1798.46,2317.32
0.45,99.6,73.75,499.84,1903.92,2261.16
0.46,99.09,74.36,466.2,1760.94,2383.45
0.47,98.52,74.63,431.48,1581.2,2537.12
0.48,97.52,74.04,293.43,1441.39,2512.33
0.49,96.95,73.42,366.13,1347.79,2505.17
0.5,96.65,73.32,347.43,1416.5,2493.29
0.51,96.25,73.13,340.7,1441.78,2475.66
0.52,95,72.54,334.03,1482.7,2483.06
0.53,93.94,71.87,353.56,1597.7,2486.64
0.54,93.87,71.47,382.5,1560.42,2509.2
0.55,93.85,71.88,485.4,1172.6,2567.59
0.56,92.33,72.55,345.91,1084.45,2626.76
0.57,91.09,73.48,544.38,1146.15,2635.29
0.58,89.85,74.11,573.38,1258.79,2638.87
0.59,87.93,74.59,621.1,1315.64,2649.95
0.6,85.97,75.1,630.21,1383.32,2640.58
0.61,85.32,75.04,622.2,1398.77,2620
0.62,84.56,74.18,628.2,1457.62,2624.89
0.63,84.23,72.86,621.52,1527.23,2604.77
0.64,84.63,72.27,597.06,1572.65,2595.78
0.65,84.82,72.35,599.49,1586.49,2576.05
0.66,84.3,71.92,589.58,1651.42,2554.65
0.67,83.27,70.72,573.83,1754.43,2538.04
0.68,83.02,70.29,528.3,1739.22,2507.66
0.69,83.45,69.71,514.52,1803.05,2492.15
0.7,83.62,69.15,495.18,1858.54,2465.29
0.71,83.93,69.05,483.08,1932.65,2398.93
0.72,81.58,68.02,459.71,1918.94,2357.93
0.73,81.54,67.3,436.77,1927.51,2237.26
0.74,0,67.28,410.49,1943.58,2219.69
0.75,0,66.42,442.23,1980.37,2094.05
0.76,0,65.43,397.76,1819.11,2114.73
0.77,0,65.49,301.42,1821.83,2296.12
0.78,0,64.51,377.88,1739.78,2295.33
0.79,0,61.87,384.17,1758.65,2335.45
0.8,0,59.62,391.12,1918.5,2344.44
0.81,0,59.13,462.91,1785.34,2487.76
0.82,0,57.09,407.28,1828.26,2527.74
