time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1194.97,2651.39,3553.94
0.04,0,60.07,1562.03,2660.27,3253.37
0.05,0,59.37,1437.52,2631.91,3874.57
0.06,0,57.21,1040.57,2238.07,3366.07
0.07,0,61.63,1857.56,2685.18,3847.27
0.08,0,62.2,1758.64,2507.77,3574.86
0.09,0,60.3,1177.98,2365.61,3362.55
0.1,0,66.52,756.86,2006.09,2923.96
0.11,138.23,72.37,403.72,1831.9,2466.35
0.12,137.56,74.99,442.4,1957.41,2549.52
0.13,137.18,75.98,440.6,2098.37,2570.76
0.14,137.09,76.22,418.95,2221.71,2630.16
0.15,136.85,75.6,372.81,2267,2623.84
0.16,136.28,74.46,311.67,2287.74,2472.41
0.17,134.95,73.84,311.76,2072.47,2317.51
0.18,131.75,73.79,304.52,1832.53,2280.46
0.19,128.77,73.25,215.33,1851.06,2202.19
0.2,124.87,72.04,233.89,2094.08,2767.92
0.21,124.94,69.63,279.26,2108.31,2863.48
0.22,129.63,65.12,365.48,2053.37,2600.62
0.23,0,60.93,447.34,2161,2687.85
0.24,0,61.98,765.37,2430.77,2906.47
0.25,0,63.09,522.52,1829.08,2556.59
0.26,0,64.89,1454.74,2510.12,3337.36
0.27,150.96,71.71,278.86,2365,2785.94
0.28,150.89,76.55,415.7,2217.5,2608.77
0.29,150.72,78.7,447.93,2182.47,2595.48
0.3,150.27,79.16,458.7,2161.94,2589.38
0.31,148.65,78.42,468.5,2205.21,2591.88
0.32,145.9,77.32,464.14,2263.8,2619.26
0.33,143.56,75.89,460.09,2242.41,2635.89
0.34,141.64,74.31,455.63,2257.4,2672.67
0.35,140.3,73.53,428.25,2228.02,2801.74
0.36,138.2,73.43,659.81,2184.21,2860.69
0.37,132.75,72.74,441.43,2227.03,2959.35
0.38,128.16,72.46,892.2,2152.4,2827.47
0.39,126.05,73.14,964.45,2235.55,2873
0.4,121.17,74.43,352.27,2210.32,2981.2
0.41,117.52,75.36,454.99,2209.11,2609.75
0.42,0,74.58,522.03,2005.69,2394.83
0.43,0,71.44,583.91,1857.36,2451.53
0.44,0,69.08,606.55,1752.47,2425.68
0.45,0,67.31,562.92,1725.9,2412.45
0.46,0,69.61,566.57,1695.04,2460.07
0.47,0,72.99,737.02,1701.35,2479.94
0.48,0,74.15,746.28,1639.54,2501.65
0.49,97.67,75.6,718.81,1579.17,2496.97
0.5,97.59,76.27,728.66,1533.44,2483.82
0.51,99.73,76.9,724.12,1472.31,2478.51
0.52,101.36,77.47,683.17,1396.39,2467.27
0.53,102.61,77.72,638.7,1328.04,2469.72
0.54,103.15,78.19,641.07,1259.12,2510.67
0.55,102.95,78.28,640.29,1192.27,2536.43
0.56,102.82,77.12,633.94,1161.82,2583.32
0.57,102.61,75.78,722.75,945.03,2633.49
0.58,100.92,75.05,565.56,917.75,2661.24
0.59,0,73.9,607.6,1648.05,3153.2
0.6,0,72.97,508.92,1165.76,2841.34
0.61,0,71.84,513.96,1252.41,2806.89
0.62,0,72.24,543.96,1179.57,3097.95
0.63,0,71.41,543.82,961.07,2893.72
0.64,0,70.13,576.61,787.57,2983.03
0.65,0,71.69,625.03,805.43,2962.63
0.66,88.82,73.46,643.04,1845.95,2979.53
0.67,88.26,74.29,589.55,1074.07,2889.04
0.68,87.31,74.06,662.1,1072.11,2734.48
0.69,87.27,75.33,648.3,1209.29,2678.66
0.7,87.74,76.93,639.1,1253.3,2682.54
0.71,88.49,76.86,657.6,1300.34,2682.92
0.72,89.28,75.81,703.91,1360.16,2683.3
0.73,89.99,75.82,736.76,1406.42,2676.96
0.74,0,76.51,736.13,1447.76,2674.55
0.75,0,76.49,738.47,1461.1,2672.21
0.76,0,75.29,742.2,1452.28,2636.69
0.77,83.16,74.76,760.49,1501.53,2621.18
0.78,82.49,74.52,757.59,1487.93,2603.51
0.79,82.1,74.38,765.23,1475.03,2594.46
0.8,81.53,74.89,743.66,1479.19,2586.91
0.81,81.03,74.49,723.12,1473.54,2563.47
0.82,80.77,73.58,737.91,1431.41,2549.98
0.83,79.17,72.97,698.77,1425.17,2525.1
