time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,55.61,62.82,1493.71,2458.89,3443.64
0.04,54.33,64.46,1321.32,2662.44,3616.75
0.05,0,65.03,2040.02,2772.09,3637.59
0.06,0,61.3,1105.6,2481.04,3495.37
0.07,0,59.03,1320.17,2843.46,3592.39
0.08,146.63,69.85,587.25,1448.53,2851.36
0.09,144.42,78.24,606.78,1335.25,2669.59
0.1,140.84,81.32,614.22,1286.8,2647.61
0.11,137.03,80.88,550.24,1192.54,2615.31
0.12,128.37,78.66,472.82,1174.47,2616.57
0.13,120.31,76.18,365.93,1094.26,2662.52
0.14,0,73.74,311.11,1150.26,2655.94
0.15,0,70.26,510.66,1068.77,2601.9
0.16,0,68.33,469.32,1076.94,2550.16
0.17,0,67.53,504.67,1119.81,2524.6
0.18,0,66.25,492.45,1112.35,2583.52
0.19,0,64.77,511.81,1132.93,2587.47
0.2,0,64.45,504.78,1094.53,2616.93
0.21,0,63.83,490.56,1056.04,2550.54
0.22,0,64.34,498.36,1161.43,2822.47
0.23,0,66.09,498.63,1646.63,2896.14
0.24,0,69.48,1376.07,2601.72,3723.66
0.25,0,70.46,1953.48,2936.98,4146.3
0.26,0,69.07,1152.98,2513.77,3392.75
0.27,0,67.67,1049.79,2758.56,3184.72
0.28,0,66.08,888.61,2181.36,3221.72
0.29,0,64.97,572.5,2281.79,3255.01
0.3,0,64.32,1930.53,3114.22,3791.05
0.31,0,63.5,1751.06,2906.17,3528.57
0.32,0,67.28,2291.37,3310.74,4436.13
0.33,0,73.98,284.9,2520.3,3295.02
0.34,178.21,76.34,330.98,2572.81,3271.26
0.35,182.73,76.53,317.13,2526.05,3163.53
0.36,184.28,76.94,290.15,2477.55,3113.77
0.37,185.36,77.37,281.44,2597.96,3136.14
0.38,186.58,77.83,273.87,2617.37,3440.4
0.39,188.32,78.39,268.11,2642.53,3312.72
0.4,189.63,77.94,242.29,2636.95,3322.52
0.41,189.64,76.1,202.87,2216.35,3235.29
0.42,190.55,74.25,2229.04,3098.74,4366.88
0.43,191.05,73.68,2231.74,3046.49,4376.68
0.44,0,73.57,2164.23,3007.31,4446.11
0.45,0,73.04,2097.58,3041.75,4403.59
0.46,0,70.72,2048,3132.63,4399.72
0.47,0,69.41,2024.32,3083.94,4411.13
0.48,0,68.97,1916.9,3039.65,4375.66
0.49,0,67.85,1874.49,3024.39,4413.72
0.5,0,69.6,1902.05,3143.58,4334.14
0.51,213.13,76.58,350.25,1831.14,2936.3
0.52,212.14,80.62,410.21,1839.34,2902.57
0.53,210.76,81.78,417.11,1834.79,2938.23
0.54,207.86,80.55,403.01,1831.64,2958.19
0.55,203.58,77.5,369.05,1835.08,2982.9
0.56,204.3,74.89,391.28,1870.95,2907.67
0.57,208.52,72.36,304.5,1885.85,2943.02
0.58,209.14,70.62,388.81,1900.39,2941.92
0.59,208.82,69.4,423.57,1854.31,2983.53
0.6,0,66.37,1319.31,2543.87,3407.31
0.61,0,63.34,1641.9,2136.59,3155.59
0.62,0,61.59,435.59,1936.98,3050.85
0.63,0,61.61,415.85,1935.83,3081.33
0.64,0,63.35,387.53,1932.03,3321.84
0.65,0,64.15,308.22,2015.56,3011.72
0.66,0,64.8,364.54,1971.5,2981.23
0.67,0,69.39,563.06,1959.88,3051.4
0.68,0,71.73,513.24,2028.03,3119.61
0.69,455.14,70.24,492.11,2206.41,3137.32
0.7,452.43,67.83,589.57,2096.71,3083.9
0.71,457.34,66.26,503.22,2163.36,3060.08
0.72,457.45,65.63,254.85,2364.31,3101.73
0.73,0,65.01,2142.51,2883.03,3935.01
0.74,172.3,70.94,460.34,2329.41,3012.28
0.75,169.51,78.35,442.58,2487.83,3034.97
0.76,165,81.93,489.28,2466.97,3147.84
0.77,160.09,84.44,481.86,2385.77,2938.85
0.78,154.19,84.78,471.53,2371.04,2814.97
0.79,0,82.94,480.08,2443.31,2786.16
0.8,0,81.92,467.99,2542.46,2945.97
0.81,0,82.55,441.74,2644.35,3043.77
0.82,0,82.38,430.71,2701.66,3064.36
0.83,0,81.32,355.42,2717.1,3131.16
0.84,0,79.18,375.31,2829.44,3150.51
