time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1766.78,2717.94,3757.63
0.04,0,61.44,2004.38,3034.03,4312.87
0.05,0,60.04,2208.77,3087.39,4431.38
0.06,0,58.99,141.98,1556.5,2518.59
0.07,0,57.49,105.35,2056.4,3533.92
0.08,0,60.68,1669.01,2646.67,3985.31
0.09,0,62.48,93.23,1762.58,2825.87
0.1,0,61.26,1735.87,2651.39,3700.29
0.11,0,61.22,1343.35,2582.02,3761.87
0.12,0,57.34,167.41,2028.92,2224.09
0.13,0,55.97,194.23,1670.61,2627.58
0.14,0,59.41,1925.09,3061.69,4231.54
0.15,0,61.72,69.31,2054.53,2975.76
0.16,0,63.74,1582.41,2716.53,3990.98
0.17,0,68.35,1824.84,3188.12,4716.29
0.18,0,75.74,431.16,1745.21,3078.99
0.19,125.43,80.03,533.73,1130.14,2938.93
0.2,123.8,81.29,583.9,739.63,2916.91
0.21,123.61,82.07,472.28,877.02,2922.51
0.22,124.9,82.85,446.55,787.68,2981.3
0.23,128.26,83.51,339.89,629.4,3023.96
0.24,134.58,83.72,381.9,797.62,3029.45
0.25,144.96,83.88,654.49,3079.28,3718.93
0.26,155.44,85.15,658.68,3111.83,3789.4
0.27,163.34,87.58,592.78,795.09,3055.96
0.28,168.04,90.14,553.23,1636.36,2960.54
0.29,171.91,91.06,627.42,1406.39,2606.12
0.3,177.06,90.66,724.06,1118.63,2915.25
0.31,184.73,90.79,657.78,1309.53,2980.92
0.32,191.54,91.51,622.96,1600.84,2925.81
0.33,198.09,91.56,615.14,1755.24,2860.23
0.34,204.36,90.77,679.97,1562.78,2761.9
0.35,205.75,90.58,698.45,1486.12,2768.16
0.36,203.49,90.89,692.09,1514.8,2656.09
0.37,198.45,91.33,644.35,1553.37,2586.78
0.38,191.77,91.4,615.95,1708.97,2706.03
0.39,183.73,90.82,638.53,1556.28,2702.16
0.4,0,89.81,709.92,1307.25,2678.39
0.41,0,89.68,632.36,1172.2,2770.42
0.42,0,90.17,613.57,1308.73,2723.06
0.43,0,89.98,594.33,1351.1,2769.38
0.44,0,88.46,603.1,1223.84,2752.18
0.45,127.87,87.54,569.21,1036.75,2832.82
0.46,124.69,88.94,544.32,1252.22,2705.16
0.47,121.72,89.56,513.3,1459.48,2658.44
0.48,119.68,89.05,503.14,1469.56,2724.19
0.49,116.91,86.95,531.76,984.15,2826.61
0.5,114.15,85.55,473.17,925.31,2803.94
0.51,112.89,86.09,486.78,878.86,2748.96
0.52,112.11,85.85,455.75,897.18,2724.08
0.53,111.03,85.15,427.43,906.26,2777.5
0.54,109.71,85.21,404.47,954.24,2764.03
0.55,0,85.19,441.12,891.29,2694.44
0.56,0,84.35,499.62,949.45,2716.86
0.57,252.1,83.02,507.13,1019.9,2740.72
0.58,254.38,82.06,499,1013.4,2726.54
0.59,256.32,81.54,501.56,1070.19,2682.24
0.6,258.66,79.92,522.05,1049.09,2662.91
0.61,260.5,74.29,513.69,1024.5,2671.98
0.62,263,72.86,488.28,1045.73,2712.4
0.63,270.99,78.71,583.07,1178.42,2717.13
0.64,276.06,81.97,562.52,1180.66,2670.53
0.65,0,83.75,569.23,1187.34,2683.44
0.66,0,83.47,558.51,1193.39,2714.57
0.67,115.58,83.08,558.15,1160.16,2696.3
0.68,114.51,82.15,514.22,1104.93,2580.01
0.69,112.27,79.47,425.49,1100.57,2510.63
0.7,108.85,75.3,597.26,1416.13,2889.61
0.71,0,71.59,576.11,1816.46,2948.56
0.72,0,70.47,527.68,1879.78,3004.95
0.73,0,69.43,524.5,1840.71,2961.66
0.74,0,67.36,555.02,1923.91,3100.88
0.75,0,64.69,553.88,1888.58,2960.83
0.76,0,63.8,573.29,1803.1,2898.74
0.77,0,63.78,550.57,1655.08,3060.03
0.78,0,62.9,882.68,2315.48,3130.71
0.79,0,63.24,607.13,1476.7,2940.15
0.8,0,63.45,476.69,1787.4,2990.88
0.81,0,60.53,555.67,1908.99,3100.99
0.82,0,59.17,457.77,2025.85,3071.07
0.83,158.37,68.67,417.64,2025.49,2946.94
0.84,157.13,76.31,324.01,2307.53,2991.45
