time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1886.25,2921.03,3446.66
0.04,0,62.89,1889.19,2958.78,4353.7
0.05,0,58.62,1919.59,3110.82,3795.16
0.06,0,57.15,1819.66,2591.11,3361.69
0.07,0,57.45,1852.78,2970.55,3163.75
0.08,0,56.76,1858.62,2979.36,3576.05
0.09,0,59.24,1785.36,2924.14,3043.62
0.1,0,60.14,1824.42,2933.23,3698.83
0.11,0,56.95,1816.27,2802.29,3144.2
0.12,0,56.19,1825.66,2779.51,3363.31
0.13,0,57.03,1882.18,2759.95,3574.2
0.14,0,59.55,1936.79,3008.03,3365.41
0.15,0,64.38,1862.36,2743.65,3325.85
0.16,0,76.13,387.52,1861.01,2895.81
0.17,153.38,83.28,490.71,1850.12,2606.41
0.18,153.42,86.04,500.19,1897.09,2714.96
0.19,152.88,86.14,521.47,1960.98,2825.51
0.2,152.81,85.76,552.72,2002.09,2827.57
0.21,153.54,86.06,536.98,2052.37,2835.31
0.22,154.79,86.45,534.79,2093.75,2830.51
0.23,156.62,86.67,531.48,2131.42,2809.71
0.24,158.47,86.73,516.48,2113.24,2815.55
0.25,159.85,86.96,504.47,2135.04,2830.45
0.26,161.64,87.22,510.87,2141.71,2876.48
0.27,163.58,87.88,510.31,2128.99,2820.68
0.28,165.38,88.92,504.23,2084.59,2775.52
0.29,167.74,89.05,509.95,2054.16,2849.09
0.3,170.82,88.02,526.38,1981.75,2662.11
0.31,172.81,86.79,551.6,1914.98,2522.81
0.32,174.14,86.26,568.38,1871.88,2486.33
0.33,175.85,86.34,597.59,1842.52,2432.77
0.34,178.42,86.84,580.01,1805.7,2557.62
0.35,181.85,86.47,603.23,1771.27,2274.38
0.36,186.23,86.27,578.41,1712.68,2253.81
0.37,189.74,86.25,569.97,1697.92,2093.39
0.38,193.56,86.03,563.79,1681.43,2052.27
0.39,198.32,85.57,567.04,1610.25,1975.3
0.4,203.44,86.09,567.07,1607.61,1891.61
0.41,207.61,86.19,564.58,1611.99,1869.47
0.42,210.99,85.06,588.15,1600.01,1864.52
0.43,214.56,84.09,576.82,1613.21,1788.25
0.44,217.7,84.73,521.99,1616.46,1760.19
0.45,219.75,85.07,487.84,1586.28,1764.41
0.46,221.65,84.65,491.94,1556.78,1767.11
0.47,224.09,84.6,490.47,1512.2,1787.43
0.48,228.03,84.32,542.41,1470.32,1800.76
0.49,0,83.09,529.58,1503.8,1834.1
0.5,0,82.72,546.77,1519.17,1796.55
0.51,0,82.78,543.45,1486.52,1826.74
0.52,0,82.09,589.27,1543.89,1903.48
0.53,0,81.2,602.92,1527.38,1931.19
0.54,0,76.23,582.9,1521.45,1956.63
0.55,0,71.26,545.87,1555.29,1974.4
0.56,0,70.24,530.64,1520.27,2013.29
0.57,0,69.99,540.73,1496.36,1951.15
0.58,0,69.66,531.78,1457.25,1913.96
0.59,0,69.31,562.47,1537.26,1923.73
0.6,0,68.31,575.13,1646.35,2097.02
0.61,0,66.82,544.1,1487.1,1846.47
0.62,0,65.89,561.81,1525.32,1831.95
0.63,0,63.51,575.55,1608.32,2289.63
0.64,0,60.52,539.15,1540.8,2356.43
0.65,0,60.5,550.32,1582.11,2493.13
0.66,0,67.15,559.41,1794.96,2960.37
0.67,138.45,75.98,696.6,1841.27,2898.78
0.68,137.79,81.77,715.87,1811.8,2912.84
0.69,137.67,84.94,719.75,1791.38,2912.73
0.7,138.12,86.03,668.85,1788.17,2923.89
0.71,139.33,85.74,642.57,1805.19,2910.26
0.72,139.88,84.84,610.93,1801.14,2952.12
0.73,139.79,83.9,592.12,1789.08,2943.17
0.74,139.39,82.06,551.86,1769.48,2951.55
0.75,138.79,80.29,432.17,1774.53,2887.64
0.76,138.65,79.67,453.58,1848.05,2862.16
0.77,138.6,79.53,438.98,1848.31,2841.09
0.78,138.46,79.3,414.91,1860.7,2823.63
0.79,138.44,78.94,412.17,1899.04,2830.96
0.8,138.67,78.62,409.91,1909.42,2825.22
0.81,138.93,78.13,372.44,1844.76,2823.71
0.82,138.48,76.83,375.27,1797.36,2860.64
0.83,137.17,73.73,365.68,1673.48,2922.91
