time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1288.1,2544.45,3614
0.04,0,59.91,1579.27,3034.84,3606.8
0.05,0,60.24,1590.65,2632.21,3470.45
0.06,0,62.07,1561.82,2646.05,3861.18
0.07,0,63.83,1756.38,2797.13,4238.15
0.08,0,65.61,1638.91,2603.68,4077.86
0.09,0,69.54,624.8,1898.89,3061.67
0.1,0,77.43,172.59,1759.67,2549.58
0.11,0,80.28,182.98,1953.45,3321.28
0.12,58.74,78.2,178.99,2078.77,3082.42
0.13,57.9,76.43,182.86,2077.82,3197.09
0.14,57.11,73.26,196.8,1906.23,3204.52
0.15,57.14,69.3,192.98,1610.18,2890.58
0.16,57.56,67.66,180.58,1567.88,2733.07
0.17,57.96,66.55,174.7,1735.95,2389.48
0.18,58.11,65.22,173.23,1857.26,2837.06
0.19,0,62.91,169.5,1634.36,2517.57
0.2,0,64.11,109.32,1551.61,2472.68
0.21,0,65.84,103.14,1661.14,2584.36
0.22,0,67.11,693.18,2032.91,2952.61
0.23,115.58,71.01,199.57,1647.24,2397.55
0.24,115.2,75.53,261.64,1699.04,2372.53
0.25,116.93,77.86,233.78,1667.96,2384.7
0.26,121.4,77.68,238.66,1540.61,2384.7
0.27,122.73,78.19,229.72,1492.92,2297.42
0.28,121.22,79,236.79,1385.73,2321.44
0.29,120.95,80.01,229.32,1332.91,2344.02
0.3,122.14,80.18,232.43,1379.49,2393.53
0.31,123.52,80.25,230.38,1447.97,2389.49
0.32,124.89,79.96,248.9,1726.94,2375.98
0.33,126.81,79.33,257.73,1776.68,2371.84
0.34,129.27,78.7,265.54,1763.31,2397.73
0.35,135.68,79.17,307.53,1749.32,2418.65
0.36,140.24,81.32,489.46,1688.58,2712.86
0.37,142.09,83.01,614.16,1708.41,2827.62
0.38,144.45,84.44,659.14,1718.37,2865.01
0.39,147.12,85.34,685.14,1728.07,2885.75
0.4,150.35,85.76,695.93,1716.9,2900.25
0.41,153.93,86.13,716.62,1671.52,2924.56
0.42,157.46,86.45,737.52,1614,2966.76
0.43,160.91,86.43,724.74,1568.92,3019.47
0.44,164.54,86.32,690.92,1512.47,3038.41
0.45,166.99,86.06,658.81,1484.8,3092.99
0.46,168.26,85.38,622.59,1428.87,3129.57
0.47,169.58,84.76,558.5,1345.59,3128.15
0.48,170.98,82.75,619.48,1490.62,3187.87
0.49,173.92,79.66,674.19,1541.93,3175.13
0.5,178.02,79.4,669.06,1596.77,3226.39
0.51,183.32,79.87,672.58,1571,3238.63
0.52,187.83,81.63,604.94,1282.15,3210.3
0.53,190.41,83.21,550.3,1150.72,3204.17
0.54,192.36,84.56,564.55,1192.63,3206.5
0.55,193.97,85.71,583.2,1231.23,3126.44
0.56,195.08,87.03,586.97,1231.76,3106.17
0.57,195.62,88.01,592.63,1223.31,2983.39
0.58,195.76,88.58,590.92,1212.98,2910.02
0.59,195.93,88.8,587.44,1215.62,2718.79
0.6,196.3,88.88,589.34,1217.59,2651.96
0.61,196.63,88.75,584.57,1199.07,2729.09
0.62,196.85,88.37,581.86,1183.11,2901.99
0.63,197.09,87.82,576.76,1181.46,2899
0.64,197.43,87.16,575.28,1133.27,2795.11
0.65,197.78,86.47,570.83,985.38,2739.35
0.66,197.95,85.87,558.67,896.51,2754.2
0.67,197.9,85.91,522.7,846.26,2777.57
0.68,198.15,86.43,495.31,817.2,2806.7
0.69,199,86.74,467.79,813.83,2801.18
0.7,199.8,86.2,461.95,821.38,2800.87
0.71,199.17,84.61,497.98,841.07,2771.43
0.72,196.83,83.26,515.84,1063.51,2733.26
0.73,196.48,83.77,581.58,1191.99,2686.71
0.74,0,84.15,628.36,1284.1,2684.79
0.75,0,81.82,644.6,1381.43,2678.84
0.76,357.07,79.21,702.25,1469.59,2693.88
0.77,359.79,79.05,720.41,1516.44,2677.57
0.78,358.79,76.98,705.93,1390.93,2666.92
0.79,0,73.29,665.12,1541,2693.12
0.8,0,73.55,688.42,1690.35,2703.2
0.81,0,76.3,753.25,1675.72,2702.81
0.82,0,79.89,790.78,1669.73,2676
0.83,139.43,82.83,815.01,1700.23,2633.77
