time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,191.66,1799.98,2945.61
0.04,0,57.51,248.13,1984.93,3025.77
0.05,0,59.09,1470.09,2741.54,3512.32
0.06,0,57.79,563.62,2074.11,3326.05
0.07,0,56.98,462.18,1905.44,3272.01
0.08,0,58.28,1041.74,1920.4,3226.06
0.09,0,58.59,1349.36,2540.74,3760.14
0.1,0,59.3,1586.34,3067.01,4205.52
0.11,0,62.8,607.1,2580.3,3237.82
0.12,0,64.39,1971.01,3024.61,4361.69
0.13,0,64.86,1629.22,2934.34,4023.26
0.14,0,64.48,382.24,1945.26,3157.45
0.15,0,60.41,197.7,1667.61,2910.4
0.16,0,62.46,1405.82,2822.79,3808.23
0.17,0,66.45,1979.22,3125.29,4287.41
0.18,0,67.33,2101.41,3194.31,4390.37
0.19,0,66.3,1791.04,2908.81,3768.42
0.2,0,63.34,1495.96,2767.63,3501.96
0.21,0,65.7,638.36,1503.17,2708.97
0.22,0,74.17,589.91,1474.01,2587.8
0.23,0,80.03,632.53,1499.05,2504.84
0.24,0,82.04,594.86,1500.81,2447.71
0.25,0,80.69,525.86,1505.32,2370.01
0.26,0,77.05,461.91,1461.76,2422.97
0.27,119.57,73.99,411.6,1500.47,2777.99
0.28,111.41,70.77,388.77,1451.75,2645.65
0.29,110.74,66.67,532.83,1433.11,2620.41
0.3,0,65.03,506.01,1444.37,2470.23
0.31,0,64.79,561.7,1425.46,2519.02
0.32,0,64.67,584.94,1941.13,2847.44
0.33,0,65.28,484.12,2052.15,2781.97
0.34,0,66.38,2048.89,2625.41,3741.63
0.35,0,67.47,556.27,2153.37,2590.39
0.36,180.52,72.37,420.54,2163.38,2566.2
0.37,173.76,80.4,293.72,2206.97,2736.42
0.38,170.92,83.89,317.78,2158.33,2689.67
0.39,166.69,84.36,323.78,2167.09,2709.54
0.4,166.6,83.97,329.61,2201.29,2750.64
0.41,168.54,83.79,327.51,2230.12,2878.58
0.42,170.14,83.25,325.64,2197.59,2852.84
0.43,171.7,81.85,313.46,2225.19,2645.19
0.44,171.73,79.83,288.03,2204.5,2514.56
0.45,167.78,77.19,296.11,2153.58,2539.39
0.46,159.72,73.76,314.95,2222.17,2850.71
0.47,164,71.04,332.87,2091.15,3417.58
0.48,166.71,69.61,338.83,2055.68,3331.7
0.49,169.23,69.37,327.08,2115.51,3347.48
0.5,169.85,69.57,332.83,2099.71,3399.74
0.51,170.05,68.53,341.32,2119.98,3427.51
0.52,169.54,66.25,349.27,2161.59,3477.92
0.53,168.98,64.68,348.82,1988.12,3340.64
0.54,0,66.05,519.19,1985.66,3442.5
0.55,0,68.41,558.42,1903.57,2689.11
0.56,0,72.88,376.38,1720.95,2758.55
0.57,0,78.75,434.98,1626.23,2645.24
0.58,0,80.74,462.25,1626.62,2501.3
0.59,0,78.52,459.02,1607.04,2412.51
0.6,0,74.39,404.7,1634.1,2390.82
0.61,0,71.22,393.27,1728.28,2586.99
0.62,0,68.88,372.22,1702.83,2724.26
0.63,0,66.5,397.91,2013.19,2895.33
0.64,0,66.18,437.44,2086.73,2641.05
0.65,377.72,67.2,380.31,1892.94,2730.13
0.66,367,68.03,374.01,1838.78,2771.52
0.67,389.13,66.52,401.18,1697.21,2682.98
0.68,0,63.55,422.39,1686.09,2730.38
0.69,65.87,62.21,370.44,1673.33,2868.03
0.7,66.03,62.37,367.97,1714.26,2821.13
0.71,0,63.6,397.49,1875.38,2851.97
0.72,0,67.52,655.2,1788.6,2801.05
0.73,0,68.91,758.19,2109.23,2792.22
0.74,0,67.89,588.43,2346.98,2726.62
0.75,0,67.69,514.66,2260.63,2688.3
0.76,0,69.3,620.43,2209.27,2444.26
0.77,0,73.82,549.56,2048.56,2496.51
0.78,0,80.89,523.56,1989.77,2493.25
0.79,146.03,84.58,564.82,2034.14,2468.55
0.8,146.03,84.32,567.91,2001.48,2433.73
0.81,146.06,81.83,524.06,1963.5,2407.43
0.82,151.43,79.19,510.33,1995.91,2488.6
0.83,149.32,76.81,501.97,2100.93,2678.51
0.84,146.2,75.41,468.08,2022.12,2586.07
