time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.73,1964.66,3213.54,4266.21
0.04,0,60.43,821.42,2364.23,3551.18
0.05,0,56.79,194.12,1946.4,3070.14
0.06,0,55.46,1954.3,3167.77,4254.29
0.07,0,56.3,166.39,1908.74,3119.39
0.08,0,58.54,2116.08,3348.3,3929.2
0.09,0,58.36,1879.03,2789.42,3963.91
0.1,0,58.74,1892.82,3156.65,3956.35
0.11,0,61.44,1831.74,3063,3732.34
0.12,0,62.62,1901.01,2925.15,3997.81
0.13,0,60.56,1224.5,2522.84,3947.1
0.14,0,63.06,576.26,1303.1,2519.46
0.15,0,70.72,441.82,2307.6,3297.53
0.16,136.66,76.47,433.16,690.86,2910.31
0.17,135.54,79.58,406.36,770.34,2903.31
0.18,133.74,81.01,403.26,783.96,2928.52
0.19,132.7,82.2,406.48,794.89,2915.62
0.2,132.73,83.31,414.26,803.17,2931.45
0.21,133.39,83.87,429.16,837.58,3072.31
0.22,133.97,84.37,476.43,865.12,2882.95
0.23,134.27,85.43,523.85,882.72,2800.94
0.24,134.56,85.97,542.57,885.23,2792.74
0.25,135.16,85.65,536.1,921.18,2772.34
0.26,136.37,84.59,521.25,936.87,2759.45
0.27,139.47,83,484.32,894.66,2631.39
0.28,142.95,82.48,447.39,955.17,2605.81
0.29,144.94,83.63,431.12,940.36,2660.27
0.3,146.4,84.53,428.34,901.73,2706.89
0.31,148.28,84.39,433.96,848.91,2626.78
0.32,151.13,83.7,434.12,850.17,2572.8
0.33,154.61,83.4,439.07,826.11,2608.05
0.34,157.24,84.4,451.68,823.12,2611.85
0.35,158.28,85.93,461.07,862.15,2547.38
0.36,158.08,86.93,471.77,919.1,2507.57
0.37,156.63,85.45,481.88,986.23,2462.84
0.38,153.09,82.92,495.38,1008.68,2387.23
0.39,148.52,82.2,500.79,1103.79,2421.22
0.4,144.73,81.74,513.06,1256.21,2421.34
0.41,142.52,80.37,497.14,1322.12,2456.16
0.42,0,77.02,480.93,1368.62,2532.43
0.43,467.4,73.7,466.43,1359.67,2735.19
0.44,463.65,71.61,466.45,1402.06,2672.48
0.45,460.04,69.98,482.17,1501.64,2641.05
0.46,462.42,70.12,464.68,1398.65,2746.75
0.47,468.86,68.96,507.34,1412.8,2716.51
0.48,469.34,68.74,485.16,1438.11,2795.25
0.49,466.95,69.31,470.61,1594,2687.08
0.5,470.4,67.83,487.82,1943.16,2698.26
0.51,482.5,65.19,510.4,2356.51,2590.82
0.52,0,63.69,515.56,2155.8,2746.85
0.53,148.73,70.81,413.66,2606.17,3283.38
0.54,147.38,76.87,305.43,2363.97,2663.76
0.55,143.92,79.13,300.08,2137.87,2699.89
0.56,140.79,79.87,293.86,2083.56,2861.68
0.57,139.2,80.3,301.17,2120.69,2859.97
0.58,138.31,80.75,290.67,2108.36,2867.2
0.59,137.38,81.2,291.74,2120.4,2711.97
0.6,136.16,81.25,290.24,2115.49,2615.36
0.61,134.82,81.31,303.12,2147.41,2675.2
0.62,133.09,81.06,319.12,2117.4,2670.92
0.63,130.59,80.09,334.61,2106.71,2650.92
0.64,127.15,79.19,354.5,2157.4,2588.33
0.65,123.64,79.54,346.11,2106.41,2587.02
0.66,120.55,80.92,327.51,2133.79,2805.7
0.67,117.12,81.68,323.56,2098.54,2497.48
0.68,113.38,80.92,323.72,1985.36,2419.61
0.69,110.66,80.4,317.17,1950.22,2512.33
0.7,109.38,80.78,326.25,2006.91,2600.74
0.71,108.38,79.53,317.66,1962.94,2716.22
0.72,107.19,76.51,292.81,1970.09,2919.87
0.73,104.91,73.02,316.65,2226,2964.99
0.74,103.22,72.78,312.91,2193.26,2766.12
0.75,103.45,73.35,312.42,2071.86,2760.89
0.76,103.91,72.87,308.36,2032.03,2736.54
0.77,102.68,72.07,293.05,1924.99,2856.49
0.78,100.58,70.63,280.73,2017.14,2853.52
0.79,0,70.97,271.48,2051.19,2935.2
0.8,0,71.21,273.55,2214.2,3039.53
0.81,0,70.46,272,1928.92,3349.94
0.82,0,69.24,279.08,2090.37,3922.63
0.83,0,66.04,270.31,2057.42,3683.45
