time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,54.92,2035.19,2451.99,4153.52
0.04,0,55.36,2125.54,2447.59,4225.31
0.05,0,59.27,1314.26,2625.32,3558.79
0.06,0,64.01,2001.98,3158.52,4240.76
0.07,0,64.5,659.59,2307.9,3346.7
0.08,0,62.75,938.11,2585.41,3039.69
0.09,0,62.36,1051,2285.08,3151.85
0.1,0,63.63,585.73,2329.55,2752.09
0.11,0,63.82,535.9,2174.09,2734.65
0.12,0,63.56,609.28,2151.47,2739.22
0.13,0,65.24,1073.21,2235.77,2838.87
0.14,0,68.06,770.89,1905.19,2493.53
0.15,0,70.98,756.62,1952.28,2520.83
0.16,0,79.4,690.79,1756.74,2486.01
0.17,0,85.06,668.27,1686.93,2373.85
0.18,143.08,86.53,661.71,1634.16,2312.88
0.19,143.53,85.83,651.66,1585.45,2281.51
0.2,145.79,84.03,603.88,1603.72,2357.34
0.21,148.85,81.9,561.46,1641.53,2345.05
0.22,150.21,78.17,532.19,1635.39,2371.03
0.23,146.17,73.9,623.48,1603.5,2506.82
0.24,143.3,70.82,601.08,1557.01,2423.16
0.25,144.56,69.21,627.31,1672.7,2549.25
0.26,144.97,68,625.42,1662.14,2342.61
0.27,0,66.34,659.01,1611.3,2413.81
0.28,0,65.7,673.54,1892.39,2782.01
0.29,0,65.96,928.69,2190.71,3161.57
0.3,0,67.35,713.81,2199.42,3288.05
0.31,0,69.05,701.21,2704.43,3164.59
0.32,0,71.09,665.34,2581.99,3148.78
0.33,0,71.48,758.96,2542.97,3524.56
0.34,0,69.63,722.47,2203.63,3698.91
0.35,0,66.29,731.86,2049.86,3390.55
0.36,480.95,65.54,657.05,2099.09,3330.39
0.37,484.24,66.49,539.93,1760.17,3400.16
0.38,484.3,63.85,512.96,1878.86,3184.9
0.39,0,61.2,640.98,2058.09,3312.29
0.4,0,61.75,632.32,1982.52,3205.54
0.41,0,63.74,556.52,2105.84,3244.51
0.42,0,73.52,441.65,1677.04,2666.14
0.43,0,79.2,508.41,1377.34,2569.46
0.44,141.71,80.1,579.38,1406.54,2585.22
0.45,139.84,79.44,599.45,1405.55,2578.64
0.46,136.18,78.16,606.88,1357,2638.85
0.47,132.52,77.16,447.06,1275.86,2537.67
0.48,130.16,77.4,312.86,1369.56,2477.78
0.49,128.85,77.65,608.25,1828.38,3104.92
0.5,127.62,77.89,292.18,1424.51,2483.16
0.51,125.76,78.24,265.02,1492.93,2504.77
0.52,123.55,78.81,273.72,1313.52,2537.58
0.53,121.48,79.03,230.71,1235.05,2527.15
0.54,119.35,78.47,206.4,1330.35,2709.96
0.55,116.56,76.85,991.84,2549.22,3631.15
0.56,112.79,74.85,251.7,1599.46,2671.48
0.57,110.01,72.76,312.94,1770.34,2570.21
0.58,109.87,70.87,322.31,2042.56,2482.1
0.59,111.43,70.33,267.76,1953.57,2565.65
0.6,112.67,69.58,220.23,1944.33,3029.81
0.61,111.72,66.11,1467.07,3489.42,3943.29
0.62,111.92,63.41,350.04,2159.31,3098.89
0.63,113.25,68.51,335.31,1878.73,2814.54
0.64,113.54,74.08,325.07,1862.47,2525.49
0.65,113.44,77.64,330.36,1902.07,2489.88
0.66,113.38,79.58,330.39,1942.87,2485.82
0.67,113.26,80.57,330.19,1975.39,2557.66
0.68,112.82,81.12,327.27,1994.92,2555.57
0.69,112.01,81.45,326.43,2022.18,2562.15
0.7,111,81.67,324.85,2073.38,2673.25
0.71,110.11,81.83,321.31,2053.34,2711.97
0.72,109.37,81.6,317.85,2063.98,2641.94
0.73,108.84,80.89,315.37,2091.98,2636.14
0.74,108.67,79.89,315.79,2116.25,2651.01
0.75,108.69,78.05,313.84,2050.5,2686.31
0.76,108.65,74.72,309.57,2128.29,2724.9
0.77,107.55,71.68,302.1,2171.96,2748.01
0.78,106.8,73.01,315.08,2129.98,2780.82
0.79,106.67,74.4,319.16,2068.72,2757.93
0.8,105.95,73.71,313.08,2108.9,2730.22
0.81,103.83,71.95,287.71,2103.75,2688.92
0.82,102.76,72.6,305.58,2089.24,2661.11
0.83,102.76,73.81,310.06,2135.39,2627.04
