time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,56.52,1164.94,2386.29,3666.07
0.04,0,57.51,2153.61,2982.06,4003.71
0.05,0,61.15,1932.66,3015.68,3779.2
0.06,0,61.15,2011.96,3325.2,3521.59
0.07,0,58.95,1725.3,2837.89,3897.5
0.08,0,61.46,2060.99,2854.88,3848.52
0.09,0,60.65,1667.66,2846.66,3773.04
0.1,0,59.42,1039.93,2471.92,3832.82
0.11,0,62.76,964.64,2221.01,3346.46
0.12,0,64.33,1986.52,3103.08,4146.45
0.13,0,66.17,427.18,1676.67,2628.83
0.14,0,75.38,568.8,1820.04,2595.7
0.15,0,82.61,451.7,1872.68,2507.98
0.16,0,84.93,506.81,1820.75,2475.12
0.17,133.16,85.69,569.37,1815.57,2406.96
0.18,131.18,86.78,633.52,1789.04,2391.71
0.19,130.2,87.7,672.26,1794.36,2408.06
0.2,130.16,88.12,739.5,1772.5,2412.86
0.21,130.33,88.3,759.8,1819.01,2468.36
0.22,130.85,88.04,764.83,1573.12,2426.41
0.23,131.85,87.33,762.47,1410.12,2405.49
0.24,133.51,85.85,765.08,1285.76,2406
0.25,135.77,84.37,724.3,1105.06,2281.29
0.26,137.22,84.09,700.24,1074.9,2321.53
0.27,138.21,83.67,680.93,1093.07,2314.6
0.28,139.55,82.15,674.82,1157.81,2370.74
0.29,141.16,80.69,640.37,1083.48,2452.21
0.3,142.61,79.87,609.82,1150.96,2501.63
0.31,144.03,79.5,455.53,1202,2526.71
0.32,146.2,79.66,388.02,1115.25,2469.27
0.33,147.55,79.29,460.27,1276.67,2429.57
0.34,148.38,78.86,341.47,1262.49,2459.39
0.35,148.41,78.2,521.28,863.71,2400.56
0.36,147.39,76.83,309.68,1201.79,2478.55
0.37,145.61,74.99,500.88,1271.43,2537.79
0.38,143.75,73.5,324.29,1068.82,2394.44
0.39,149.79,73.85,263.56,1468.93,2499.25
0.4,153.23,77.62,419.62,2047.59,2689.55
0.41,153.5,81.08,431.18,1671.42,2599.83
0.42,153.16,82.09,438.23,1596.22,2648.84
0.43,152.3,80.93,438.13,1537.86,2596.68
0.44,150.1,77.94,414.39,1488.1,2599.39
0.45,146.77,75.38,399.83,1477.06,2727.42
0.46,146.62,75.52,422.32,1413.12,2741.46
0.47,150.31,77.32,423.82,1391.98,2796.07
0.48,154.86,80.85,435.94,1359.72,2759.71
0.49,156.87,84,466.43,1236.32,2715.51
0.5,156.25,85.09,473.43,1025.63,2646.47
0.51,153.54,84.61,460.45,968.42,2708.02
0.52,149.78,84.08,437.94,948.47,2670.48
0.53,146.14,83.37,420.79,900.3,2705.35
0.54,143.46,81.92,420.46,902.3,2906.24
0.55,141.9,79.69,419.39,809.1,2785.38
0.56,139.35,77.18,376.81,840,2705.84
0.57,136.01,76.51,401.53,771.81,2820.25
0.58,133.03,77.11,391.41,868.82,2799.76
0.59,130.59,79.14,403.76,739.25,2788.74
0.6,129.02,81.21,386.2,704.29,2842.79
0.61,126.61,82.91,397.06,647.48,2809.62
0.62,123.98,84.11,461.55,683.77,2811.35
0.63,121.81,85.55,565.27,740.36,2830.7
0.64,119.86,86.01,578.4,815.38,2823.63
0.65,118.34,86.06,645.09,889.13,2851.15
0.66,116.91,86.61,665.7,937.17,2812.81
0.67,115.53,86.88,683.22,920.89,2805.71
0.68,114.25,86.86,723.93,1000.75,2629.76
0.69,113.05,86.51,733.77,1085.52,2569.39
0.7,111.82,85.48,760,1144.83,2504.72
0.71,110.64,84.48,762.7,1184.43,2436.8
0.72,109.24,83.36,763.58,1272.91,2352.58
0.73,107.3,81.81,774.31,1429.46,2249.24
0.74,105.16,81.34,719.42,1467.11,2249.26
0.75,103.49,80.73,693.98,1498.65,2174.92
0.76,102.72,80.27,682.32,1639.85,2198.18
0.77,102.43,78.6,637.94,1766.26,2354
0.78,102.32,76.3,600.05,1584.4,2390.53
0.79,102.6,74.49,590.84,1610.59,2311.74
0.8,102.69,73.88,579.15,1990.69,2103.78
0.81,102.52,74.02,561.36,1814.11,2269.4
0.82,102.28,73.85,563.66,1872.62,2306.6
0.83,101.85,73.16,541.23,1873.4,2058.28
