time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,533.5,2061.95,3102.9
0.04,0,61.87,1445.55,2880.36,4038.55
0.05,0,65.68,1861.54,3134.85,4182.87
0.06,0,65.26,517.37,2159.94,3197.8
0.07,0,61.48,150.1,1879.93,2812.48
0.08,0,60.6,1748.56,3036.8,4148.65
0.09,0,60.53,1860.44,3008.29,4052.05
0.1,0,57.03,648.6,2286.81,3493.54
0.11,0,55.26,180.94,2110.72,3321.63
0.12,0,57.42,1824.75,2891.89,3396.43
0.13,168.75,65.86,208.07,2245.14,2950.18
0.14,161.82,73.28,231.34,2150.82,2835.28
0.15,153.56,76.51,284.28,2059.49,2816.55
0.16,150.14,78.26,293.61,2076.22,2835.35
0.17,149.09,79.58,286.74,2072.35,2838.44
0.18,148.74,80.37,296.05,2057.66,2783.23
0.19,149.02,80.71,297.91,2061.43,2747.94
0.2,149.74,80.65,300.66,2077.54,2802.24
0.21,150.61,80.81,302.32,2079.77,2813.19
0.22,152.22,80.89,298.84,2109.39,2824.1
0.23,154.12,80.13,293.49,2183.94,2842.77
0.24,154.16,78.3,293.34,2244.92,2776.75
0.25,151.81,75.65,267.91,2273.16,2801.88
0.26,149.67,72.92,248.64,2329.63,2794.84
0.27,148.56,70.57,310.73,2269.99,2750.79
0.28,148.04,69.66,275.89,2217.26,2857.92
0.29,149.08,70.61,794.23,2040.12,2724.2
0.3,155.2,73.73,368.18,2092.1,2304.11
0.31,157.66,77.73,348.03,2005.16,2765.33
0.32,156.95,80.84,365.38,1924.61,2523.08
0.33,156.58,81.7,395.67,1740.77,1903.51
0.34,156.29,82.09,432.83,1852.16,1888.82
0.35,155.92,83.25,447.62,1618.19,1876.94
0.36,155.26,84.35,448.16,1339.43,1812.22
0.37,154.02,84.93,446.7,1470.18,1709.69
0.38,151.97,84.76,438.24,1569.33,1618.34
0.39,149.21,83.36,424.88,1433.15,1739.5
0.4,146.38,80.46,411.09,1348.76,1813.85
0.41,146.01,77.46,312.85,609.31,1820.48
0.42,147.55,75.69,410.29,1408.04,1564.52
0.43,134.57,74.12,365.23,1650.78,2799.4
0.44,122.41,73.19,433.04,1645.84,3031.02
0.45,117.42,73.35,435.73,787.79,2114.65
0.46,116.31,73.65,437.24,1699.43,3046.61
0.47,127.54,74.04,397.5,1617.31,2945.09
0.48,133.02,76.41,361.61,1927.82,2781.44
0.49,130.57,79.04,343.29,1981.15,2327.31
0.5,127.96,80.23,340.15,1965.66,2416.81
0.51,126.45,80.24,330.82,1999.09,2566.6
0.52,126.28,80.25,286.31,2011.83,2653.34
0.53,126.65,80.5,296.98,2046.4,2753.53
0.54,126.78,80.15,286.24,2105.3,2786.46
0.55,126.46,79.57,275.42,2101.04,2722.67
0.56,125.91,79.65,273.01,2089.59,2765.58
0.57,125.54,80.05,267.03,2052.19,2706.8
0.58,125.14,80.52,279.2,2070.38,2724.88
0.59,123.84,80.81,285.78,2081.95,2703.71
0.6,122.85,80.87,299.56,2036.16,2552.28
0.61,122.2,79.98,317.65,1960.43,2637.53
0.62,120.77,77.09,323.47,1932.49,2858.64
0.63,118.48,73.18,292.83,1994.5,2903.51
0.64,118.71,70.71,323.27,2020.34,2785.07
0.65,120.98,69.78,305.81,2003.44,2873.14
0.66,122.38,70.55,244.42,2074.38,2825.63
0.67,122.77,70.38,254.03,2010.42,2803.88
0.68,0,68.46,253.67,2137.57,2884.63
0.69,0,67.78,187.56,2043.86,2733.94
0.7,0,68.18,303.14,1872.15,2717.13
0.71,0,67.72,332.99,1614.98,2683.37
0.72,0,70.14,434.88,1421.47,2406.68
0.73,473.55,73.2,481.71,1438.6,2056.35
0.74,474.56,73.57,502.99,1465.97,2078.25
0.75,479.45,73.83,507.79,1426.91,2056.86
0.76,486.68,73.84,495.78,1403.82,2082.56
0.77,493.71,71.96,506.03,1416.26,1983.34
0.78,0,68.27,515.71,1519.03,1962.72
0.79,0,68.89,513.14,1417.26,2401.02
0.8,0,69.51,486.55,1432.48,2935.57
0.81,0,68.92,332.89,1493.02,1862.65
0.82,0,67.02,396.21,1553.26,2571.48
