time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,65.98,1803.13,3149.13,4007.35
0.04,0,66.11,1333.96,3004.49,3723.31
0.05,0,65.78,882.3,2282.17,3393.01
0.06,0,64.65,126.14,1778.85,2972.27
0.07,0,65.39,1649.12,2946.44,3936.74
0.08,0,63.42,150.07,1872.15,2918.21
0.09,0,59.06,193,1748.74,2791.56
0.1,0,57.88,145,1801.43,2760.62
0.11,0,60.31,829.81,2026.78,2955.82
0.12,0,60.05,1251.05,2309.64,3208.29
0.13,0,62.02,1940.27,2521.45,3785.08
0.14,0,64.26,1479.95,2471,3750
0.15,0,63.58,1605.91,2637.9,3933.53
0.16,407.45,61.26,1551.08,2568.64,3716.07
0.17,361.91,62.06,1533.06,2528.39,3675.66
0.18,0,61.95,1571.19,2558.05,3677.4
0.19,0,66.41,1110.64,2229.86,3171.85
0.2,150.94,76.56,421.07,1975.96,2563.39
0.21,150.87,82.26,450.95,1667.46,2330.21
0.22,149.73,83.69,475.14,1730.46,2336.01
0.23,147.45,83.21,479.52,1794.76,2366.35
0.24,146.69,83.06,487.1,1848.06,2376.25
0.25,147.85,83.05,496.28,1859.92,2329.7
0.26,148.92,82.87,487.68,1841.42,2318.49
0.27,149.16,81.89,493.18,1868.12,2332.22
0.28,148.98,81.27,509.44,1842.67,2259.54
0.29,149.01,81.26,517.59,1803.29,2219.87
0.3,149.31,81.42,540.91,1774.85,2061.29
0.31,149.96,81.38,572.08,1686.42,1902.38
0.32,150.91,80.7,597.66,1550.6,1891.84
0.33,151.47,80.51,608.99,1483.23,1803.71
0.34,151.45,80.41,607.53,1449.87,1771.12
0.35,151.3,79.91,593.85,1454.34,1704.78
0.36,151.07,79.62,584.75,1461.04,1728.7
0.37,150.63,79.2,567.95,1439.23,1726.73
0.38,149.89,78.51,549.46,1402.39,1686.93
0.39,148.83,77.89,526.61,1367.31,1766.29
0.4,147.65,77.63,519.88,1355.08,1764.85
0.41,146.81,77.83,515.96,1400.6,1754.36
0.42,146.02,77.32,506.06,1438.82,1782.43
0.43,144.72,76.27,474.23,1484.81,1880.56
0.44,143.17,75.79,480.51,1575.13,2007.72
0.45,141.29,75.8,429.45,1623.3,2275.01
0.46,138.31,75.65,379.9,1615.97,2569.11
0.47,135.68,75.79,293.98,1572.13,2593.53
0.48,134.86,76.32,366.55,1515.3,2616.08
0.49,134.03,76.33,371.93,1539.97,2599.25
0.5,131.45,75.89,295.05,1487.9,2587.66
0.51,127.43,75.39,270.43,1480.05,2594.09
0.52,123.14,74.72,237.89,1518.51,2643.34
0.53,120.39,73.1,208.62,1498.23,2630.7
0.54,0,70.18,865.57,2091.51,3401.87
0.55,0,67.2,266.53,1529.94,2579.24
0.56,0,64.27,529.28,1783.31,2569.81
0.57,0,61.61,465.48,1735.28,2987.44
0.58,0,62.29,201.74,1803.07,3090.62
0.59,0,62.88,250.91,2339.04,3503.46
0.6,482.75,64.8,254.55,2000.32,3724.82
0.61,483.28,68.18,1925.06,3680.96,4541.28
0.62,482.79,70.06,1835.87,3461.67,4338.12
0.63,480.58,69.19,1811.1,3328.39,4296.67
0.64,0,67.58,1793.28,3383.01,3864.64
0.65,0,65.99,1766.24,3069.98,3925.22
0.66,0,63,569.82,1766.31,3345.56
0.67,0,60.44,1080.84,2513.56,3731.98
0.68,0,62.39,1563.41,2633.77,3754.11
0.69,0,61.74,1329.98,2195.1,3307.94
0.7,0,56.31,977.74,1801.2,3485.73
0.71,0,56.38,843.01,2217.88,3512.48
0.72,0,64.31,882.55,2238.01,3575.8
0.73,131.23,71.08,459.8,1502.29,3160.88
0.74,130.71,77.39,381.02,744.58,2356.86
0.75,129.63,81.1,408.92,777.06,2283.53
0.76,128.25,82.24,405.64,810.19,2308.34
0.77,126.27,81.93,438.63,888.58,2300.85
0.78,124,82.37,500.01,1026.71,2293.77
0.79,121.91,83.28,523.12,1169.34,2285.12
0.8,119.87,83.21,554.28,1316.68,2093.75
0.81,117.87,82.9,574.68,1391.05,1984.41
0.82,116.23,82.57,583.57,1465.75,1941.23
0.83,114.97,82.16,578.45,1488.29,1897.95
