time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,57.73,1636.88,2779.51,4086.13
0.04,0,60.19,916.33,2272.34,3543.23
0.05,0,61.85,1860.92,2983.67,4308.03
0.06,0,61.66,816.65,2336.78,3278.27
0.07,0,62.96,2228,2851.96,4103.08
0.08,0,61.69,1183.3,2475.97,3558.59
0.09,0,58.35,1693.38,2862.44,4021.36
0.1,0,54.87,180.77,1876.81,2844.26
0.11,0,59.77,880.83,2191.73,3191.09
0.12,0,62.79,1731.76,2942.89,4117.57
0.13,0,61.77,1229.63,2786.63,4168.06
0.14,0,63.6,1615.11,2689.76,4004.89
0.15,0,69.57,153.42,2134.29,2844.8
0.16,0,73.5,191.17,2442.84,2840.28
0.17,134.62,74.55,236.64,1414.77,2355.04
0.18,132.8,75.37,233.6,1363.56,2388.17
0.19,130.94,76.19,251.67,1173.66,2296.58
0.2,128.93,77,250.07,1368.02,2317.63
0.21,127,77.64,240.68,879.06,2061.6
0.22,126.41,78.13,234.94,1551.26,2371.49
0.23,130.97,78.93,262.01,1491.82,2414.37
0.24,131.88,81.28,501.83,1473.03,2462.6
0.25,129.84,84.36,622.12,1461.02,2518.02
0.26,129.51,86.33,675.67,1400.74,2569.02
0.27,130.29,87.16,721.54,1304.55,2634.92
0.28,131.04,87.96,746.71,1262.59,2788.96
0.29,131.33,88.22,749.09,1140.93,2857.47
0.3,131.09,87.89,724.19,967.62,2821.12
0.31,131.03,86.99,643.46,961.96,2879.25
0.32,131.95,85.37,595.97,956.16,2962.39
0.33,133.42,83.58,562.05,892.29,2891.55
0.34,133.98,82.34,511.11,870.28,2712.73
0.35,133.53,82.22,492.89,902.34,2773.46
0.36,133.62,82.31,460.98,861.9,2919.75
0.37,135.16,82.44,479.62,969.16,2955.89
0.38,136.34,83.16,540.97,894.2,2933.55
0.39,135.85,83.88,615.94,891.94,2792.27
0.4,134.04,84.43,612.23,974.78,2774.88
0.41,131.77,84.5,605.15,969.13,2783.15
0.42,129.83,83.72,602.22,981.8,2736.99
0.43,128.23,83.12,576.31,961.05,2691.95
0.44,126.97,82.62,531.04,936.58,2648.69
0.45,125.78,81.93,491.48,899.96,2630.62
0.46,124.79,81.59,483.22,855.97,2615.82
0.47,124.51,81.34,445.87,879.51,2638.68
0.48,124.73,82.33,475.76,888.35,2608.68
0.49,123.95,83.49,507.07,875.65,2506.28
0.5,122.23,83.64,554.72,1038.41,2438.24
0.51,119.83,83.31,602.15,1174.97,2430.89
0.52,116.64,83.05,663.07,1325.48,2383.33
0.53,114.62,82.68,690.42,1417.02,2365.54
0.54,113.19,82.73,733.17,1480.97,2397.46
0.55,111.89,83.28,759.54,1505.94,2410.94
0.56,110.85,83.5,758.45,1497.08,2337.76
0.57,110.03,83.01,750.45,1505.27,2326.64
0.58,109.54,81.61,753.14,1527,2336.09
0.59,109.17,79.92,739.54,1492.71,2357.34
0.6,108.7,78,745.21,1474.66,2383.66
0.61,108.41,77.51,752.64,1388.43,2414.2
0.62,108.29,77.64,746.77,1318.3,2419.9
0.63,108.32,77.57,730.87,1252.22,2470.78
0.64,108.9,77.59,717.21,1127.46,2480.29
0.65,109.64,76.87,721.23,1092.29,2501.93
0.66,110.28,74.63,720,1316.51,1885.45
0.67,111.05,71.83,699.89,1469.01,2856.17
0.68,0,70.04,675.26,1264.75,2687.77
0.69,0,68.73,710.58,1077.3,2399.05
0.7,0,66.7,750.37,1171.06,2456.71
0.71,0,64.26,636.66,1159.4,2297.24
0.72,0,62.84,659.52,1225.07,2396.1
0.73,0,63.91,693.79,1420.14,2596.42
0.74,0,65.52,914.88,2047.13,3568.87
0.75,0,65.98,677.01,1347.7,2977.8
0.76,415.26,63.83,846.63,1617.54,2938.08
0.77,411.15,63.45,816.22,1724.37,2778.39
0.78,0,64.13,746.47,1760.26,2961.01
0.79,0,64.21,904.99,1956.12,3070.46
0.8,0,63.92,952.49,2434.62,2825.56
0.81,0,61.45,905.29,2133.56,3092.45
0.82,0,57.88,917.32,1912.39,2952.08
0.83,0,57.61,466,1341.56,2759.55
0.84,0,59.87,841.33,2188.48,3314.5
0.85,0,61.15,646.72,2148.04,2837.52
0.86,0,62.94,508.43,2098.15,3330.71
0.87,0,62.57,471.08,1987.64,2967.61
0.88,0,62.49,413.18,1793.44,2758.68
0.89,0,62.43,1303.67,2355.5,3557.48
0.9,0,61.53,1748,2765.13,3904.65
0.91,0,62.56,420.08,1892.38,2854.25
0.92,0,65.43,204.76,1820.11,2935.92
0.93,0,64.59,282.43,1635.61,2789.26
0.94,0,61.11,631.85,1706.38,2672.79
0.95,0,58.93,642.38,1730.01,2977.28
0.96,0,58.52,912.68,2045.61,3109.22
0.97,0,58.95,840.1,1755.13,3048.07
0.98,0,60.65,926.68,2029.56,3017.27
0.99,0,62.39,888.52,2160.66,3273.56
1,0,64.17,798.21,2214.42,3166.33
1.01,0,0,0,0,0
1.02,0,0,0,0,0
1.03,0,0,0,0,0
