time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2084.4,3280.65,4110.36
0.04,0,61.12,1907.96,2891.71,4087.09
0.05,0,56.92,2138.86,3030.74,4199.51
0.06,0,56.5,302.22,2150.29,3243.33
0.07,0,60.93,457.1,1893.99,2988.6
0.08,0,62.96,583.3,1793.56,2894.17
0.09,0,62.22,704.46,2020.98,3085.08
0.1,0,65.68,847.76,2829.28,2993.07
0.11,0,67.09,799.63,2849.65,3062.88
0.12,0,73.38,404.53,904.82,3030.97
0.13,162.2,81.43,454.09,760.23,2974.3
0.14,160.93,85.53,488.68,800.98,2946.78
0.15,160.95,86.4,504.54,811.26,2995.33
0.16,162.19,85.42,455.95,777.48,2947.4
0.17,163.98,84.49,443.52,728,2976.52
0.18,164.08,84.16,435.34,725.63,2965.46
0.19,162.89,84.13,441.53,745.06,2952.06
0.2,161.93,83.28,437.37,788.2,2938.36
0.21,161.53,81.7,448.79,804.29,2896.37
0.22,162.32,80.53,529.53,772.6,2697.02
0.23,165.31,81.83,514.74,848.1,2805.31
0.24,168.16,83.19,521.3,921.97,2775.87
0.25,170.65,82.71,496.92,1479.7,2647.17
0.26,171.59,82.06,505.13,1582.27,2427.59
0.27,170.82,81.27,518.57,2066.54,2556.38
0.28,170.1,80.8,503.04,2147.08,2571.51
0.29,169.55,80.8,515.64,2243.83,2863.46
0.3,168.83,80.54,450.45,2309.86,2971.76
0.31,167.8,80.06,482.92,2380.39,3001.14
0.32,166.91,79.52,517.3,2381.48,3033.7
0.33,166.26,79.2,505.1,2351.82,3040.56
0.34,165.37,78.96,531.72,2367.09,3072.91
0.35,164.57,78.66,486.41,2258.58,3067.28
0.36,163.76,78.74,459.8,2113.53,3044.57
0.37,162.4,79.03,459.96,1567.71,2118.98
0.38,160.75,79.36,460.27,1722.99,1989.61
0.39,158.93,79.69,461.71,1521.37,2004.05
0.4,156.24,79.79,463.61,1451.32,1965.95
0.41,152.55,79.87,460.31,1356.4,1918.98
0.42,148.86,80.49,442.76,1023.58,1925.74
0.43,145.25,80.84,437.75,1542.02,1963.04
0.44,141.65,80.86,440.73,1586.1,2110.31
0.45,137.7,80.6,442.76,1436.08,2174.24
0.46,133.41,80.36,436.62,1351.24,2334.49
0.47,130.9,80.9,420.41,1281.29,2686.96
0.48,129.03,80.65,402.73,1277.91,2810.75
0.49,125.42,78.38,378.57,1297.54,2898.28
0.5,119.27,75.91,332.23,1573.42,3089.98
0.51,118.96,74.49,304.97,1476.63,3106.34
0.52,120.13,74.02,396.68,1312.15,2867.48
0.53,124.28,75.86,460.66,1041.6,3088.33
0.54,124.86,80.1,491.76,953.77,2812.47
0.55,124.14,83.56,557.21,1011.01,2777.52
0.56,123.19,85.03,589.52,1148.34,2766.15
0.57,122.12,85.44,598.07,1313.76,2704.92
0.58,121,85.14,601.67,1344.23,2632.54
0.59,120.22,84.6,603.34,1423.69,2546.5
0.6,119.79,84.32,604.21,1488.58,2503.29
0.61,119.4,84.27,597.93,1562.67,2456.37
0.62,118.72,84.16,587.29,1646.09,2444.42
0.63,117.58,84.02,578.39,1681.65,2377.98
0.64,116.27,83.93,572.08,1737.6,2316.72
0.65,114.96,83.05,558.49,1819.91,2302.56
0.66,112.62,81.21,528.92,1831.65,2286.26
0.67,110.65,79.56,504.61,1899.12,2308.32
0.68,108.99,78.82,450.7,1939.66,2286.2
0.69,108.29,78.03,418.25,1982.51,2291.69
0.7,0,75.5,407.14,2042.9,2101
0.71,0,72.38,539.22,2042.94,2730.89
0.72,0,69.61,534.7,1795.89,2514.77
0.73,0,68.9,384.44,1682.26,2251.64
0.74,106.67,68.16,383.75,1862.42,2516.19
0.75,108.04,67.2,331.18,1890.87,2602.39
0.76,109.48,67.28,426.1,1965.5,2549.58
0.77,0,67.52,508.4,1951.35,2879.58
0.78,0,66.79,566.18,1918.06,2762.16
0.79,0,65.48,529.06,1811.57,2503.4
0.8,0,65.76,390.29,1561.09,2297.29
0.81,0,66.42,291.52,1469.76,2222.14
0.82,0,64.93,369.96,1589.33,2333.57
0.83,0,60.7,423.14,1691.35,2645.32
