time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.41,106.22,1771.33,3020.71
0.04,0,61.15,1987.81,3027.12,3869.67
0.05,0,60.37,2065.67,3231.49,4345.29
0.06,0,58.44,174.97,1923.92,3117.71
0.07,0,54.62,1530.66,2952.05,4047.82
0.08,0,53.28,117.52,1972.47,3029.71
0.09,0,60.29,113.59,1965.58,2981.84
0.1,0,66.41,2107.09,2991.59,3933.19
0.11,0,67.3,1795.35,2925.97,3808.25
0.12,0,65.34,1743.86,2796.85,3960.5
0.13,0,64.08,1941.24,2951.24,3836.68
0.14,0,64.18,1963.98,3148.92,4244.56
0.15,0,62.85,1837.35,2614.83,3739.15
0.16,0,62.98,622.75,2023.79,2906.56
0.17,159.82,69.43,372.45,1892.53,2661.93
0.18,155.51,77.12,417.17,1926.18,2432.39
0.19,150.69,79.86,452.13,1906.11,2434.67
0.2,151.68,79.82,452.67,1986.39,2453.97
0.21,152.84,79.92,453.28,2079.78,2496.49
0.22,153.6,79.16,441.61,2166.29,2534.73
0.23,153.98,77.01,390.7,2241.02,2466.04
0.24,146.72,75.17,386.62,2302.67,2445.83
0.25,145.17,73.23,416.36,2227.92,2810.6
0.26,144.5,70.01,418.34,2198.2,2666.29
0.27,0,67.32,422.89,2232.06,2728.12
0.28,0,65.48,473.95,2175.36,2819.34
0.29,0,62.58,424.6,2196.73,2397.03
0.3,0,62.25,483.68,2199.79,2757.49
0.31,0,66.38,683.75,2169.85,2751.63
0.32,0,68.34,559.14,2001.67,2825.72
0.33,191.06,72.16,449.03,2138.96,2874.64
0.34,176.7,77.45,364.06,2286.52,2847.05
0.35,171.78,78.88,398.71,2194.76,2604.78
0.36,169.45,77.87,446.98,2313.51,2739.58
0.37,168.12,77.06,467.53,2408.26,2794.99
0.38,167.51,77.23,461.07,2405.07,3069.47
0.39,167.1,77.08,481.9,2403.7,2938.3
0.4,166.77,75.58,486.42,2326.88,3203.3
0.41,166.99,73.86,490.08,2347.79,2983.41
0.42,167.41,72.95,555.06,2371.9,3247.61
0.43,166.6,73.06,561.24,2266.27,2765.87
0.44,165.19,74.45,599.25,2143.32,2506.93
0.45,160.78,76.23,636.93,2023.83,2454.94
0.46,0,77.33,661.13,1924.05,2410.21
0.47,0,77.45,715.54,1800.78,2350.98
0.48,0,77.6,716.5,1695.86,2357.37
0.49,0,78.37,792.99,1630.06,2406.44
0.5,135.21,79.85,798.47,1535.75,2403.26
0.51,133.81,81.71,806.65,1471.37,2438.61
0.52,132.45,83.04,791.22,1364.8,2448.78
0.53,131.14,83.12,775.95,1328.43,2552.7
0.54,130.34,81.84,763.98,1235.44,2623.86
0.55,130.48,79.42,751.58,1073.12,2627.16
0.56,131.28,76.73,691.35,1140.74,2696.84
0.57,0,75.47,658.25,1279.47,2721.21
0.58,0,74.24,749.29,1361.27,2578.98
0.59,0,71.43,640.24,1295.48,2577.79
0.6,0,67.35,595.88,1287.53,2581.31
0.61,0,64.89,662.3,1195.21,2480.94
0.62,0,63.62,776.35,1377.6,2592.05
0.63,0,64.96,1074.57,1158.04,2521.89
0.64,134.13,66.25,821.1,1385.89,2541.45
0.65,133.39,66.63,779.7,1717.23,2663.06
0.66,133.07,66.99,539.92,1414,2500.12
0.67,132.52,68.71,601.21,1325.94,2533.82
0.68,130.77,70.82,464.48,1667.53,2619.15
0.69,126.48,73.11,420.01,1092.51,2624.14
0.7,121.51,75.85,574.38,1149.36,2837.23
0.71,117.72,78.34,644.84,1219.02,2674.88
0.72,115.54,79.48,693.09,1324.6,2528.9
0.73,114,80.25,740.1,1395.64,2621.21
0.74,113.35,81.34,766.41,1439.12,2509.18
0.75,113.15,81.8,775.85,1457.87,2573.74
0.76,112.9,82.15,773.03,1493.5,2474.04
0.77,112.26,82.62,769.31,1531.16,2432.27
0.78,111.6,82.4,765.04,1526.3,2445.95
0.79,111.05,81.93,767.28,1521.42,2485.39
0.8,110.46,81.54,766.7,1519.71,2504.23
0.81,109.75,80.37,760.49,1496.35,2493.88
0.82,108.47,77.81,739.24,1459.25,2547.97
0.83,107.2,76.06,726.13,1430.01,2661.94
