longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,13.739625,365.607,950.252625,1524.65175
0.02,35.53891875,757.973475,1577.64931875,2472.2924625
0.03,46.7174053125,772.66553625,1822.3067503125,2868.545604375
0.04,52.728322921875,858.5522949375,1968.38608767188,3131.22720740625
0.05,56.3167026070313,1013.59201221563,2124.49847321953,3232.36821407344
0.06,59.2825614338672,1005.19523171859,2209.55703527074,3315.69326774039
0.07,62.102908788627,829.107877445227,2150.86936939891,3242.02567225722
0.08,63.9218498337448,561.546707594875,1920.1164031694,3001.28886974147
0.09,65.2766424085597,578.339939177181,1898.82064674317,2979.15950335781
0.1,67.1276533247078,581.24471654745,1832.19673070874,2953.02260184679
0.11,68.9883343285893,483.242719101097,1714.11032688981,2852.65455601574
0.12,70.2457088807241,631.990120505603,1765.14130478939,3012.19100580866
0.13,71.0058898843983,761.422441278082,1824.14134263417,3127.37930319476
0.14,71.5533644364191,844.685967702945,1827.87011344879,3184.28661675712
0.15,72.0311004400305,916.58878223662,1826.24668739684,3243.62288921642
0.16,72.9767302420168,792.618830230141,1689.62367806826,3197.63833906903
0.17,74.0154516331092,724.456731626578,1595.66427293754,3190.71358648797
0.18,74.6969983982101,681.718327394618,1530.37185011565,3213.71259756838
0.19,75.1134741190156,659.42495506704,1484.10539256361,3259.85667866261
0.2,75.2367857654586,653.929350286872,1408.97659090998,3277.00542326444
0.21,75.2416071710022,664.68689265778,1355.68125000049,3344.94623279544
0.22,75.3207589440512,673.866040961779,1318.10231250027,3380.15030303749
0.23,75.3991674192282,673.408822528978,1297.54189687515,3364.22916667062
0.24,75.5030420805755,665.224977390938,1288.60516828133,3344.32604166884
0.25,75.6130481443165,653.550862565016,1277.85346755473,3345.40219791786
0.26,75.7219264793741,651.461349410759,1279.3582821551,3368.81358385483
0.27,75.7874345636558,650.587742175917,1288.82593018531,3392.76322112015
0.28,75.8043390100107,650.301883196755,1279.55663660192,3384.82827161608
0.29,75.8125114555059,648.238910758215,1258.87952513106,3362.44042438885
0.3,75.7303813005282,643.543650917018,1233.20611382208,3316.07898341387
0.31,75.6469597152905,633.73988300436,1185.45723760214,3256.36331587763
0.32,75.6112028434098,619.918185652398,1134.02235568118,3205.08207373269
0.33,75.5229115638754,600.413752108819,1101.20167062465,3158.90214055298
0.34,75.4158513601315,577.98181365985,1089.85529384356,3109.41017730414
0.35,75.3378432480723,569.102497512918,1082.28841161396,3055.43934751728
0.36,75.3635637864398,582.519248632105,1079.21337638768,3012.1980161345
0.37,75.6623350825419,605.457211747658,1104.88885701322,2969.60303387398
0.38,76.114659295398,630.389591461212,1148.21199635727,2944.95966863069
0.39,76.3296876124689,665.079150303666,1197.0754729965,2910.43581774688
0.4,76.2882031868579,698.335657667017,1237.14438514807,2881.35869976078
0.41,76.0280117527718,725.957486716859,1282.65541183144,2854.44928486843
0.42,75.6430314640245,753.783242694273,1317.92060150729,2841.17010667764
0.43,75.2805423052135,770.77265848185,1339.21770582901,2826.4033086727
0.44,74.9304232678674,779.579087165018,1349.61261320596,2816.53331976999
0.45,74.6197327973271,784.63412294076,1360.96493726328,2809.03595087349
0.46,74.5152280385299,796.981392617418,1361.5398404948,2803.28789798042
0.47,74.6512504211914,808.84614093958,1371.20591227214,2791.24796888923
0.48,74.8891877316553,812.648127516769,1375.94512674968,2776.08950788908
0.49,75.0549282524104,812.580345134223,1376.39844471232,2775.52835433899
0.5,74.9627105388257,806.223939823823,1374.83201959178,2783.44121988645
0.51,74.7421157963542,798.578916903102,1367.83248577548,2806.80579593755
0.52,74.6331636879948,785.751029296706,1349.21599217651,2840.95368776565
0.53,74.5563650283971,777.900316113189,1317.06754569708,2865.45227827111
0.54,74.4410007656184,773.822048862254,1290.1496501334,2894.79462804911
0.55,74.2110504210901,770.89275187424,1263.70218257337,2922.49342042701
0.56,73.9135777315996,754.385513530832,1240.43507541535,2945.06613123486
0.57,73.3314677523798,740.606282441958,1212.17054147844,2970.23412217917
0.58,72.3880572638089,734.860330343077,1212.36604781314,2992.57926719854
0.59,71.4270564950949,728.061806688692,1223.15657629723,3003.7632219592
0.6,70.3956310723022,728.497493678781,1239.36936696348,3014.13989707756
0.61,69.1398470897662,724.850246523329,1263.07677682991,3016.81406839266
0.62,67.7201658993714,708.174260587831,1279.81147725645,2950.89848761596
0.63,66.8133412446543,685.904093323307,1255.00006249105,2929.90216818878
0.64,66.1447126845599,701.884001327819,1253.06728437008,2975.31744250383
0.65,65.4507169765079,687.829825730301,1221.97688140354,3029.01934337711
0.66,64.7371443370794,668.604779151665,1221.27290977195,2954.18576385741
0.67,64.4954293853936,682.665128533416,1257.72385037457,2992.03604512157
0.68,64.5379861619665,703.979320693379,1275.86499270601,3039.65682481687
0.69,64.4983923890816,738.427126381358,1407.01974598831,3220.94750364928
0.7,64.6059908139949,752.723794509747,1473.71998529357,3132.8498770071
0.71,65.1016699476972,805.972836980361,1739.92199191146,3231.22330735391
0.72,65.1459184712335,808.568060339199,1754.4032205513,3263.68706904465
0.73,64.5323801591784,847.627808186559,1795.19877130322,3327.96976297456
0.74,63.6076840875481,861.404419502608,1849.72694921677,3340.13674463601
0.75,62.5658512481515,782.194555726434,1756.10132206922,3235.1250845498
0.76,62.1210931864833,832.820880649539,1820.47210213807,3268.39692150239
0.77,61.8629762525658,876.465984357246,1910.15728117594,3286.06868182632
0.78,61.3148869389112,1017.02754139649,2102.52000464677,3312.38865000447
0.79,61.4071878164012,919.301022768067,2101.15987755572,3333.60900750246
0.8,55.9893282990206,1061.09893752244,2152.35980765565,3360.17295412635
0.81,53.6248805644613,1047.05154063734,1994.02176921061,3100.15487476949
0.82,44.5923093104537,1030.95884735054,1887.23372306583,2953.57418112322
0.83,39.3071451207496,865.687866042796,1438.25354768621,2294.29192461777
0.84,36.0774298164123,815.363076323538,1248.15057622741,1996.94793353978
0.85,33.7835863990267,720.854941977946,1191.36481692508,1858.49286344688
0.86,31.8897225194647,706.05334308787,1220.87702430879,1841.89219989578
0.87,31.1585973857056,683.723963698329,1232.40173836984,1802.18433494268
0.88,31.2638535621381,712.675180034081,1340.82508110341,1908.33625921847
0.89,31.0731194591759,726.887224018744,1324.96591960688,1927.69919257016
0.9,31.0784657025468,682.91447321031,1264.51025578378,1873.13480591359
0.91,31.8047811364007,535.44521026567,1224.27339068108,1811.86289325247
0.92,32.0310046250204,569.070240646119,1226.77948987459,1881.00409128886
0.93,31.4129275437612,432.293757355365,1121.36271943103,1779.88162520887
0.94,24.3691101490687,505.487941545451,1221.04549568706,1771.52326886488
0.95,20.6063855819878,421.440117849998,979.619147627886,1439.91004787568
0.96,18.1577620700933,274.375564817499,741.068906195337,1141.90202633163
0.97,16.3103941385513,283.202060649624,702.456023407436,1034.87648948239
0.98,15.4687167762032,254.346008357293,683.301312874089,986.991319215317
0.99,15.4681692269118,363.453679596511,767.229097080749,1002.22772556842
1,15.7299930748015,353.097523778081,740.633378394412,965.798999062633
1.01,0,408.837888077945,757.366233116927,1070.99932448445
1.02,0,0,0,0
1.03,0,0,0,0
1.04,0,0,0,0
1.05,0,0,0,0
