time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,6.472125,432.804375,1045.216125,1609.880625
0.01,30.7580389453125,529.7167546875,1550.0632190625,2335.7315390625
0.02,44.8864812773438,615.22209421875,1906.66087565625,2818.25902265625
0.03,52.3811351241211,785.116366910156,2068.75876195547,3049.90272123047
0.04,56.4033263313867,1008.60203385,2218.09262139,3295.43401275
0.05,58.6766124644788,1086.16699436968,2346.42761647497,3374.76946429028
0.06,59.9806195269322,1108.14072731702,2379.10889265199,3411.34186186244
0.07,60.7535767169331,1056.7464514394,2359.85871543351,3404.56334447587
0.08,61.2288401848544,1033.56228719494,2322.75729257464,3408.85316633507
0.09,61.7657896292801,1043.15394904151,2290.80402666346,3430.86871938963
0.1,62.6849428737896,1029.9810658192,2259.75829832598,3439.99316476223
0.11,63.7944091576864,965.548284066058,2205.16728509288,3437.18252643559
0.12,64.8599228228836,832.610774437357,2080.81979398356,3398.74343736358
0.13,66.2309584834094,660.93495470111,1876.20359120382,3322.39573404067
0.14,68.064518615328,544.683763403921,1694.83058514418,3287.49485764225
0.15,69.9939948325045,507.318729384727,1591.68595700694,3303.00502479668
0.16,71.8296334502432,454.313095768514,1473.80140695152,3323.61313158956
0.17,73.6442219521849,503.199722518985,1439.62650971457,3374.26929662252
0.18,75.23121425916,456.209080800909,1354.01929508319,3329.56098272893
0.19,76.7054447037911,599.903999381506,1383.32793352786,3370.79751658601
0.2,78.2153730326494,656.933593002382,1426.47463011798,3445.71497096911
0.21,79.8136944848925,574.060113243864,1317.97635699254,3371.43578962982
0.22,81.4010760910053,539.98619393503,1251.77069833111,3345.97170862464
0.23,82.7973272512383,529.208940634764,1216.51679923647,3330.27464156159
0.24,83.8962279744581,526.479484782894,1174.96629041496,3315.12481510879
0.25,84.6833636534043,525.976941531667,1140.38405206242,3304.25901192229
0.26,85.2028313689712,528.406955288008,1118.12791941814,3290.25796404411
0.27,85.4614766882135,531.08666506598,1098.00858561107,3270.00578746703
0.28,85.5000934929211,531.913460722955,1074.93801854819,3252.57304396539
0.29,85.4249940346536,531.018805300292,1052.17889450566,3238.25251234065
0.3,85.2967076565103,527.972802711627,1032.2469470954,3224.53795902519
0.31,85.1406912813662,520.377507816952,1015.49190340448,3214.48793338216
0.32,85.0543645465334,507.65148890338,1000.53934537357,3204.98973474025
0.33,85.117445990136,494.51927886659,984.714089756069,3191.11929774118
0.34,85.2823896888232,485.423006359976,969.066418006172,3179.15819650637
0.35,85.4420702300644,478.382022013831,958.869144843078,3171.5930776528
0.36,85.6802418805692,473.658938541321,952.397357880519,3163.7806609749
0.37,86.1086496393545,478.969747298769,943.45283047854,3157.31327108242
0.38,86.6055265906677,495.308046869896,976.189899017537,3142.68322199576
0.39,86.9867112885173,491.619682374009,1000.75633519953,3129.7194784429
0.4,87.136406795567,493.539744558266,1041.73452364168,3110.03393288347
0.41,87.0183019587847,497.926003759607,1115.38977103486,3048.47759532579
0.42,86.6301331615042,503.622593906692,1166.15974848674,3032.20072141112
0.43,85.9607432601222,501.885211847581,1194.32485822237,3022.47977034118
0.44,84.9798357422794,514.968224000564,1188.52854387737,3016.63425977343
0.45,83.7689504959454,505.851571379227,1205.17119490284,3019.87544428507
0.46,82.5776742960004,520.17516200698,1238.12082362022,2991.87154888211
0.47,81.5729957240145,528.245012240461,1275.24107421163,2963.85368812409
0.48,80.5630179625008,529.861272582396,1322.32639061268,2920.27134527466
0.49,79.2478556616115,539.631855825396,1385.31813378743,2889.02861039459
0.5,77.7518879816162,537.287982701761,1449.09523400584,2864.75497573846
0.51,76.3830732155778,531.496062709755,1524.62256631072,2826.38885179295
0.52,75.2955816883217,532.837485463447,1603.74077715503,2793.88271618636
0.53,74.4461405610041,527.745683477591,1657.63844762404,2806.00858763763
0.54,73.4434270336153,560.993087472657,1703.38127854705,2863.03340475502
0.55,72.2388373100734,644.899867280452,1757.79374443298,2895.38837309514
0.56,71.0030350665371,700.633407548019,1864.8004352408,2921.38714484126
0.57,70.0967641150186,860.652441575484,1991.5501851364,3011.4689124016
0.58,69.487645543893,848.624831199756,2040.6753869897,3002.32734482728
0.59,68.9711996956767,883.798042930648,2084.90553968491,3000.25238018353
0.6,68.9288877475917,788.751763285787,2111.42451721401,3009.39393514163
0.61,69.5093309972212,833.869359481113,2182.74882360502,3014.89631536858
0.62,70.3663927407968,894.872187035274,2242.45136450829,3012.1672815251
0.63,71.0699184507171,1058.82097262076,2321.0979340061,3017.99132209111
0.64,71.4518418041978,1061.73706455467,2356.12961339295,3043.82080101388
0.65,71.6148968251506,1159.69810804236,2413.9465093829,3077.21435399521
0.66,71.9352037368959,1114.4032868188,2449.56782226982,3057.85533333803
0.67,72.9576947741024,877.02925344287,2431.50584009598,3022.81895427578
0.68,74.6774599648516,761.768812024471,2437.51165536895,3040.84374949361
0.69,76.4811589171708,698.96867031045,2433.61716865182,3042.61115514954
0.7,78.0347836382703,653.316214204092,2434.28126226789,3053.95583269268
0.71,79.2149818984032,631.35509566809,2440.58618154,3061.58224184171
0.72,79.9432534747335,551.272231688161,2400.33096473297,3006.53374538635
0.73,80.7100632640234,455.758368729881,2335.05905629041,2938.01543958037
0.74,81.3895972893189,410.061698017199,2282.15127258773,2892.71582930903
0.75,81.9407102636961,388.237395340631,2233.55114406866,2870.44869739187
0.76,82.5847070162968,377.665248724491,2183.16064976773,2851.11269251508
0.77,83.3814837615959,369.751827131399,2130.30204835124,2834.17566674304
0.78,84.1010138903257,364.660504605381,2069.03407663162,2824.50810518154
0.79,84.5372676914755,358.80988767117,2013.74177154354,2806.28470400992
0.8,84.5583649462996,357.09447004516,1944.03116301682,2791.4939894685
0.81,83.9976103861332,359.136009100854,1863.07712832713,2783.80476522071
0.82,83.0002269659909,364.453395322279,1782.70113934725,2779.39155367857
0.83,82.1683405285972,366.323299913998,1699.56118915052,2778.06309944216
0.84,81.8131716273697,366.630821570409,1631.40560903803,2776.57264939861
0.85,81.5317511317685,365.893649878465,1573.9058320988,2773.46508456971
0.86,81.085054640166,360.407942591263,1521.82044607468,2768.71148158361
0.87,80.5445628086976,355.232014012154,1480.80997803476,2771.96387603463
0.88,80.0462583421672,352.806174029512,1453.70409840064,2777.84652920905
0.89,79.4667898041221,353.168893443787,1435.93250707269,2778.12842306698
0.9,78.4829567777031,351.175663894238,1417.21430176377,2784.17285903794
0.91,77.477721547539,344.556403766916,1406.48011792566,2795.49414977647
0.92,76.7557434176627,337.350021440601,1410.89422530968,2805.52014677014
0.93,75.9939882412984,334.580507695169,1419.19236466814,2815.68490176478
0.94,75.2079643690853,336.944219478904,1429.37574297877,2819.57998629328
0.95,74.3136866286261,341.821270349006,1442.81215915204,2821.14570776377
0.96,73.3409456010904,351.959726616538,1460.24895531616,2825.69681956143
0.97,72.565284721665,350.111525935117,1486.50241801679,2832.47628429403
0.98,72.0163799620017,361.392839977126,1537.51898458533,2852.5517423061
0.99,71.6355224939607,501.651175816966,1698.39186471878,2986.36893303777
1,71.3095925392262,575.381838055582,1830.8482614786,3070.17579991895
1.01,70.6786778012258,621.290277286821,1901.5211671965,3094.8325892036
1.02,69.5787141507324,649.625899003689,1974.73239731887,3147.88311239848
1.03,68.3215171715599,811.773731899794,2156.69154522382,3361.14601384173
1.04,67.2832905143693,1019.21389251616,2365.05821768224,3569.15166497537
1.05,66.7042830042219,1205.11990755559,2537.92877920776,3741.50087322328
1.06,66.4492318615473,1398.56817832501,2737.41732627966,3901.34022064056
1.07,66.3448092296838,1457.73857255944,2854.33263913478,3988.05191292957
1.08,66.2947682023375,1441.61699462207,2874.36074247366,4009.45853247876
1.09,66.4273635118419,1531.04021869755,2941.31738807025,4028.31569675294
1.1,66.626962950569,1653.71025469413,3018.742732279,4046.09262785341
1.11,66.7394708848562,1720.87268588253,3060.37305686565,4028.35335643349
1.12,66.7128335557947,1762.92324305081,3100.15112353781,4002.86988777618
1.13,66.4405438046427,1738.64553925143,3084.59141775224,3971.78055060767
1.14,65.923796346979,1632.8449459037,2982.16021590727,3902.57752961614
1.15,65.3684098010851,1566.52598862051,2889.21172769045,3881.24933101893
1.16,64.9879385581074,1591.49345259669,2895.62920389754,3903.05675266195
1.17,64.6938716522149,1625.69601442366,2904.00306416094,3929.47928498241
1.18,64.2194892786089,1515.39118895552,2825.99475014802,3884.26333455042
1.19,63.4719585941748,1547.98639223792,2833.48908512914,3894.90202148578
1.2,62.6653066030631,1482.85271430267,2681.39460672228,3793.01072180785
1.21,62.196999046444,1343.54212893828,2602.8630248485,3717.323675735
1.22,61.9869952661618,1233.15673325555,2495.08632129987,3660.93713746162
1.23,62.1253014093537,1418.96300913977,2774.93387278818,3904.64052867295
1.24,62.4633882166501,1483.58262261895,2750.11071412379,3958.0850924581
1.25,62.635888347362,1374.96117430356,2641.23746370524,3840.52221865534
1.26,62.2056806604397,1161.76701214168,2459.87695530332,3694.0574225523
1.27,61.5468483607816,1080.17430187903,2396.80843993782,3655.93992803929
1.28,61.6661858127018,1061.92570214407,2350.02724745234,3669.56450739615
1.29,62.1789608898356,1137.77604885257,2405.06228130389,3741.16849802888
1.3,62.3785263954768,1212.65755258925,2473.52171332994,3822.23361059443
1.31,62.0269139127242,1167.36508057027,2430.19255456851,3782.69506162514
1.32,57.8500823193649,1084.92608521905,2264.97346361805,3532.54901933284
1.33,53.0156500692648,1023.27299968095,2082.76753691039,3202.94667418702
1.34,50.3567678308334,918.689771370278,2002.25268660696,2997.68600325753
1.35,48.6547754679642,784.822596416321,1831.12460566477,2845.09759089172
1.36,47.1200249646835,751.154020218442,1770.45161353264,2816.04727837048
1.37,43.7560334680302,860.551082136851,1771.79395354731,2774.35339590029
1.38,37.2094127005164,888.365109234458,1619.71402205842,2467.69113878325
1.39,33.8696624011764,711.897233124005,1439.5946761287,2124.77162446423
1.4,32.5305421587629,726.940757767983,1372.2586476939,2044.56600992872
1.41,32.2724162326583,596.246202572172,1256.75620705476,1937.5238531842
1.42,32.1365532278983,416.593512354571,1190.03663058283,1795.26429549917
1.43,31.7525766921617,394.249800749448,1196.47446975705,1784.12145727337
1.44,31.1121794909664,375.497592087135,1225.16073660645,1772.81576673721
1.45,30.1904129906841,419.43838250664,1189.74289691558,1773.47098633574
1.46,24.5122403062352,331.788992900948,987.218141283696,1500.07835053131
1.47,20.2403700712393,301.786715857782,842.320000970097,1281.02071846787
1.48,18.108280557602,330.335652091024,772.154774578791,1175.26935427894
1.49,17.0056092839999,322.355050440647,704.797903618214,1077.6339645578
