time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,20.241,468.621,972.313875,1462.359375
0.01,39.1395600703125,779.643070734375,1596.55865261133,2266.21485641602
0.02,49.5677245148438,1022.82459093281,1972.42222380996,2730.75333893262
0.03,55.0821137559961,1145.25493417582,2150.08742510416,2931.5838537991
0.04,58.0200414346055,1151.74932172685,2222.38161842768,3029.93897532377
0.05,59.8605852684397,1240.42663439729,2288.32991851238,3180.98667567566
0.06,60.9047331363155,1374.21200692089,2330.058596883,3268.69963555154
0.07,61.5452079218691,1499.8376366453,2324.50585270567,3278.68612658981
0.08,61.5669581121955,1527.80956860689,2338.11150671601,3309.32504730695
0.09,61.0488136832997,1459.47746690581,2348.64453983477,3277.4704571036
0.1,60.8673430351905,1397.53638784281,2368.73230459915,3261.27845569111
0.11,61.1370709260739,1330.43656976308,2332.82471074343,3252.39494798638
0.12,61.6861774536612,1313.03448621381,2273.2938827234,3222.93362204783
0.13,62.9018459313899,1363.56671091936,2238.30088826148,3238.15546072892
0.14,64.4671216885464,1346.70084821287,2200.94853022005,3225.16202894485
0.15,65.7307985881556,1161.7913037623,2100.09274133983,3135.54962770321
0.16,67.5971833549359,1016.73937630414,2055.85505250412,3062.31017992084
0.17,70.4957591409499,861.198885171456,1988.95504002268,2962.60784432176
0.18,73.3544777151768,745.878392981599,1952.11982345495,2908.94428432789
0.19,75.5813088153071,779.475733577894,1974.37067154514,2944.72818735334
0.2,77.0516214379969,741.02673462125,1979.01547444829,2928.91358234512
0.21,78.1535854386036,734.357180316687,2033.20815445383,2958.42534085837
0.22,79.69453084122,647.555268156677,1999.65281231611,2915.48503034731
0.23,81.5185790970532,601.944415020447,1977.70590862234,2844.59395932563
0.24,83.0832731502101,596.27982088528,1974.05264348563,2806.78247192262
0.25,84.276314546185,601.125055125435,1970.80606317124,2782.16937278606
0.26,85.1865283728649,608.195983570181,1963.76002983396,2759.76242605808
0.27,85.9405027005555,614.446446501755,1954.34719265337,2746.17224491954
0.28,86.5833753253194,620.002278309451,1945.59742062831,2726.80968818517
0.29,87.0989139549958,624.134625604865,1938.859925351,2698.90159354053
0.3,87.4294677520863,627.406081632993,1928.30885361478,2668.18663299982
0.31,87.6213838762212,627.19230320707,1908.32661812008,2630.48227179285
0.32,87.7153164719622,628.209636802547,1881.43858530737,2591.60326084907
0.33,87.735793051289,630.937709153288,1853.4456411146,2556.95033858382
0.34,87.7386541236493,631.853974623346,1827.21961067058,2527.46980166036
0.35,87.7420885442494,628.758050965249,1804.62970139422,2494.47635432667
0.36,87.7145971043954,622.421693894461,1788.37313782142,2464.43492366333
0.37,87.632834991137,614.919241538795,1779.37707982243,2448.43989404115
0.38,87.4770391161711,605.0291307896,1768.6458320512,2454.58487138086
0.39,87.1772732945317,589.078139982762,1751.05397685222,2483.52774627462
0.4,86.6902357444682,568.278850979684,1728.20451151383,2504.88014996563
0.41,86.0624556707566,549.616635256305,1709.95366810491,2500.28574480005
0.42,85.5181721126307,531.541027610581,1708.61382486997,2489.11644266546
0.43,85.1372288663024,511.726162815982,1714.14606658336,2487.26385842686
0.44,84.7983963294868,494.281751057879,1723.8153973904,2518.53184747262
0.45,84.484653917879,485.83252124777,1741.53125898016,2588.12056899107
0.46,84.0539658385833,472.025425803215,1761.51564797035,2642.76934053803
0.47,83.4385850784641,453.825600757798,1768.12877976797,2675.15030829206
0.48,82.5797059513891,433.06651773123,1765.93850649936,2704.68099376476
0.49,81.7375543649801,412.357493868869,1777.58629974605,2743.99247058602
0.5,81.2283175011829,385.061483517059,1800.4537874421,2757.75204140578
0.51,80.5033313215197,373.363468801557,1812.35828859906,2818.38350733471
0.52,79.3808417689389,390.727829808427,1843.05337839836,2875.38140304293
0.53,78.565395096073,471.534523164299,1944.58924600729,3041.10400644098
0.54,78.2727129393263,639.268333526179,2077.84215739252,3231.47278750834
0.55,77.7876247557594,738.670805145035,2158.97622387081,3316.50334309984
0.56,76.8906969578141,650.163901174119,2116.95847083416,3279.51371981355
0.57,75.6025550868533,720.69918777422,2151.48477484509,3393.76237464783
0.58,74.1437035157999,864.825428008971,2234.81115115227,3521.46535343151
0.59,72.8847627895442,994.802516469104,2336.10497043154,3649.52210446713
0.6,72.1286348487192,1066.50673153393,2369.76288253238,3709.35156050081
0.61,71.663720949129,1057.78827337729,2328.45077531602,3699.36188119959
0.62,71.0586270960543,1125.15705817601,2361.42944728783,3697.3799449243
0.63,70.1982120310482,1318.44960926573,2436.45898279601,3805.24865765854
0.64,69.1995096313466,1385.43606673468,2455.32660702105,3807.00334750667
0.65,68.5735025097767,1405.03413652714,2468.00296421642,3870.61007440938
0.66,68.351478909772,1508.63838311762,2527.2167182642,4012.04163047955
0.67,68.4158127993543,1414.52787911429,2394.4369816964,3907.32508273742
0.68,68.9278191309587,1405.61239730452,2330.52531540362,3837.5284446661
0.69,69.7046361074525,1319.92229204178,2162.65316096801,3700.66173082482
0.7,70.3336944554396,1241.76788989569,2002.85143724635,3589.02369293332
0.71,70.7310180019167,1142.71187519106,1890.08850391878,3497.43974298808
0.72,71.2439471512129,1078.70874164172,1754.20770001239,3439.01675876831
0.73,72.0158186082544,1035.63385539653,1824.32079199226,3458.18413707875
0.74,73.1088942683379,955.805945339566,1691.01164318774,3366.62765500921
0.75,74.7474848161748,829.002012873884,1469.1091243351,3093.26570548912
0.76,76.29373012537,747.225021555429,1356.28597048557,2977.98897164775
0.77,77.9142450357017,670.601132590059,1289.74867343839,2941.40157649581
0.78,80.0727733638474,595.041712766048,1272.27686392909,2845.71191678445
0.79,82.2929486472449,557.19061330916,1279.89301723189,2789.22368110416
0.8,84.1218172256555,544.030968168971,1303.65342464778,2753.81637016853
0.81,85.4970176074295,542.189008053598,1336.59793588428,2719.33458220606
0.82,86.4698337199117,547.916730050344,1385.48674820426,2683.35374157569
0.83,87.1376396953429,560.175006048852,1448.49989839625,2657.53575039717
0.84,87.5843545114789,572.016387610383,1517.93386252909,2641.22450361025
0.85,87.7438366500981,577.410270674457,1578.53101400932,2613.91427756206
0.86,87.3748126066355,582.606755646011,1625.8617504327,2580.60043438242
0.87,86.5292795697069,592.143073159714,1666.59159881628,2550.8260238972
0.88,85.5822991350454,605.414857517767,1703.83661130139,2531.44825894874
0.89,84.8201691662136,618.260743209043,1727.3555322271,2514.79212089596
0.9,84.1864637194837,629.331603443323,1734.74448803114,2491.83615309106
0.91,83.5578462624024,635.324950451295,1738.20881192931,2467.8230878057
0.92,82.8387646949961,637.340250022227,1737.75739758003,2440.45409485111
0.93,81.9677251779553,636.78913970363,1729.99667273589,2405.04328008401
0.94,81.0615310630145,632.381101323519,1719.61511786652,2364.30640564995
0.95,79.968783201422,629.994660797086,1705.77605759588,2325.28118469266
0.96,78.7056311093773,626.290504742055,1689.69711965397,2289.68462131219
0.97,77.4109843721974,623.755153332954,1674.69448572005,2262.26965554263
0.98,76.1265456488305,625.183289731778,1659.55598340923,2241.40538002495
0.99,74.7793572848738,620.231078102987,1641.9797379839,2222.04238808518
1,73.390375845215,617.028343738173,1625.82435203537,2211.01226638927
1.01,72.0018404291872,623.087078353024,1626.39441349097,2208.65060543712
1.02,70.6473131226783,635.600111426279,1633.48492428686,2216.96807961683
1.03,69.2546282129296,650.36965656243,1632.52343327516,2246.42516666034
1.04,67.8238026427373,665.862456559099,1634.82978833402,2292.10201760166
1.05,66.3803713100999,675.483196300186,1646.47296293763,2336.87039187676
1.06,65.0881125166818,685.464468758577,1657.56563669785,2396.66052261494
1.07,64.3523749236073,683.614665159879,1655.88846482119,2438.28883602121
1.08,64.1393043952968,670.710064954522,1644.75089487408,2441.33723215731
1.09,63.7443447798102,659.371770395361,1642.11300871402,2485.85868556256
1.1,62.587840771964,663.237903098654,1642.81606497976,2529.76368732873
1.11,61.6775425454553,727.476010324861,1690.67104934956,2622.92506528049
1.12,61.8881054352317,620.489435123128,1649.95226181564,2570.56757318848
1.13,62.3756459603172,780.101689809045,1770.1557252174,2816.30330482247
1.14,62.2070117871913,729.553600602704,1701.73792510241,2806.71631972771
1.15,61.5791449027267,876.88839560003,1900.27974302341,2975.8465117629
1.16,60.5584138499452,782.588270318316,1901.01984039758,2908.21176683764
1.17,59.5932099956149,746.447698892076,1898.86997053213,2903.49561629125
1.18,59.4745797118179,759.340706384993,1843.21293742758,3029.60790517074
1.19,60.1756386905762,811.206261389889,1940.69238676405,3032.56910379096
1.2,61.2957598530589,932.950463769293,2046.45585788424,3167.17627457466
1.21,61.647251111028,1055.05840619297,2263.45193675466,3329.66921692442
1.22,60.9605448040805,1025.79453308455,2316.27110685765,3316.85182493303
1.23,60.0949745734026,982.036761214949,2236.91319339388,3315.32935473638
1.24,59.6986720712585,878.724326781489,2084.96037392445,3303.1807457459
1.25,59.8378302121176,826.934672824931,2054.21788222931,3300.93434234868
1.26,60.0491036817736,957.253879849771,2195.80191437134,3349.43186662041
1.27,59.9250250982854,1023.31945137552,2308.71570912943,3417.87721647979
1.28,59.8596277287524,967.202358171018,2269.57327860129,3421.24834449072
1.29,55.7868263078338,870.272985923585,2104.7887037857,3176.09170470465
1.3,51.0321378006696,820.437970856712,2007.86302894988,2915.33821377918
1.31,48.4537500601169,850.116503723935,1934.74052570751,2816.866612648
1.32,46.808933459551,792.384085099674,1844.70755811467,2734.78346932272
1.33,45.9459399904457,658.044675647214,1711.61636169649,2589.3834725696
1.34,39.618743336726,695.924268094284,1589.6144229427,2316.49188238768
1.35,35.3312971904764,669.761708762617,1470.94310676128,2107.49454966634
1.36,26.4817629876645,552.819656430985,1151.12986098162,1646.69186567945
1.37,21.0538707144367,381.711399314014,846.221497518867,1233.63176484051
1.38,18.3220633731635,277.882625599501,692.770165502472,1034.14877499973
1.39,17.1998544260425,191.899700388683,630.428173343596,919.37378685191
1.4,16.6749242920148,254.760099933701,640.519938504083,947.200410084057
1.41,16.2564936870259,180.189591653246,601.356753394616,931.468562718198
1.42,15.877208144894,143.609343244875,578.000074680343,879.41194650209
1.43,15.5499530174956,210.94679929738,593.425392488693,909.926280070669
1.44,15.3848726991647,301.362341098669,644.704448834258,964.119603401479
1.45,15.4074352359763,239.343483889828,620.04750975548,920.542765113999
1.46,15.1841519555766,149.026882221464,578.722948083665,865.687902533952
1.47,15.0962615469389,102.487382191937,556.538131737874,812.395640520049
1.48,15.4803915788209,99.7448865860128,552.336171006977,785.137060071159
1.49,15.7920440015665,141.942905764366,561.392054233531,825.161412281898
1.5,15.6426054178798,128.637228929784,535.676088864773,807.259697213562
1.51,15.3554884304439,180.28347032904,545.255451306544,833.065037961831
1.52,15.0814385877047,172.407451704435,546.22393541498,828.520727100912
1.53,14.8101078212659,199.418496865969,571.626454037811,829.275317741612
1.54,14.9843678056118,233.303370849475,598.973545541061,849.116564567747
1.55,15.544126735865,239.735999194966,609.350947631542,861.386004907684
1.56,15.891851742004,158.659497713748,579.765666743525,835.071853757335
1.57,15.7831702192302,100.843831361456,546.987552618711,814.151241984431
1.58,15.491968026697,169.824114876693,594.582782596916,868.32841417128
1.59,15.2172251349246,208.454500072836,597.010836501947,889.817564497493
1.6,14.9219566953412,217.020496267419,553.136322947825,865.175148551055
