time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,14.565375,473.961375,1091.466,1533.002625
0.01,33.1430487890625,689.240375507812,1516.4155884375,2254.07537824219
0.02,44.7992792929688,838.732950246094,1772.82391978125,2641.67715012891
0.03,51.8692485963867,937.091868320215,1955.22664219453,2869.81684189541
0.04,56.2041269386523,1041.63080528092,2101.06309614891,3054.08151207721
0.05,59.0128180649231,1162.15317947027,2207.54417396089,3219.25198701
0.06,60.6472489140952,1152.01361196576,2247.13502984957,3254.40275223657
0.07,61.6659350020177,1244.62591200484,2286.44473207321,3330.23578386976
0.08,62.8224421119557,1299.46774378881,2348.94767234478,3408.12466079892
0.09,63.8141213366034,1276.37266310654,2294.14270371305,3369.60257069571
0.1,64.6145331688972,1193.20056660857,2162.01617726256,3251.61447224861
0.11,65.3498788049018,1087.61017326564,2047.76104727187,3137.12019746302
0.12,66.1038013142679,965.0975739008,1918.16928112271,2995.7697359317
0.13,67.4801379382019,872.930096183075,1719.1469463701,2854.00772457439
0.14,69.1801598032061,822.22140969639,1630.66563612373,2773.89203347499
0.15,70.9101631197206,771.470000984712,1576.78945248259,2733.95945478717
0.16,72.3207267162229,710.896628712525,1529.4998308503,2717.10033506158
0.17,72.9968668410046,648.810325660902,1494.90804264528,2713.14699228368
0.18,72.3163272831559,581.166378528355,1468.42454977035,2716.7260690809
0.19,70.6700220928809,546.424285399803,1480.61904855888,2722.37838489439
0.2,68.9303920958893,520.71013248183,1483.87014976549,2703.41025842436
0.21,67.1112154817568,497.907233498136,1484.79721048266,2685.94436205499
0.22,65.4296567021759,522.379782397196,1501.66382607062,2703.94192008712
0.23,64.1520746500996,617.760685550604,1541.64939094418,2765.90261972264
0.24,63.1415700755967,606.268582346882,1550.94426352253,2779.30114784809
0.25,62.5048272748498,546.605415824716,1567.00344413282,2786.3123021188
0.26,62.4438697419667,623.589199684756,1658.74733508054,2889.45226791913
0.27,63.0005937311464,630.113101092817,1709.75413943373,2915.40967039042
0.28,63.9247053198161,593.768210719335,1753.53222881211,2884.83406763392
0.29,64.8801507403134,679.933486015379,1898.96796752243,2932.4106904714
0.3,66.0478245387528,743.042733550526,2022.93212091123,2947.7441581464
0.31,66.9085755442421,650.036994987399,2116.0387155166,2904.28856534303
0.32,67.6801212538185,661.012192587105,2223.51361893011,2927.6546195068
0.33,68.9060658786297,614.91230605744,2291.80298644967,2935.96144571465
0.34,70.7176714122125,490.116590593084,2315.93818474327,2904.99586913531
0.35,72.7825207345233,405.485194218455,2335.2973327072,2878.12089497016
0.36,74.4325371067176,364.909161598719,2347.33574225026,2878.44566861476
0.37,75.3168564448632,348.213970716913,2360.59679346677,2895.19028041765
0.38,75.5634446145675,342.174702342491,2374.37856547024,2935.16726745345
0.39,75.3666055873906,339.232124755187,2385.72771714981,2978.51230890371
0.4,74.936808525223,334.526372662727,2394.78150812255,3000.86374849878
0.41,74.4449036094346,327.321296487431,2403.24108711417,2985.98756056935
0.42,73.9324402229626,327.660519031883,2400.5451825486,2959.73545953091
0.43,73.3460099976885,480.600310648897,2446.21269054495,3047.06172869676
0.44,72.7097232206362,588.249351816018,2476.6906350035,3101.09263365209
0.45,71.906564627774,593.673939666953,2450.72611602025,3078.05617705528
0.46,70.960912628809,520.279503303053,2366.38731678372,2989.79957651855
0.47,70.0750694589757,445.862634540355,2263.35114348315,2893.15686893149
0.48,69.4950708642018,397.872571320489,2204.18586010704,2879.53211817013
0.49,68.8304185294079,386.601739177416,2162.20381927253,2867.24605210278
0.5,68.1550776959277,389.535227770709,2128.8530038299,2851.2639128166
0.51,67.6009905791246,389.713745852862,2096.30411743764,2833.40072029029
0.52,67.1786333215189,430.210777709384,2081.73849981973,2845.12330830167
0.53,66.7765893472356,594.532367125456,2118.45038552682,2934.89876573621
0.54,66.7481555708198,673.508896959002,2103.33902404057,3000.60087696217
0.55,66.934550937671,724.011813739363,2095.2354475041,3057.36636678536
0.56,67.1026742837651,656.601170189452,2035.99983631036,2980.54665412034
0.57,67.4333506003712,553.496757888177,1970.38011621203,2886.1544967048
0.58,67.9722701270693,523.017861569685,1938.61434109935,2864.84515256638
0.59,68.443876708164,632.037876824856,1941.51319603171,2888.67424104638
0.6,68.4872324876755,826.633225546771,2051.32632859468,2989.1651036436
0.61,68.2645292036483,924.499267398314,2070.04374426821,3066.20179678753
0.62,68.0538896089913,904.040268410248,2064.11593632639,3112.96739277035
0.63,68.0559539545368,784.639676394533,2017.72581118508,3085.62413699572
0.64,68.2701092276456,626.83497448051,1935.64426617423,2991.07451485101
0.65,68.4171758369753,522.682591420778,1882.98619861911,2921.80776048084
0.66,67.9895278252924,473.312471949884,1838.88264877851,2866.33591205119
0.67,67.5265913166345,537.02138679226,1835.80425211349,2823.63192383769
0.68,67.1931730467719,661.956659034771,1866.94523841308,2864.63197735722
0.69,66.8993580016047,713.286600316402,1887.94207997444,2893.46124293673
0.7,66.6101930176167,631.724064115024,1874.68541522692,2833.00828001734
0.71,66.5121430863929,534.995728423003,1860.86236595579,2739.91845191353
0.72,66.0633555747597,459.976411712528,1887.52707221199,2708.37848202998
0.73,65.4505248601799,513.316745726622,1952.80398687051,2774.37683474494
0.74,65.1442122848331,549.152446693745,1999.40494277593,2825.28126334286
0.75,65.141825446237,616.032251249566,2063.68436715801,2882.07829111212
0.76,65.3895486184487,729.97878382779,2155.21439884034,2974.44495548399
0.77,66.0953338999943,704.601556402887,2165.08102097939,3048.07194062722
0.78,67.2177478209304,765.871730168398,2182.67364958725,3144.62458621457
0.79,67.9255383644279,713.97707160005,2115.5564151937,3097.47699994783
0.8,67.8957674694142,619.93522014974,2040.00770091605,3023.34516620645
0.81,67.2500813611162,558.094344060387,2017.63931845844,2965.49818010851
0.82,66.45258858773,590.795682183628,2080.26764733967,2946.5622400294
0.83,66.2356318987507,752.258236440608,2212.35024212538,3019.25002869589
0.84,67.0659716558267,709.16643378225,2215.77286212992,3015.46348921453
0.85,68.2945157970373,599.950914504379,2206.09086279529,2994.67444347891
0.86,69.6034072008535,567.171786141936,2262.81839171802,3012.03896390191
0.87,70.69267993921,586.626014681055,2344.19954469894,3033.2651938741
0.88,71.4346128798729,573.517102091225,2370.873220596,3006.50734379056
0.89,72.0806026194145,513.33431599766,2327.6571800285,2952.62736372444
0.9,73.113375889872,475.101952617243,2340.86136272049,2925.00950388477
0.91,73.9296482958613,460.56980471155,2355.80829472923,2894.86629034036
0.92,74.5332036375112,454.125919515989,2360.90078893233,2866.987818668
0.93,75.0635506261392,444.677441479844,2361.62290706841,2846.87341891778
0.94,75.570415494656,427.163418724242,2368.24339287322,2837.95679238124
0.95,75.6380346328628,403.588891005082,2377.66612229719,2838.9917897229
0.96,75.0130690916658,395.502583561288,2391.03693055709,2822.88534761433
0.97,74.1080590009538,394.252212349317,2413.84421048509,2820.38393864084
0.98,73.1026349383203,401.615554869459,2428.31457222758,2845.28403610159
0.99,72.2854819515513,405.863290691049,2433.45696261453,2864.89377811664
1,71.8770048747396,395.500785349643,2439.69806351152,2841.4994507107
1.01,71.6641589028643,389.528355692847,2455.62249827202,2818.40886461775
1.02,71.2231150295254,385.515576475265,2473.44116849318,2794.54419902693
1.03,70.8670778393614,434.56043676008,2495.47408949802,2829.74006921869
1.04,70.6601062956162,470.499962380445,2517.41494372864,2884.07232851304
1.05,70.2819003709585,457.588088061066,2531.52528102835,2920.24316273037
1.06,69.2919201286304,403.709348559588,2521.35397865327,2921.66291119072
1.07,67.755512658594,367.235187030349,2437.97119558943,2915.66986899345
1.08,66.360631334821,342.16207820943,2387.25673699428,2891.59315401598
1.09,65.1146641156409,330.50407613338,2320.4105238326,2879.01408346112
1.1,64.2483437671717,381.523456494616,2329.16626296259,2879.57091506115
1.11,63.8729345926574,469.436382668417,2400.98603958855,2890.70102085153
1.12,63.9075462498538,528.199640580012,2449.67441150122,2918.2090355838
1.13,63.9476762036905,608.153192682672,2499.99094436543,3019.1083662141
1.14,63.699314674233,517.722115935717,2438.62332043081,3010.60995827501
1.15,63.4516798322274,548.264393109969,2405.3515060221,3067.23193183837
1.16,63.1368135639947,534.312673366037,2369.78076477211,3077.66660490964
1.17,62.6783744664578,445.622600654062,2332.24613919326,3020.74476793356
1.18,62.0275306537452,404.939735307492,2322.75419489403,2977.16785049175
1.19,61.0588988409498,392.359461832193,2268.83888705793,2942.81626720007
1.2,60.0684211100413,502.390968564911,2179.8085674598,2958.26794328998
1.21,59.7921008529081,524.328184779663,2130.70881969888,2914.2653547597
1.22,60.3031854274114,610.418388391743,2134.85416157468,2849.84466707795
1.23,61.2829201808979,739.60413446007,2166.98402739042,2794.62283233031
1.24,62.1791075915707,727.751367917576,2183.11352250313,2756.09469002227
1.25,62.6662666190254,904.912258151295,2207.34153707743,2846.73213780472
1.26,62.8494095704812,933.130674093395,2265.55803737433,2888.98137055617
1.27,62.9519759690242,924.327345521343,2325.99768317709,2934.53993241024
1.28,62.953270608356,966.276060691476,2368.93272526719,3022.08706762052
1.29,62.7395178291868,1030.2660139201,2386.46942871096,3117.58009322691
1.3,62.1894390030778,994.453916952943,2383.18694312623,3130.4375852194
1.31,61.5468928658803,1061.12069071736,2365.40920569148,3167.75624052241
1.32,61.012984009598,975.729474539084,2322.23347728186,3130.05790947248
1.33,60.718561068629,1087.57784223068,2367.9877909915,3249.99049816951
1.34,57.7828054500885,1095.29059384317,2300.41788680664,3128.78000662103
1.35,52.5041748265246,896.430547593336,2074.0692644155,2714.20275439936
1.36,49.6101808480253,819.122104511984,1920.60282361367,2539.34492619581
1.37,48.6065526590591,1023.96404693499,1879.95903928964,2686.77915360745
1.38,48.1856194501227,990.600403976975,1822.22106195488,2617.04541674067
1.39,47.9748610907696,1018.58558478621,1803.871183609,2603.31775487818
1.4,47.7469530193095,1122.84957317118,1811.88824979105,2688.43302203631
1.41,47.3142385834701,1216.51274734046,1825.87129954093,2792.03216760805
1.42,46.547534153476,1198.76793790898,1845.43539018323,2773.88885692162
1.43,45.8445785330975,1286.03919214387,1915.32524093043,2902.48403675786
1.44,45.9041310951782,1248.08677174764,1862.84294165763,2840.31333660353
1.45,42.505503339059,1253.05463857232,1857.88296458256,2804.50320234775
1.46,38.0006502666736,1128.57429335089,1752.65955868939,2598.01397075996
1.47,34.9848099082756,824.420434361604,1494.3695708971,2174.87805693826
1.48,32.9565700528093,641.931510934118,1330.18750335827,1917.5032642897
1.49,32.0234207629191,541.528024496653,1225.46229744176,1761.06067425975
1.5,31.4174620217098,617.65813574879,1240.70582059521,1759.71523140025
