time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,20.80575,402.93,1032.39,1413.115875
0.01,36.106750546875,542.50348359375,1467.0949078125,2199.00741574219
0.02,45.5733346640625,529.871583515625,1704.94658296875,2528.16980825391
0.03,52.0519115197266,619.388355462891,1947.18779532422,2788.50866980166
0.04,56.5992453420703,762.447565198828,2123.46322522734,2996.38470423814
0.05,59.4662947665601,881.146321417749,2173.49541618794,3084.03658396102
0.06,60.9376987772398,958.987494461879,2152.58448326921,3090.16135416883
0.07,61.7128121443294,1015.0987285542,2186.70922483991,3186.93911688282
0.08,61.8942691691247,1061.45786351323,2253.20771647963,3299.14399031117
0.09,61.8707381079097,1184.89945364049,2369.46920934931,3480.96819150812
0.1,62.4577686200404,1093.87179185429,2271.06579792415,3376.1532048398
0.11,63.0908424778393,899.633938813469,2155.61457759153,3264.73969012695
0.12,63.518887264936,811.580846127644,2138.54786429112,3271.24127912873
0.13,63.9626648528207,780.278957647771,2148.97870064724,3260.61352167664
0.14,64.7340713779597,611.490880740186,2066.31072770139,3070.61163768911
0.15,65.5686302493398,540.138651039816,2020.77430231481,2950.40866923678
0.16,66.5188231362102,679.817003670304,2058.52662649997,2991.81511607823
0.17,67.4720439420947,632.502010307285,1967.36934978095,2928.14318667855
0.18,68.4191505876006,576.266443665247,1861.19654461781,2874.85060304524
0.19,69.316630557002,499.626197843505,1757.95861827085,2778.31850574669
0.2,70.224290559953,417.008079512868,1657.17011003855,2699.20879819705
0.21,71.1425850443302,361.45147160087,1582.11215495297,2688.50637362213
0.22,71.9028222168775,335.925727052064,1573.07981059911,2669.12235890474
0.23,72.4163901585122,332.551886682699,1582.61268977637,2652.09720469479
0.24,72.9218654164919,354.370856965169,1626.59329009105,2647.35978641217
0.25,73.4266328414412,400.65888850267,1672.72541173187,2670.4894773129
0.26,73.9217987120965,449.253918745973,1692.39888952751,2675.15012840451
0.27,74.3857826956452,490.827723020388,1711.89302287668,2684.93920951406
0.28,74.7761245110505,524.920827792395,1725.30928194166,2691.49248209185
0.29,75.0474670326604,555.602421506404,1701.49638520781,2665.17098481366
0.3,75.1833888838337,587.009533093595,1649.54268547249,2626.52712464974
0.31,75.1940932267031,608.587459653053,1592.38478289176,2525.95150151893
0.32,75.212961813103,642.840841825282,1604.09065720779,2634.91045890851
0.33,75.2821786214606,654.429855829949,1577.53043165068,2683.53918621489
0.34,75.393631785143,651.462747698296,1527.3195388229,2722.20441914155
0.35,75.4853612431655,643.375006196754,1475.23703201367,2773.83548183508
0.36,75.5091078931013,637.246442200194,1437.13933518986,2822.31189408764
0.37,75.4671863594788,634.291037475384,1404.65477433721,2854.44866996786
0.38,75.3804873577636,619.357769488613,1305.666556626,2896.00089244063
0.39,75.2869228748716,597.435677367225,1270.86538131515,2910.33278702164
0.4,75.2491134338945,575.830518965658,1252.82577456031,2891.08692646866
0.41,75.1876549435728,556.750568380513,1245.63453987164,2871.05983240867
0.42,75.090226124177,542.217141668953,1215.19371580431,2859.31281258026
0.43,74.9713563974139,537.968558822618,1177.82135141732,2834.69848441748
0.44,74.8688878533418,544.817767865646,1172.19091776262,2783.18637377245
0.45,74.8365708597082,552.742126741182,1202.80654190702,2740.58038195716
0.46,74.8747045805908,562.646199154487,1253.21733507972,2798.39458902782
0.47,74.9899344790286,568.89647727576,1230.51132378201,2831.97282753807
0.48,75.2538126038027,584.910776399729,1230.6496847986,2857.87652140784
0.49,75.6213991139644,593.458926304409,1204.92125174065,2819.07988149961
0.5,75.9735810252105,593.850143136432,1169.14659757564,2762.9065119237
0.51,76.2184475754448,594.181330094554,1144.08013942384,2743.73991622806
0.52,76.3221016509881,596.173290898989,1125.87117244335,2760.76721924395
0.53,76.2687246276399,583.610399041535,1106.75829825416,2764.84124256404
0.54,76.0658510193589,564.294911569122,1091.3976380323,2746.33097178061
0.55,75.7939036689254,543.288814401417,1066.55932232469,2710.94369234952
0.56,75.3290494149619,534.905639701275,1050.10220905239,2730.62964379271
0.57,74.7859613872332,535.547144736848,1038.97125370441,2761.35028869719
0.58,74.4596935154305,535.206761950898,1025.4886845865,2774.82307844461
0.59,74.427599430148,530.126401042778,1007.57062571363,2770.37582052067
0.6,74.3515661472451,525.415352688159,991.037586822577,2759.25608110887
0.61,73.8496889120783,516.807332418992,978.689103837463,2755.60205049059
0.62,73.3255722753206,527.10430357943,997.714348592461,2763.86096499251
0.63,72.919258528824,543.459642443128,1017.50043000963,2755.33812188242
0.64,72.5120861121719,558.139862510914,1055.22280576449,2759.35113919168
0.65,71.9491664012323,566.089235204209,1102.33379532553,2765.68690022579
0.66,71.4160454299236,576.045826252578,1162.44043142682,2755.94453939289
0.67,71.2448808474806,594.74168534575,1231.90416730385,2728.75723570137
0.68,71.4609240959268,607.579691517046,1271.84431852762,2708.40806688641
0.69,71.7053286741919,619.051025091488,1312.72866604442,2708.32489606659
0.7,71.6192707703274,630.434823380104,1350.27353395208,2699.56479910573
0.71,71.4928281499796,634.405497424814,1356.11749637667,2690.7082963546
0.72,71.3086249163285,630.244346688564,1395.6746891032,2682.72746644808
0.73,71.2279727519675,636.357715964539,1448.15074047677,2667.91978598468
0.74,71.4198847399749,656.583380187703,1474.22071294573,2651.41013848261
0.75,71.8933951283772,673.49409803345,1472.39406743358,2638.750268008
0.76,72.4647227886225,681.80012868939,1471.17861538585,2587.90873026156
0.77,72.9234796759276,684.6656348555,1459.47673790554,2551.85006668469
0.78,73.2001862822935,675.825972286758,1431.21557484911,2567.33096564646
0.79,73.3792850038672,668.381980674771,1405.12859114884,2547.61744907023
0.8,73.4744207476102,664.754325328628,1392.22577605937,2569.58327710358
0.81,73.4913708665138,660.175928902685,1373.47591132716,2604.25409455613
0.82,73.4515722395132,653.586483693544,1328.30338488942,2597.30008768791
0.83,73.3855195810315,650.615579780773,1269.17560250658,2588.27378972847
0.84,73.274452959479,636.310134160246,1243.3506423045,2587.81958281993
0.85,73.0704944510781,637.267822287764,1174.98704102955,2590.9155786104
0.86,72.8502982821935,626.367213464316,1142.18208442914,2585.69400469967
0.87,72.4419238514617,613.582348451511,1128.0040580778,2597.44255865561
0.88,71.8640789749944,585.901860989332,1102.48299170514,2602.95270888077
0.89,71.3200778761766,541.882027580121,1070.24364170556,2608.11143745521
0.9,71.0018886488585,495.25657801386,1046.62945463531,2635.8242077018
0.91,70.8293885265134,455.274497081634,1009.79667481103,2662.24948899334
0.92,70.5358352893643,457.57495048044,1116.67548286214,2764.59685570361
0.93,70.052223657453,440.860347325573,1126.67933802119,2755.49103589416
0.94,69.2577002231656,431.197536881548,1101.05800825751,2736.56554594573
0.95,68.3192707141027,432.704268433404,1129.23722565998,2759.82052354951
0.96,67.4605334680053,438.944814354451,1184.9343539312,2786.67438278712
0.97,66.7995246112898,432.300537987229,1207.09723422624,2780.63378652024
0.98,66.2734072608472,399.82765325623,1206.36508714718,2759.78686906665
0.99,65.6884380810792,374.602416504779,1316.05373145377,2730.27992473064
1,64.6530844178294,368.938449708327,1364.22419743664,2747.62086852944
1.01,63.7940354279935,338.954306619699,1438.23989538708,2721.8019184785
1.02,63.6446465593994,348.7743859324,1506.3749073887,2737.7227366587
1.03,63.8245824905588,430.393929195056,1656.98025942142,2880.26889818795
1.04,63.8258324210214,581.361705057509,1835.0111040816,3087.73893352686
1.05,63.4457504753545,721.003303505195,1898.50696937416,3203.72694701363
1.06,62.884291215531,732.853501825819,1847.39792201439,3168.25154026062
1.07,62.3748602426522,939.211119495271,2143.53150759019,3400.2190331474
1.08,62.100762923831,833.477815072527,2174.01597062496,3322.93882464497
1.09,62.0541309849993,949.263919729335,2247.37494382892,3403.66430493394
1.1,62.2012656427904,1042.93662311158,2333.47723553527,3482.85629050349
1.11,62.5962489903571,1044.17761212649,2378.97056451804,3479.01236262382
1.12,63.1729773605737,1054.01140148851,2377.48901581418,3432.40352569639
1.13,63.7502119645481,1209.02102596129,2407.8717324492,3467.70807720514
1.14,64.2445890719293,1510.65555179464,2614.48155216033,3706.9986684025
1.15,64.1413640468233,1646.46299369067,2633.88217143796,3782.32959841791
1.16,63.2547838069757,1647.84383681207,2603.27320969443,3728.32942909979
1.17,61.9148390166342,1442.68536822216,2504.97625388201,3562.2479723946
1.18,61.0582122229375,1288.01192768998,2435.9340069314,3450.52153826888
1.19,61.0216767911369,1212.83586848583,2404.94899789554,3399.96013818077
1.2,61.539213866562,1157.1782700207,2379.84446621335,3360.05469526626
1.21,62.2051726332743,1142.9712064933,2353.38645944784,3333.27279791508
1.22,63.0827424701095,1048.97637508917,2281.35113730547,3221.84632376792
1.23,63.5865004872261,1065.8284322516,2318.06963499728,3301.30296457635
1.24,63.8242634387406,936.201344356036,2258.45317852461,3241.94360785982
1.25,63.8008339321037,834.311161355842,2187.60492097008,3189.43941775989
1.26,63.2856851350951,765.196086448726,2151.84677765714,3164.37639518954
1.27,62.3846650560182,696.185240267832,2133.88826917316,3157.99952177362
1.28,61.5809450895038,664.608087206375,2140.70539514606,3186.02877096865
1.29,61.3468418174461,770.086365199119,2266.5872362436,3272.75031729931
1.3,61.48023536352,669.51263563959,2201.95873010341,3258.91092615405
1.31,62.3869468724565,713.950825331362,2158.13480883417,3249.84169740008
1.32,62.9639852059873,789.480638708521,2141.80341604881,3302.52215143161
1.33,62.743944328918,814.873765143199,2152.71967114541,3310.14679279875
1.34,62.2999079244986,919.48905704194,2210.54252678019,3326.61859689556
1.35,62.3088567293258,1036.24475339969,2261.58472440547,3338.08208340412
1.36,61.7685475207225,938.786312890725,2190.97611460439,3205.80814376175
1.37,56.1780694012362,941.40558362014,1998.15749615092,2952.64160232224
1.38,53.3647705292077,1012.94851771759,2017.48530967604,2928.67168441959
1.39,52.2201360242256,1058.90707155506,2029.10322681825,2914.45725734508
1.4,47.2637007603128,1065.31674889787,2005.76503136995,2882.52657744891
1.41,42.2242591030784,1017.95628440787,1853.26976765223,2664.98328918285
1.42,39.1675733458916,949.754647088307,1625.42406305305,2368.28431514159
1.43,37.5234426142995,886.341277209068,1451.48510038574,2172.73773292794
1.44,36.5196226573473,799.803529576388,1378.08742783514,2036.7788333904
1.45,35.4585148548795,712.517612364325,1311.91770361336,1876.72417678981
1.46,34.9651387330866,791.747506360087,1339.90420169562,1939.27943568529
1.47,34.9254991284192,793.092133943386,1328.9168299987,1890.52521050146
1.48,31.2493109026275,817.431928070048,1352.83914534502,1864.20180116306
1.49,26.9172330377934,703.471775476369,1209.4067776721,1655.3490404933
1.5,24.3334826060279,483.395079626564,936.775706472445,1316.27918140955
1.51,22.9014498258232,356.038753554494,771.354940233252,1116.45237089503
1.52,22.1364569450821,272.733682947909,663.788362345539,984.637465764399
1.53,21.4009917474166,354.487139671746,698.492469188803,950.974861170006
1.54,20.4162516070003,407.356482967138,727.109415228016,940.132525938487
1.55,19.4414127016068,319.695370458461,673.473962008705,884.538687442471
1.56,18.5085463762749,306.559200859873,654.300617993726,876.566643730951
1.57,17.6489189841663,365.524207710301,678.17786995734,890.637865113636
1.58,17.0819334162598,410.308376783719,700.831671416222,883.901524708887
1.59,17.107293647988,437.13548764535,710.421880473874,885.472738061026
1.6,17.4979273731182,455.38093930781,712.272047370979,904.345663064565
