time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,13.8645,381.942,977.043375,1557.790875
0.01,34.11432,461.1380034375,1426.74215238281,2304.87324222656
0.02,45.212922,560.40357065625,1701.71969199609,2650.83961426172
0.03,51.08973615,610.532387697656,1896.75305529521,2889.98741772686
0.04,54.95496336,590.289002984531,1918.27085157404,2940.74679556037
0.05,58.101968885625,488.929100809131,1851.02278434058,2839.07544558997
0.06,60.1198706077875,637.234289205973,1961.76356501724,3022.16142855446
0.07,60.6305245806647,739.627162592746,1970.80552437313,3108.23512021269
0.08,60.5849224298754,759.277590117214,1929.42544167398,3074.08212712748
0.09,60.9231109872119,770.985315804005,1921.01986331225,3070.5542096087
0.1,61.5796330508958,728.856757936448,1898.4534719746,3094.06221461351
0.11,62.2692159073538,719.304006011881,1867.26417837167,3115.97292298073
0.12,63.4060703751932,686.483913509169,1798.01506312402,3106.50739926447
0.13,65.291024600738,643.583282182117,1690.01413751024,3061.03193795799
0.14,67.3192520223158,679.947348907555,1607.89881966625,3012.62335800754
0.15,68.9761322828242,674.47791609447,1529.34743167665,2946.76162347444
0.16,70.0908811493561,653.751348253132,1455.39882970778,2845.1205584621
0.17,70.5962001862374,668.94760506143,1425.24382358074,2763.65316793386
0.18,70.8473436571809,650.713243033501,1342.09497870221,2760.06363735496
0.19,71.6368830915622,638.566567235456,1311.37973603301,2790.41954759515
0.2,72.7173830694212,584.724124035117,1244.39895381327,2789.57620783604
0.21,73.7915268072436,565.058946646779,1183.81073326336,2803.9103040268
0.22,74.5565836094681,559.374080509584,1163.99505352993,2835.23507062158
0.23,75.0062154237237,555.149596605675,1180.56301881578,2784.37007785428
0.24,75.257368549232,551.627393005867,1217.20489778266,2775.92255391237
0.25,75.2957630509787,547.799268005112,1264.48555511134,2733.39881809643
0.26,75.140126619934,545.248866546348,1317.07130466822,2743.52532859758
0.27,74.8633662715063,541.548721895062,1364.87669416699,2707.9902771863
0.28,74.4993120961269,539.541633751173,1438.98668579655,2762.04583628541
0.29,74.0830887586089,539.590085784284,1506.93518974225,2757.58751008853
0.3,73.7088532253914,536.775824059232,1562.19035345052,2790.0947507773
0.31,73.4452445109514,531.049372781035,1604.96103518761,2814.489868897
0.32,73.2764658613656,525.953241640596,1656.24095014696,2806.79622570781
0.33,73.1859072329394,519.359069288392,1684.62276994709,2787.83247492944
0.34,73.1770607831702,509.847501245951,1756.02197764735,2775.01065883327
0.35,73.1822333610231,499.460802832683,1863.34674226871,2749.19815366763
0.36,73.1298295602164,489.665281801551,1944.26416864788,2706.27936036233
0.37,73.0343197370286,481.621250913882,1996.89088953108,2669.89136760942
0.38,72.897993268766,478.183355604051,2006.35224824945,2635.933144892
0.39,72.8127318126914,479.355730848944,1993.37091070999,2601.85115966373
0.4,72.8082570301589,482.332775035488,1977.10726371678,2579.2982590659
0.41,72.716020899766,489.382212316607,1971.11623561431,2567.57359476015
0.42,72.5061689881195,487.638284725032,1947.56673065142,2558.02925899373
0.43,72.2698067522523,495.548702604574,1867.44360466979,2563.27286681409
0.44,72.1899538085713,487.741553610709,1750.16262083347,2539.0138751499
0.45,72.2386738968721,470.989311902647,1783.34876816827,2569.84025654738
0.46,72.2486852594665,434.101942650683,1781.64605936709,2601.8308442603
0.47,72.1620221191094,441.848179255842,1863.04964499857,2669.04216383638
0.48,72.1202770400317,429.336651013969,1893.15647786801,2651.5882986594
0.49,72.0528674280043,418.235290952974,1891.23660378493,2571.96337548827
0.5,71.7709741161951,422.659120304046,1927.17272742085,2582.57997550513
0.51,71.2878700683433,419.411947407113,1892.32311724456,2558.44746466575
0.52,70.6815592800287,416.694853177726,1830.46274259608,2552.00400447953
0.53,70.0782460748577,425.231707178284,1820.39713576421,2555.78338077234
0.54,69.9621815001348,446.123420278601,1809.19883876782,2505.30203202577
0.55,70.7059599000038,526.69146119753,1828.2738530603,2567.58944383377
0.56,71.7892966112134,633.009197917381,1871.62127471719,2690.83933626373
0.57,72.6907718400836,654.017649329679,1867.51946456786,2698.60728109914
0.58,73.1553492991999,592.086075642639,1804.58177573519,2651.67397248927
0.59,73.0135788724946,533.738057136237,1732.1485218785,2616.92015790884
0.6,72.5385929717361,507.230640046088,1698.52812346895,2575.52356819359
0.61,72.1608569763189,497.524648602923,1715.72458548666,2544.23109837834
0.62,71.8256933000006,486.629338599273,1735.93990699847,2513.39748352511
0.63,71.7540712071642,467.412758327129,1727.61447691673,2588.90628008692
0.64,71.8141729796305,477.313794546062,1746.45219242886,2701.81160745427
0.65,71.8010071749263,573.222587380149,1803.57295818569,2864.62971933278
0.66,71.9049218160808,503.97753858048,1732.76494266953,2795.48267063614
0.67,72.4235530772736,459.508216982596,1704.76057060093,2711.09904955471
0.68,73.0716764106365,441.167169119635,1684.14628328475,2734.63856133025
0.69,73.4074679958249,435.508513342853,1704.96283999047,2733.77965047319
0.7,73.4955514311899,439.038315537446,1727.27327792896,2688.14955368909
0.71,73.6278153180718,456.69935793779,1744.28665162474,2673.56240178205
0.72,73.8852800419441,479.636373203366,1769.83987404183,2661.20923829743
0.73,74.1757285999218,505.537785177209,1807.16300335296,2653.18658867404
0.74,74.4029304972259,527.747085800912,1844.13402647811,2638.37270420647
0.75,74.5539725204721,535.84572909146,1867.48954404915,2615.44767315478
0.76,74.6472726721085,543.898982061455,1876.95897981943,2619.4465561978
0.77,74.6780732518765,545.099328272121,1882.19343642964,2638.4673162742
0.78,74.5796568437514,537.371026213243,1872.05845898972,2667.17458855804
0.79,74.3910913069339,527.648374141626,1851.57498302498,2696.89536658464
0.8,74.2703454923925,516.617974329408,1835.28318818621,2724.14270036055
0.81,74.1259165443947,508.394915693881,1832.52344479603,2744.08886231725
0.82,73.9235849373854,506.984391903624,1844.5118842243,2749.33284575241
0.83,73.4689780514446,506.587110424712,1839.90743528343,2730.73858568762
0.84,72.72564578803,526.242789010087,1804.17265078705,2696.09579302565
0.85,72.308687006271,587.654787866995,1786.11775442689,2688.77171351709
0.86,72.296065356019,623.506131571894,1790.99982347525,2706.94161435354
0.87,72.2418987597239,612.195614563379,1824.44200444458,2750.74644612185
0.88,72.2493444905006,683.157608172345,1916.07272227215,2866.80721215771
0.89,72.3373251897341,771.912445115407,2010.2641291705,3004.980543656
0.9,72.3285822503311,816.436591904813,2067.14761047523,3062.58656884389
0.91,72.1118530429697,740.563973752571,2051.4644572143,2969.50962517859
0.92,71.7001203415415,743.908189996728,2100.79453518969,2955.83634709132
0.93,71.3056930801973,787.331661245284,2187.62253115344,2997.10168204817
0.94,71.1862722349007,808.792002239552,2239.39432690515,3003.86492869537
0.95,71.1879598016311,819.206737866496,2290.62728524988,3013.44134497189
0.96,70.8110015557368,668.716807069432,2215.82109652668,2919.34090049186
0.97,69.874112621317,569.414811095197,2136.57190024282,2848.67970556205
0.98,68.7681371628384,551.648828691214,2124.55473138028,2855.47263309446
0.99,67.9090543111738,506.703685032163,2102.89251520267,2836.19764320577
1,67.3442057505326,463.926964965662,2069.38392532415,2806.28266046839
1.01,66.8892577921799,419.718010489999,2040.91152146088,2770.67850819549
1.02,66.6343363318618,459.840972605635,2060.74897057142,2778.1572565671
1.03,66.5747551079135,507.071316263288,2081.17401910539,2793.19524572123
1.04,66.3973126283167,506.342743988911,2069.61966952745,2773.09474510369
1.05,65.7867907835045,498.674652054096,2036.41740265394,2688.42358735369
1.06,64.8297365417892,550.976313140359,2007.67047101228,2690.8164660077
1.07,63.794082546458,691.204754981469,2022.86143779507,2877.4279731371
1.08,62.9340642472126,664.098836535906,1998.68241424961,2860.83393417098
1.09,62.3478397641303,608.634168526354,1991.43004265563,2870.30874403442
1.1,61.9053880557615,814.279518576877,2111.66005426693,3086.26401928864
1.11,61.4210922076882,848.467804260031,2120.91465100905,2966.7165913424
1.12,61.0996590415892,778.719911957153,2141.67120594421,3046.22135495433
1.13,61.0465214279224,738.857478028271,2154.80397281151,3106.29099141244
1.14,60.782380460634,605.68095777656,2096.34096560704,3051.65544443
1.15,60.2565942122508,707.446339185007,2143.83233435598,3135.60594820746
1.16,59.9047279191341,932.987273686246,2190.16895214949,3217.41531339209
1.17,59.9690340868417,1097.71015845141,2234.10570372176,3369.7705541876
1.18,60.4914785499878,1050.03475369396,2226.52554809996,3345.72617996151
1.19,60.6232451562169,930.105364334928,2151.60227479975,3194.25034758153
1.2,59.9559755354673,965.927803947874,2209.78051405761,3217.92719368258
1.21,59.174302244055,947.864088545408,2239.1222109302,3167.03475415742
1.22,58.6620811189817,999.082857018216,2287.48391714579,3234.48896129669
1.23,58.6088824895532,1040.89507148193,2347.9724243118,3334.65061944998
1.24,59.0816880750166,1137.37364078836,2431.79733430638,3476.91559927461
1.25,59.7121080544284,1271.09228683766,2461.89789180457,3557.78406545126
1.26,60.6497544671787,1384.3372340267,2478.4207400136,3632.97608305957
1.27,61.535373477432,1447.71140862973,2492.42271209564,3719.86860629308
1.28,61.8358675988536,1455.11606338712,2490.50630163859,3754.0090521875
1.29,61.6101120068158,1363.90793275597,2485.74317592477,3721.38190552603
1.3,61.4199945088442,1197.53476154446,2426.18827945907,3594.26231372941
1.31,61.4468263276668,1200.51793159491,2432.60639680492,3600.27503786042
1.32,61.5180793715082,1181.96250626221,2371.37927687092,3528.07857885269
1.33,59.2096326570398,1089.46024250284,2135.63495112609,3217.85456966018
1.34,53.7364519128625,1060.17788376506,1996.95335232899,3049.34442339826
1.35,50.6660357253942,1121.81656663602,1948.74942258062,2974.75811517369
1.36,48.9125013442928,1203.80463580444,1895.30879474354,2794.42235369121
1.37,47.9914428592903,1026.03698328999,1830.22085025444,2684.88918441561
1.38,47.6665629885707,1176.93004001505,1939.92306561002,2820.17514745532
1.39,47.6843178224925,1269.56699923693,1999.19364925303,2897.43080928741
1.4,47.7119499256991,1166.12727861857,1956.77535495631,2864.04125045467
1.41,47.2772038324627,1080.19377413313,1956.08988186539,2838.71755998757
1.42,46.497246863185,869.967541170577,1808.06909549015,2704.73431272379
1.43,46.0169998901836,861.845463417049,1822.68678710301,2758.14970967806
1.44,46.0822408280884,647.549700039033,1691.30116958379,2592.27937878129
1.45,41.0042430691168,527.733680445213,1466.89619426382,2267.75333866149
1.46,36.9952032755317,618.93456860293,1406.19369520361,2129.0527020088
1.47,34.846863512177,639.843342597294,1373.91172474822,2004.41124722552
1.48,33.5147452475464,590.836476182762,1312.35973067395,1851.89976099666
1.49,32.4676138723675,619.179230048169,1258.3276958722,1759.99936481061
1.5,31.6587810722215,709.409662601451,1265.0527064618,1794.12772499643
1.51,31.1820125455524,718.046638022024,1246.99178809101,1809.33182589086
1.52,30.8727950257607,604.106562090414,1115.15479350792,1652.7884212779
1.53,30.5106622958071,464.958411079041,984.371734148679,1454.92677431589
1.54,28.0258942800952,329.427053092096,781.762169089904,1163.94494181092
1.55,22.0380368011231,377.827019792083,739.457170559543,1123.31145996458
1.56,19.1652087115066,384.730743679681,710.46484787205,1065.44533114136
1.57,17.7261406378175,255.693673466795,625.580837979057,937.121900350583
1.58,16.6135103163685,327.62898944412,643.973996858167,970.386661934131
1.59,15.8691363050656,199.546413375764,558.633354930318,860.346270888679
1.6,15.6738043148707,323.94657157837,657.867404264381,964.481063679974
