time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,20.926125,738.045,1162.503,1667.145375
0.01,37.9417137890625,1118.85711328125,1832.75113078125,2575.65862230469
0.02,47.6900714179687,1266.35368710938,2169.26918479687,3031.37805547266
0.03,52.6928423651367,1307.75994342773,2330.72230914492,3268.73451847588
0.04,55.2106265602148,1300.5747757793,2393.39784501773,3267.60839744924
0.05,56.85201264297,1283.35661757971,2430.63314280004,3229.13559488646
0.06,58.769775622802,1208.88442716445,2422.61392443093,3191.85421992796
0.07,61.0541330324588,1188.31079716459,2426.07517242701,3204.63020942854
0.08,63.318563272307,1299.68289789818,2468.75946971686,3280.14031228069
0.09,65.3110574431565,1411.49030400665,2502.50466031062,3314.47591613318
0.1,66.7655746725992,1423.10124279311,2562.45083987733,3297.9159414066
0.11,68.1808057789293,1318.57786577448,2577.00020451173,3297.27638505759
0.12,70.787920721486,1098.19032718826,2447.63069316563,3147.44368878786
0.13,73.4377171454664,1004.32785630644,2352.44046969593,3034.97146604249
0.14,75.8879660240102,857.396368595617,2281.06982931063,2966.54124090333
0.15,78.2073316274076,737.952793844356,2256.10726840086,2918.58713018769
0.16,80.0249787397603,667.284604853617,2265.61254546823,2881.27244775507
0.17,81.3053505933205,629.197540708874,2286.2044546441,2847.99463623474
0.18,82.1642342713751,608.712412124042,2298.52089697938,2838.71014253731
0.19,82.7033981674707,597.392101217324,2300.07629164747,2823.1892364394
0.2,82.9596982108767,590.978328937159,2290.56783971033,2775.74177516893
0.21,82.9482048519295,588.53763363451,2271.25597815332,2721.84635624103
0.22,82.7179963158323,590.94225796322,2248.38270758127,2681.40634159528
0.23,82.3413521047068,598.20319360854,2205.54803475271,2638.85475408565
0.24,81.8999181952633,606.07206102927,2134.0239912159,2591.48305741164
0.25,81.5668765480979,615.081166131021,2074.73261641454,2540.93982293095
0.26,81.4684654409248,620.991788715327,2031.44213298092,2470.51991209314
0.27,81.4275212823427,623.552639246288,1991.34024778237,2393.47332190491
0.28,81.3484505053222,626.359431068906,1956.40286264637,2336.35914334347
0.29,81.1658582585708,631.166067444419,1933.61506485528,2288.03266030158
0.3,80.8723637440679,639.910149884267,1912.43784710903,2245.09435843909
0.31,80.475229167132,644.204853845757,1891.71077809965,2213.90681883865
0.32,79.9941390043897,640.192417718467,1874.21214856538,2195.69901276344
0.33,79.4634130739587,629.40954303791,1861.20854914053,2188.7557602864
0.34,78.8936870200267,611.722478169364,1856.23367286355,2189.0218449541
0.35,78.2442869780944,594.653278865771,1858.33214512865,2184.61930383788
0.36,77.5108017585957,582.728728043615,1864.22479430341,2198.01606924805
0.37,76.8269229660271,575.976281503608,1869.10590511731,2233.53486707626
0.38,76.2772601861065,578.772755776889,1897.61015980342,2266.54683377054
0.39,75.7592914996815,587.500880340362,1925.20129194671,2321.7515150914
0.4,75.3197402246024,589.403074361264,1952.22516522273,2385.78796305682
0.41,75.0438147012215,589.366413580369,1995.86995206393,2445.81377671142
0.42,74.7435888159014,587.263381194123,2041.34759260295,2494.67503774537
0.43,74.2997190628721,580.675100611724,2073.76211347328,2535.00690539283
0.44,73.8805344148491,568.049484580424,2084.23295079259,2583.12403779539
