time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,13.65075,388.643625,927.8865,1341.63
0.01,28.2624159375,646.85736140625,1352.818625625,1931.35455
0.02,39.39696815625,780.581700984375,1640.7188094375,2383.347555
0.03,47.1621772757812,798.004635507422,1798.89800269219,2700.112716
0.04,51.271925596875,797.120762020313,1892.67403663125,2826.186948
0.05,54.2082680876953,863.681528779981,2013.46821833555,3000.374481375
0.06,56.1444174034102,980.004898021834,2146.61657408815,3199.6189458675
0.07,57.312210333041,1043.91439582323,2164.01062779222,3230.94203557875
0.08,58.4138418147703,1115.44676087759,2187.9136671752,3264.519701367
0.09,59.4341394017524,1191.85052410382,2218.44821086057,3297.23777261613
0.1,60.1676537942158,1265.29970281375,2266.23536773105,3310.67891912878
0.11,60.4839203588145,1324.37001838919,2305.5609957799,3341.47403142118
0.12,60.5418127469457,1376.57839762695,2341.33918255674,3385.41830371435
0.13,60.5253330381658,1437.96503293671,2385.33945891631,3446.27300881567
0.14,60.42014099202,1483.21987765353,2411.49025236801,3470.0312086366
0.15,60.1937582534268,1511.85560733053,2421.35936253263,3472.98252480227
0.16,59.6293036102709,1502.85717013673,2398.8579286314,3465.99586450167
0.17,59.5203991874477,1443.3263130543,2337.99488004889,3360.7126560046
0.18,59.9578272640855,1352.39112039337,2256.27308464278,3217.6287625933
0.19,61.6360819220308,1226.00958251725,2158.07858120016,3087.10054300862
0.2,63.7786683606611,1042.44303643316,2063.69632890508,2929.68091745217
0.21,66.0467610403128,861.538739021262,1973.47598848254,2766.37871353102
0.22,68.2091111993413,745.425874594984,1891.33457369115,2613.16054882541
0.23,70.0103575527098,677.295753342904,1838.10330407674,2510.91683551676
0.24,71.57337154518,632.167789424712,1799.93171469284,2432.92108742375
0.25,72.8156184057862,609.110230592013,1777.90926734345,2377.9244504128
0.26,73.8257435008367,596.98149124797,1763.21488610549,2337.02145322253
0.27,74.7055737519201,589.434096399933,1751.8568111884,2301.43481557616
0.28,75.4303242085034,586.081745321792,1743.84040977146,2270.0746970991
0.29,75.9716974067298,584.620584031938,1736.57274035601,2246.32426987158
0.3,76.4246715743305,582.836941350289,1731.35920481075,2213.48063223626
0.31,76.781583274947,579.945945930402,1729.41633260087,2162.92871514695
0.32,76.9943802953168,574.288248678469,1721.27650927495,2127.77873989336
0.33,77.1420059466771,570.24078365237,1713.22480021568,2096.631995832
0.34,77.2210395486136,569.038511287853,1706.42797574719,2068.50778044373
0.35,77.2650331080765,565.182966991886,1699.96495834891,2038.03737875891
