time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,13.92975,319.0275,968.104125,1450.040625
0.01,30.2138465625,686.9358984375,1547.34847558594,2261.41940917969
0.02,41.43180684375,1060.14340546875,1995.25505501953,2859.41385791016
0.03,48.6821375367188,1239.52186388672,2228.43482849268,3207.56837047119
0.04,53.0473694076563,1186.59856777734,2263.00930212041,3325.76046432861
0.05,55.6502606841797,1222.99117497949,2348.39221937688,3351.55892546448
0.06,57.4711329144023,1093.28497379209,2273.05478264979,3317.56462567804
0.07,58.9407157863782,1138.88022179469,2326.41134814701,3425.0314158319
0.08,60.1352527834093,1269.50233002705,2454.56256746015,3591.19639330374
0.09,61.0146957414159,1296.60318812436,2524.53044510263,3662.73763911058
0.1,61.4681242257745,1233.16791898335,2504.3248584971,3556.59981216941
0.11,61.9264304053236,1263.40849235731,2480.50239501066,3538.00234079212
0.12,62.6546299300592,1253.6109558662,2445.05791794135,3495.01555669008
0.13,63.8300342879547,1144.74486532724,2372.03308192445,3378.49669626166
0.14,65.3251803858339,941.291029699289,2194.09945850764,3193.32861784339
0.15,66.6778112667409,863.703191396313,2073.63826534164,3076.46007310903
0.16,68.0819731392002,836.466834989409,2003.20525138037,3004.62092625668
0.17,69.6164755136811,845.568505630028,1971.37134949475,2969.83153231374
0.18,71.3222839691532,878.375454233734,1963.07715996416,2962.45852722747
0.19,72.9339552159508,894.058368699024,1954.20389068452,2962.45092091528
0.2,73.9938020243771,876.773402706808,1917.89687334555,2903.42433412548
0.21,74.3236187427396,841.54131261791,1874.96802984179,2834.07713857053
0.22,73.8435055046396,781.963284092141,1812.28197160769,2766.54215072963
0.23,72.9583385790712,673.65869549021,1686.33976834535,2691.78449899897
0.24,72.3356523888622,613.342345414313,1612.66231564234,2642.95605906595
0.25,71.9307977075794,575.364477890268,1564.75257568055,2611.58139640817
0.26,71.6920226307065,554.724670878965,1544.61194214179,2606.30097036904
0.27,71.5173586709651,557.015305280056,1555.60747068917,2630.59321764872
0.28,70.9781996593766,642.027937926039,1611.58770167602,2669.47152275319
0.29,70.2169278460973,590.25147511934,1633.38855378733,2661.24106680942
0.3,69.4588921087456,606.019116721147,1719.93956222157,2703.49928551377
0.31,68.9657309586758,663.725692325912,1826.89724498556,2768.65317397248
0.32,68.9310831236941,640.166713515981,1842.35390855272,2772.54459226744
0.33,69.1247063199079,574.439743920519,1841.71093288965,2734.83526295467
0.34,69.4583993069812,625.091554661486,1901.80859384142,2760.73129540174
0.35,69.8710726071572,697.462195990116,1959.44299368269,2805.82094949968
0.36,70.3113484251746,718.264012491528,1994.74669067956,2836.19086079375
0.37,70.9838114024207,625.616718930942,2087.10688454893,2826.31140106098
0.38,71.6421577690474,542.659370807848,2118.39999633353,2820.02323081989
0.39,72.3447679404699,565.759452169836,2161.30491983614,2864.38561699499
0.4,73.2412279468801,598.31041388932,2198.81573128824,2897.7735298871
0.41,74.6671872004056,503.603073145314,2196.31008667444,2837.31278705514
0.42,76.292396966515,433.728066873213,2186.44000822476,2789.65083842216
0.43,78.0287747225438,381.466730714921,2181.70292238612,2761.99383090917
0.44,79.7332714874274,346.621007697891,2176.75055549612,2737.47319553363
0.45,80.9453981301077,326.416174965479,2169.76484108643,2712.98133553385
0.46,81.4865197173248,313.410163423911,2162.60271630585,2702.38881369332
0.47,81.4392731296997,306.042539098053,2157.44591040317,2793.48857636352
0.48,80.8563957281789,301.072192790875,2156.73398249535,2878.31643621701
0.49,79.8211080796049,300.410919578739,2159.28882468386,2936.0221347075
0.5,78.5515465037969,304.897265404873,2163.8989540099,2959.02562778511
0.51,77.2991522100962,302.414934671599,2174.46836373301,2963.63211291107
0.52,76.0455761762072,296.568821127304,2169.3120047058,2950.52651339169
0.53,74.7571810315238,374.092865775313,2210.42815131902,2990.70643963776
0.54,73.3370309567565,497.973120680585,2272.16834987116,3075.27795080055
0.55,71.9787423002515,522.492506938039,2252.4680448865,3131.72167702901
0.56,70.8109756033578,534.180205832274,2229.76699040521,3259.93968227677
0.57,69.8791168991175,516.710083301119,2187.18893692226,3276.84245863286
0.58,69.1914152507406,483.875384054468,2129.0886222669,3233.14089279492
0.59,69.4008544374062,448.905641206639,2061.46732638711,3177.45572056454
0.6,70.5254602052978,419.122269638134,1992.52489418956,3108.83779702943
0.61,72.0322372897622,407.374434397523,1941.06018183143,3049.10905796559
0.62,73.3130249316359,401.49531314674,1903.86068905348,3012.25045828575
0.63,73.6143146299397,394.035860868664,1870.11830959545,2990.90979845473
0.64,73.2895388849635,377.596292072391,1823.17020360069,2966.68630685627
0.65,72.6935132229031,373.314685484441,1811.91573749107,2980.24033960211
0.66,71.9731340324919,378.760788180987,1822.82507777597,2969.5736860508
0.67,71.1286040122972,436.752300421292,1857.16204879064,2997.82653493406
0.68,70.5407095809559,529.177874069923,1897.86062037685,3058.78251285022
0.69,70.2390762628315,476.560702437915,1873.0107410974,2968.43979283151
0.7,70.0542786158755,452.177087022183,1873.4902733876,2905.87389931521
0.71,69.7617573142066,506.343429330681,1887.98388865378,2897.19362730583
0.72,69.1729800820149,585.773826877039,1899.20545458503,2914.59246908731
0.73,68.3861847241194,610.496039379712,1888.39702841326,2914.76102908759
0.74,67.5473017217219,573.552522960639,1874.78576630077,2874.69568591056
0.75,66.7568521085979,521.261810250639,1833.0730362995,2874.04681510007
0.76,66.1122504684671,476.550201908234,1796.18422101409,2887.16411724713
0.77,65.5175379590649,448.299755162302,1776.69385881459,2884.63346603689
0.78,64.9925528632601,432.049742705969,1767.43903825445,2813.79591585487
0.79,64.772224791969,436.273329156558,1810.73106106246,2780.70823254196
0.8,65.1865631550297,457.071543028659,1876.44556629986,2770.84782367193
0.81,66.5661961297131,469.700956081978,1941.3024402397,2762.94048503112
0.82,67.4260366382879,462.636489611507,1991.14059108296,2750.52655124847
0.83,67.6224053478785,566.23361957519,2091.10892630215,2875.72112676149
0.84,67.1650544870843,647.785157751947,2176.71537959243,2936.14760821481
0.85,66.5086177044972,714.429397355647,2195.46855601715,2946.85560533938
0.86,65.9697703688866,767.951150308748,2176.8703928859,2941.02094329459
0.87,65.8462889876648,807.383302493956,2224.91503725565,2980.80161779752
0.88,66.4786545373431,824.895452435154,2191.33205150767,2976.60713466519
0.89,68.3541804770152,841.349878752373,2175.48096667766,2948.43881011514
0.9,70.3697576203785,848.617220390976,2168.61083963936,2904.36796414044
0.91,71.8078197256192,844.798766412168,2162.39372532393,2865.18413436184
0.92,72.7131172055167,859.994977761699,2171.56945828007,2922.15111196149
0.93,73.1699918965685,871.454407939857,2197.50936183504,2934.92155249722
0.94,73.2178182366169,805.403198429678,2175.10345173258,2884.17112215984
0.95,73.3713351185832,722.732340144277,2142.59205596636,2826.02263466729
0.96,73.8052208013649,752.490309758727,2188.22491975764,2860.1800778213
0.97,74.43558197688,776.439517265425,2237.80932296784,2933.01676921225
0.98,74.919920685768,709.610509664952,2222.89670766294,2879.70394290503
0.99,74.6906027970435,628.321612518031,2196.11738674709,2786.74142720414
1,74.0924323818031,578.204838736812,2187.67584635376,2715.60886118016
1.01,73.2960232738777,552.474248975582,2187.20429762926,2696.21793607166
1.02,72.45657105577,521.1950665098,2190.14239626217,2697.82982511862
1.03,71.5845815102971,498.062051126916,2175.59605675397,2699.58587161724
1.04,70.8105068709889,485.765092370393,2153.74699029444,2700.36631871184
1.05,70.077977119973,483.86108504779,2141.13928781987,2702.59252734849
1.06,69.3282377534961,481.443998461811,2112.48413368441,2696.79725214499
1.07,68.4490744381805,483.265539863237,2099.03023757579,2695.53760559233
1.08,67.5783859703803,482.352835877363,2095.93434761258,2674.53914073708
1.09,67.2231653311188,476.49260381272,2093.20738960873,2644.22713283005
1.1,67.3832251081906,468.49088388354,2067.87318765585,2668.40248175986
1.11,67.9231930750962,468.284719755041,2054.87579062396,2679.97850185773
1.12,67.8718044936147,470.725452480774,2044.43864057671,2700.66325287365
1.13,67.2961386925634,471.870106331077,2039.05128285345,2720.25595420061
1.14,66.6898029525013,469.72434102625,2042.27326142684,2726.18241250139
1.15,66.362282855751,478.880126024793,2058.36844419044,2714.6231595869
1.16,66.5268068070695,487.161390923861,2078.28389240915,2663.46133147163
1.17,66.7544229839196,484.662459081247,2092.51433548558,2631.90844673438
1.18,66.9583262231731,473.186422516154,2096.12677673662,2639.20652926265
1.19,66.9781457366047,464.155159604661,2085.52498532751,2683.27388150822
1.2,66.6063478777553,487.210871020933,2096.45579280713,2752.7436063337
1.21,66.1062934303881,528.186679959804,2115.27401793252,2807.55674105302
1.22,65.558033790406,566.028796971952,2125.53826583912,2843.36635392988
1.23,64.8219215317542,576.700368481307,2115.07512914688,2848.47305855277
1.24,63.8741700258318,508.434021975118,2082.88962089558,2756.11549219979
1.25,63.0692440609011,505.390666948268,2077.01348866952,2746.38051170949
1.26,62.6331939843474,496.050093558122,2075.59485143431,2734.52396633376
1.27,62.3141943981096,484.30720174802,2080.89111484896,2724.81365426876
1.28,62.0921301576555,504.210264324616,2104.57319744685,2756.70510191092
1.29,62.0395761549276,593.405972179243,2129.82656553194,2842.64188248912
1.3,62.1693773227425,536.055466001471,2103.25276423246,2856.24716178497
1.31,62.3323481119012,452.88059918146,2061.95238231667,2857.04458702614
1.32,62.4843337829617,422.295302509161,2032.57031561802,2873.82450975755
1.33,62.5407099824077,459.56081481949,2029.48762354177,2872.13998625515
1.34,62.0577079318363,425.065293629929,2025.16227909022,2903.9000418722
1.35,61.3801451334883,422.237051119401,2036.71209287004,2918.77935314693
1.36,60.8511023724567,448.528442798913,2063.96370179475,2920.98848165465
1.37,60.5544093318221,477.511594154248,2102.03124376385,2926.23889072755
1.38,60.4268683500333,495.393355351227,2144.40639456121,2921.65281637937
1.39,60.6042305073523,639.13080812509,2225.94249769212,3025.31713648952
1.4,60.8367108822025,819.976096990728,2315.42051115344,3164.91973216809
1.41,61.0673158356987,983.100591528836,2394.34816804505,3290.95501925307
1.42,61.2237080024023,1086.76486363978,2450.248125507,3355.120663233
1.43,60.8477687023125,1009.65740444054,2398.46702401721,3338.38180482399
1.44,61.0557268035443,896.71245293044,2224.00451767181,3145.41863116278
1.45,58.8849217951992,861.612662481781,2060.20060248629,2938.08078054637
1.46,54.4198178666469,958.329477343502,2018.84934457669,2866.72408673676
1.47,51.724319629657,748.076752420209,1864.63957362853,2707.35785761173
1.48,50.1960734986694,653.812508469302,1788.62672647171,2607.2907365967
1.49,49.1708127543151,625.002204209119,1734.65364333063,2526.35092141477
1.5,48.3617324213991,613.804623630567,1675.5726869685,2445.19656261074
