time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1679.64,2292.73,3551.29
0.04,0,56.57,1764.75,2355.22,3710.65
0.05,0,59.05,1776.45,3289.62,4004.06
0.06,0,59.81,1800.8,3248.21,3950.18
0.07,0,59.79,204.94,2157.39,3193.38
0.08,0,61.11,2150.15,3008.44,3932.51
0.09,0,61.19,2310,3044.39,3861.13
0.1,0,59.27,2206.18,3056.94,3881.65
0.11,0,61.51,1859.66,3051.96,3795.44
0.12,0,70.6,507.42,1943.4,2488.48
0.13,134.19,75.76,422.93,1926.51,2412.34
0.14,130.6,77.08,401.95,1967.81,2442.98
0.15,129.2,77.17,384.97,2091.1,2503.89
0.16,128.24,77.08,244.08,2135.99,2512.61
0.17,127.55,75.99,276.75,2209.21,2518.77
0.18,127.55,75.61,328.11,2284.11,2430.37
0.19,126.91,75.65,320.25,2207.33,2390.09
0.2,125.26,75.12,262.03,2204.27,2562.74
0.21,123.66,74.12,262.69,1896.14,2226.18
0.22,122.08,72.57,297.42,2156.1,2480.66
0.23,0,69.98,322.73,2048.1,2400.27
0.24,0,65,387.74,1925.86,2394.08
0.25,0,63.13,390.39,2041.84,2505.12
0.26,0,66.73,671.29,2425.87,2553.75
0.27,0,66.5,484.74,2343.93,2490.86
0.28,0,63.78,2066.19,2804.16,3819.21
0.29,0,68.17,532.54,2328.57,3118.41
0.3,0,74.1,400.29,2168.22,2535.5
0.31,124.54,75.5,391.17,2135.9,2505.85
0.32,124.93,75.06,388.93,2121.45,2487.66
0.33,124.99,75.04,389.39,2080.74,2505.08
0.34,124.54,75.38,427.63,2129.96,2490.24
0.35,125.27,75.59,411.8,2129.91,2481.79
0.36,125.85,75.4,406.32,2161.66,2451.78
0.37,125.58,75.07,379.19,2227.97,2487.27
0.38,125.36,74.43,380.87,2248.24,2590.95
0.39,125.44,73.75,420.02,2257.43,2641.96
0.4,125.02,73.4,333.74,1462.46,2281.23
0.41,124.51,73.31,266.24,1536.06,2263.04
0.42,123.41,73.2,1518.24,2186.17,3189.17
0.43,120.91,73.05,153.3,1437.41,2289.73
0.44,119.56,72.76,244.23,1362.52,2278.41
0.45,116.94,72.66,214.54,1337.99,2274.14
0.46,114.81,72.4,725.04,2107.31,3074.58
0.47,111.21,72.09,258.23,2196.07,2700.65
0.48,0,72.96,390.75,2248.57,2286.58
0.49,0,72.18,505.81,2143.39,2303.72
0.5,0,68.46,481.57,2033.93,2402.89
0.51,0,65.92,498.85,1913.27,2352.7
0.52,0,63.3,429.44,1968.34,2207.2
0.53,0,61.59,385.95,2072.41,2276.75
0.54,0,62.88,550.66,1769.39,2488.52
0.55,0,66.38,757.24,1649.93,2494.55
0.56,0,69.88,770.47,1653.39,2480.43
0.57,0,71.32,752.5,1613.48,2496.24
0.58,98.62,73.28,761.74,1644.69,2483.79
0.59,97.85,74.39,804.21,1594.14,2470.13
0.6,97.35,75.1,790.27,1544.15,2445.49
0.61,96.96,75.7,754.67,1464.65,2419.08
0.62,96.59,76.08,726.41,1398.07,2394.14
0.63,96.45,75.8,701.46,1342.41,2362.2
0.64,96.76,75.22,626.74,1327.62,2360.92
0.65,96,75.37,638.47,1190.53,2385.13
0.66,95.23,75.35,702.95,1004.49,2468.79
0.67,96.23,74.45,600.06,1125.24,2465.54
0.68,98.8,73.42,502.23,1069.31,2492.93
0.69,100.79,72.83,790.94,2422.79,3584.06
0.7,0,72.08,496.07,1027.03,2525.14
0.71,0,71.32,442.85,1098.74,2516.34
0.72,463.28,70.85,443.88,1136.4,2553.02
0.73,473.13,69.53,471.63,1056.36,2608.27
0.74,473.41,67.04,485.65,1057.17,2604.36
0.75,469.24,64.95,485.02,1257,2675.85
0.76,0,62.19,545.3,1249.23,2617
0.77,0,62.38,510.09,1295.57,2623.39
0.78,0,63.91,461.71,1242.83,2609.98
0.79,0,62.98,386.62,1169.12,2592.83
0.8,0,64.47,322.96,1209.03,2514.76
0.81,0,66.29,895.02,2436.87,3749.56
0.82,0,66.58,888.55,3013.76,3824.07
0.83,0,65.01,420.36,732.85,2676.73
0.84,0,61.32,876.22,2689.06,3666.34
