time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,52.3,2025.02,3028.41,4485.93
0.04,0,52.5,197.65,1593.15,2487.19
0.05,0,54.54,226.02,2117.33,2354.82
0.06,0,57.98,1007.87,2383.21,3665.73
0.07,0,59.57,290.24,2108.43,3022.7
0.08,0,59.43,163.77,1753.82,2800.44
0.09,0,55.6,173.24,1451.81,2489.18
0.1,0,53.99,1810.99,2273.91,3976.27
0.11,0,56.91,267.41,1842.78,2954.08
0.12,0,57.56,128.93,1722.2,2422.59
0.13,0,58.59,81.23,1636.8,2685.73
0.14,0,61.58,1298.66,2573.44,3487.94
0.15,0,64.05,1260.06,2612.8,3521.08
0.16,0,65.64,1173.18,2582.26,3147.29
0.17,0,66.48,369.75,2494.13,3148.77
0.18,103.44,68.12,407.95,2610.1,3217.59
0.19,105.08,69.61,435.41,2769.47,3523.32
0.2,108,71.13,496.45,2731.51,3415.6
0.21,110.23,73.46,528.3,1032.8,2831.21
0.22,110.2,75.35,504.59,1092.29,2750.97
0.23,110.38,76.26,489.9,1165.48,2716.97
0.24,111.64,76.76,499.07,1151.43,2694.11
0.25,113.32,77.13,501.24,1165.52,2649.01
0.26,115.13,76.83,517.41,1117.54,2647.71
0.27,116.56,76.14,550.33,1048.31,2607.43
0.28,117.71,75.21,602.6,864.96,2598.99
0.29,120.45,74.14,719.42,2549.6,3175.17
0.3,122.97,74.08,921.3,2559.36,3183.77
0.31,124.02,74.68,380.7,1066.8,2602.35
0.32,125.05,75.31,370.07,958.84,2526.57
0.33,126.08,76.43,385.32,1024.77,2522.17
0.34,127.38,77.03,424.11,1028.39,2544.12
0.35,128.69,76.25,330.37,1034.58,2540.06
0.36,128.75,75.41,378.89,1021.49,2543.53
0.37,128.6,75.51,1037.33,2529,3272.92
0.38,128.16,75.84,379.26,1075.8,2501.45
0.39,127.4,76.12,568.94,1206.41,2480.59
0.4,127.24,76.15,452.67,1126,2428.72
0.41,123.56,75.14,505.48,1261.24,2393.59
0.42,121.94,73.61,452.77,1271.54,2478.3
0.43,0,72.33,413,1253.59,2485.85
0.44,0,71.05,520.41,1930.67,2994.99
0.45,254.08,69.58,523.05,1910.08,3109.58
0.46,253.07,68.15,519.42,1740.51,3109.36
0.47,253.24,65.51,539.28,1960.24,2988.39
0.48,0,62.82,620.06,2002.23,3175.67
0.49,0,62.95,577.27,2282.98,3260.34
0.5,0,63.13,580.3,1932.22,3159.8
0.51,0,63.02,1474.2,2346.46,3298.24
0.52,0,63.38,1336.63,2463.51,3334.29
0.53,0,66.67,1121.35,2484.21,3286.42
0.54,0,70.14,267.61,2261.73,2764.62
0.55,108.95,72.14,265.72,2178.48,2833.94
0.56,109.32,72.21,308.71,2143.2,2857.38
0.57,107.83,71.98,310.82,2205.58,2818.64
0.58,105.7,72.24,306.81,2131.81,2839.6
0.59,102.54,72.42,309.69,2123.9,2695.34
0.6,100.03,72.17,318.05,2192.97,2650.85
0.61,99.46,72.07,315.04,2114.65,2626.11
0.62,98.09,72.64,265.96,2108.2,2517.78
0.63,95.8,72.98,267.7,2072.25,2503.31
0.64,93.59,72.39,282.1,2018.29,2431.29
0.65,91.27,71.42,304.83,2149.23,2425.73
0.66,0,69.9,231.95,2017.66,2435.61
0.67,0,68.16,334.39,2127.82,2377.44
0.68,0,68.08,363.37,2085.4,2613.43
0.69,0,68.08,355.46,2042.56,2388.15
0.7,0,67.44,267.73,2100.18,2263.97
0.71,0,67.61,314.95,2003.71,2340.35
0.72,0,67.23,244.51,2237.2,2242.78
0.73,84.62,66.58,321.93,2069.05,2396.08
0.74,84.65,66.3,328.56,1849.61,2385.6
0.75,85.33,66.08,314.85,1905.11,2448.99
0.76,86.05,65.59,323.06,1815.98,2420.28
0.77,0,64.01,337.86,1708.9,2451.66
0.78,0,65.43,307.77,1733.83,2456.55
0.79,0,66.29,280.95,1750.22,2439.36
0.8,0,64.26,280.48,1804.36,2495.99
0.81,0,62.71,297.1,1760.9,2481.58
0.82,0,62.54,286.51,1883.48,2779.74
0.83,0,64.59,206.63,1930.26,3290.89
0.84,0,64.57,243.93,2010.64,3242.33
0.85,449.78,63.33,1738.61,3284.64,4127.76
0.86,450.2,64.35,1955.74,3513.84,4426.54
0.87,450.29,64.52,230.41,2495.02,3882.11
0.88,454.31,63.29,2020.82,3811.93,4125.85
0.89,462.79,63.98,2078.64,3404.27,4137.69
0.9,451.44,63.97,2600.55,3893.76,4708.33
0.91,445.91,61.51,2074.73,3556.24,4043.87
0.92,475.98,62.42,276.24,2637.54,3903.93
0.93,487.2,63.65,2386.9,3483.11,4241.85
0.94,495.51,61.99,2078.46,3431.14,4361.42
0.95,458.22,61.15,1572.17,3349.45,4312.91
0.96,0,64.64,1527.9,3189.65,3447.16
0.97,0,67.59,1932.24,3420.69,4411.45
0.98,0,66.87,1574.78,2395.5,3783.66
0.99,0,63.01,1848.97,3405.21,4386.27
1,0,61.59,1673.06,3101.19,4236.43
1.01,0,62.88,1156.54,2175.8,4289.13
1.02,0,60.67,1725.27,3145.56,4230.49
1.03,0,58.25,1891.67,3099.77,4070.58
1.04,0,57.8,151.76,1854.5,2974.74
1.05,0,55.87,2003.51,3225.42,4426.71
1.06,0,56.48,155.26,1624.69,2900.03
1.07,0,56.14,1899.59,3710.65,4337.94
1.08,0,0,225.54,1783.12,3121.89
1.09,0,0,0,0,0
1.1,0,0,0,0,0
