time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.51,81.24,2191.83,2981.48
0.04,0,59.92,472.6,2095.97,3214.22
0.05,0,57.89,226.06,1564.28,2598.63
0.06,0,59.99,717.26,2481.19,3020.5
0.07,0,65.46,786.86,2417.36,2886.25
0.08,0,72.11,419.25,1996.26,2478.94
0.09,112.95,76.43,489.57,1783.82,2408.31
0.1,112.91,78.12,534.74,1760.24,2419.53
0.11,112.75,78.78,565.42,1715.61,2441.71
0.12,112.49,78.21,616.57,1642.71,2470.31
0.13,111.95,77.55,651,1527.54,2459.51
0.14,111.93,77.38,683.75,1475.96,2495.35
0.15,111.97,77.18,605.13,1423.98,2535.49
0.16,112.38,76.56,526.99,1375.83,2570
0.17,111.87,75.88,498.31,1339.1,2578.32
0.18,112.79,75.43,496.09,1308.66,2562.74
0.19,113.65,75.53,490.41,1319.76,2535.07
0.2,113.78,75.38,461.2,1342.76,2499.59
0.21,113.6,74.63,389.11,1364.43,2491.8
0.22,112.57,73.66,195.05,1388.86,2479.37
0.23,114.29,73.19,272.48,1374.02,2509.63
0.24,114.48,73.42,263.76,1530.46,2604.23
0.25,114.28,73.58,209.25,1316.9,2511.89
0.26,114.41,72.55,174.21,1305.21,2453.46
0.27,110.87,69.83,303.27,1394.47,2526.09
0.28,111.96,66.51,332.13,1355.88,2558.87
0.29,0,65.84,290.12,1786.97,2615.97
0.3,0,65.33,1481.21,2597.36,3572.65
0.31,0,63.19,1658.78,2628,3352.02
0.32,0,64.11,117.62,1581.21,2599.01
0.33,0,68.57,428.24,1553.28,2435.38
0.34,0,70.32,452.7,1495.17,2457.89
0.35,105.79,70.2,429.27,1447.77,2432.78
0.36,104.57,69.73,409.87,1433.83,2447.01
0.37,0,67.26,359.66,1415.21,2556.37
0.38,0,66.58,293.53,1508.85,2536.42
0.39,0,68.07,225.83,1481.22,2607.88
0.4,0,67.89,235.31,1460.53,2543.16
0.41,0,67.79,346.07,1519.46,2847.65
0.42,0,69.95,426.44,1284.23,2477.54
0.43,0,71.48,448.36,1255.16,2443.39
0.44,99.03,70.66,460.68,1203.66,2392.55
0.45,96.87,69.81,442.31,1114.02,2366.91
0.46,95.56,69.68,370.74,1003.89,2402.64
0.47,94.56,70.34,365.24,933.76,2400.66
0.48,94.24,70.77,383.05,801.92,2428.47
0.49,92.88,70.94,427.96,697.79,2444.98
0.5,93.34,70.81,394.78,784.74,2473.74
0.51,93.02,70.7,472.8,658.38,2497.71
0.52,91.85,71.21,540.75,709.19,2503.84
0.53,91.11,72.15,545.02,868.57,2508.69
0.54,90.41,72.81,556.3,980.07,2524.66
0.55,90.47,72.91,569.73,1024.47,2520.8
0.56,89.05,73.22,615.44,1062.37,2515.27
0.57,88.5,73.92,659.14,1123.45,2530.23
0.58,87.03,74.44,688.3,1194.28,2540.84
0.59,86.26,74.65,697.34,1244.04,2519.97
0.6,86.11,74.7,746.2,1267.52,2496.96
0.61,86.13,74.78,700.08,1350.58,2473.87
0.62,86.06,74.97,691.01,1398.4,2445.26
0.63,86.22,74.93,699.43,1420.23,2413.16
0.64,85.39,74.71,698.47,1479.76,2389.17
0.65,84.51,74.62,698.15,1550.93,2387.29
0.66,83.87,74.32,680.43,1630.92,2366.79
0.67,83.59,73.5,688.16,1721.96,2353.23
0.68,83.7,72.85,636.51,1672.86,2330.27
0.69,83.38,71.78,639.72,1664.08,2306.21
0.7,82.3,69.92,638.31,1630.47,2253.31
0.71,81.32,67.94,636.74,1637.57,2285.94
0.72,83.33,66.72,618.62,1612.06,2343.13
0.73,82.82,65.67,621.04,1637.83,2329.41
0.74,0,66.61,611.47,1644.93,2280.11
0.75,0,68.97,587.75,1672.15,2266.57
0.76,0,68.67,532.09,1643.71,2378.62
0.77,0,67.07,577.99,1634.13,2280.74
0.78,0,67.16,607.68,1644.98,2130.99
0.79,0,67.34,602.85,1652.43,2057.37
0.8,0,66.71,605.41,1671.06,2018.69
0.81,0,65.03,602.16,1644.82,1943.7
0.82,0,61.93,606.84,1660.39,2097.05
0.83,0,60.73,519.62,1654.89,2077.9
0.84,0,61.41,517.53,1634.57,2202.8
0.85,0,62.73,398.87,1758.54,1794.44
0.86,322.96,62.47,534.82,1622.19,1982.4
0.87,326.57,62.56,491.93,1594.13,2011.44
0.88,0,63.16,333.4,1555.15,2112.99
0.89,0,63.6,1222.7,1667.73,3431.47
0.9,0,63.6,367.09,1581.91,1879.33
0.91,0,62.02,483.88,1279.3,1664.54
0.92,0,60.45,262.32,1629.86,2172.39
0.93,0,60.17,1724.11,2291.68,3644.8
0.94,0,58.4,1812.19,3210.73,4627.62
0.95,0,55.91,244.4,1732.17,2159.76
0.96,0,57.62,1642.14,2207.87,3383.81
0.97,0,58.6,1577.72,2398.89,3572.27
0.98,0,58.16,1736.84,3194.96,4147.56
0.99,0,0,0,0,0
1,0,0,0,0,0
