time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2142.86,2307.98,3278.62
0.04,0,60.67,99.32,2038.4,2332.37
0.05,0,57.99,147.59,1695.4,2557.87
0.06,0,61.7,1168.02,2289.22,3530.02
0.07,0,65.18,514.09,2064.95,3163.1
0.08,0,64.01,117.78,1614.33,2627.07
0.09,0,61.82,136.09,1692.08,2823.71
0.1,0,60.63,1440.95,2709.74,3981.74
0.11,0,62.34,2199.83,2647.6,4209.82
0.12,0,64.98,694.12,2361.7,3340.12
0.13,496.98,65.4,1164.09,2421.53,3393.8
0.14,489.96,66.31,1711.61,2441.99,3339.42
0.15,481.75,67.01,1650.51,2313.82,3189.63
0.16,0,70,270.89,2184.47,2460.23
0.17,107.78,73.18,404.05,2071.81,2523.51
0.18,110.61,74.54,433.43,1993.18,2431.56
0.19,111.94,74.97,449.23,1990.21,2424.53
0.2,107.87,74.86,442.03,1972.03,2390.12
0.21,0,72.19,436.3,1939.64,2373.06
0.22,0,67.98,317.4,1967.87,2346.36
0.23,448.24,67.25,311.65,2006.53,2311.07
0.24,457.88,67.06,355.17,1954.34,2489.44
0.25,460.27,64.31,451.46,1932.22,2425.53
0.26,440.95,59.19,435.55,2041.6,2550.04
0.27,406.51,57.23,379.19,1936.79,2593.7
0.28,423.2,58.3,415.46,1945.84,2518.73
0.29,449.19,59.89,426.83,1938.11,2525.27
0.3,449.56,60.97,455.05,1658.61,2274.98
0.31,447.57,64.52,829.89,1344.99,2364.46
0.32,445.43,64.99,743.19,1331.26,2476.1
0.33,431.61,64.78,403.04,1294.72,2473.87
0.34,417.04,63.47,1242.75,2491.8,3443.85
0.35,0,61.57,685.62,1578.79,2747.08
0.36,0,61.56,575.4,1223.83,2443.05
0.37,115.34,66.54,363.28,1086.04,2511.48
0.38,114.28,70.98,506.81,1047.09,2552.47
0.39,111.46,73.33,510.08,1036.66,2559.97
0.4,109.54,74.36,507.91,1005.76,2567.83
0.41,108.5,74.08,512.68,942.22,2634.32
0.42,107.41,73.77,533.94,852.31,2733.96
0.43,106.53,73.07,509.84,864.49,2864.3
0.44,106.02,72.24,515.13,824.34,2972.79
0.45,105.59,71.93,497.07,858.99,2939.94
0.46,0,70.99,332.76,732.63,2894.75
0.47,0,69.35,408.87,1425.4,2881.18
0.48,0,68.76,330.17,914.8,2792.24
0.49,97.7,68.6,286.37,896.56,2987.3
0.5,96.04,68.1,282.99,901.6,3033.85
0.51,94.47,66.57,273.55,887.25,2989.99
0.52,95.05,65.38,247.44,896.86,2966.87
0.53,0,65.26,509.62,2015.21,2943.15
0.54,0,63.87,507.89,2060.1,3189.04
0.55,0,62.03,515.58,2448.82,3288.37
0.56,0,60.75,532.83,2068.17,3080.55
0.57,499.91,63.26,380.49,2304.47,3142.4
0.58,494.17,64.42,1329.92,2403.76,3336.38
0.59,490.03,62.75,646.63,2248.47,3167.74
0.6,0,63.03,1582.11,2762.23,3697.51
0.61,411.43,64.03,1710.24,2416.25,3249.92
0.62,452.39,62.86,1832.8,2457.38,3329.3
0.63,473.58,60.87,1847.87,2457.52,3271.37
0.64,488.19,62.75,1878.41,2448.5,3248.64
0.65,0,66.61,624.15,2237.77,2838.67
0.66,0,68.8,288.61,2205.43,2657.63
0.67,95.07,69.76,281.32,2218.03,2618.04
0.68,94.98,69.89,257.16,2235.21,2603.84
0.69,93.38,70.3,239.44,2202.59,2614.97
0.7,92.58,70.24,254.7,2213.41,2620.69
0.71,90.58,68.94,229.95,2246.69,2622.27
0.72,87.67,67.12,217.22,2243.43,2639.2
0.73,86.88,65.45,366.47,2235.86,2646.05
0.74,87.02,65.82,350.37,2259.07,2628.73
0.75,85.1,66.5,343.33,2261.91,2625.24
0.76,83.44,66.12,331.9,2227.12,2599.31
0.77,0,65.92,325.63,2208.62,2579.35
0.78,0,65.62,307.39,2178.12,2550.89
0.79,0,65.94,297.76,2071,2587.64
0.8,0,66.48,251.92,1986.67,2497.81
0.81,0,64.33,258.95,2015.29,2527.29
0.82,0,62.21,287.07,2071.16,2639.24
0.83,0,62.62,272.43,2094.68,2634.89
0.84,0,64.67,262.63,2272.65,2447.23
0.85,0,65.41,267.74,2277.1,2416.81
0.86,0,63.44,278.78,2155.21,2578.7
0.87,0,60.83,282.16,2238.46,2693.98
0.88,0,64.41,199.44,2058.01,2482.98
0.89,0,67.28,130.27,2198.73,2834.81
0.9,0,66.32,105.99,2336.72,2929.02
0.91,0,62.98,93.8,2332.82,3489.65
0.92,0,58.91,2021.77,2769.65,3988.68
0.93,0,59.09,275.23,2010.77,2649.66
0.94,0,64.03,2028.87,2456.66,3848.54
0.95,0,66.09,1216.67,2374.28,3402.04
0.96,0,64.83,527.29,1991.4,2945.69
0.97,0,61.94,85.28,1725.78,2625.11
0.98,0,64.04,1606.69,2679.13,3386.93
0.99,0,66.03,1194.12,2452.04,3397.02
1,0,64.74,1617.48,2729.54,3688.79
1.01,0,62.85,1492.5,2652.37,3629.05
1.02,0,0,486.63,2078.02,2856.22
1.03,0,0,0,0,0
1.04,0,0,0,0,0
