time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1564.6,2860.12,4133.97
0.04,0,61.09,1934.07,3074.12,4277.47
0.05,0,61.84,232.26,2043.41,2442.96
0.06,0,61.26,382.76,2283.32,3371.06
0.07,0,64.07,2105.93,3322.34,3872.98
0.08,0,65.03,1721.79,2813.2,4098.82
0.09,0,63.11,1056.67,2474.19,3222.31
0.1,0,59.47,1177.13,2463.53,3194.22
0.11,0,60.16,1346.13,2691.13,3405.02
0.12,448.36,64.88,1214.46,2687.6,3167.48
0.13,431.84,66.73,1188.06,2680.97,3085.21
0.14,410.21,67.08,878.04,1239.88,2717.07
0.15,0,66.74,705.43,1150.1,2777.16
0.16,0,69.84,657.63,996.9,2813.67
0.17,0,74.86,596,1031.16,2774.39
0.18,0,76.2,623.01,1027.52,2845.56
0.19,130.08,75.98,618.19,1032.22,2920.37
0.2,127.77,76.55,582.93,1007.7,2942.54
0.21,127.08,77.13,708.99,821.26,3027.61
0.22,127.58,77.33,706.87,756.52,3071.38
0.23,128.23,77.24,679.72,746.85,3025.47
0.24,129.19,76.6,596.77,816.09,2931.46
0.25,130.46,75.83,510.52,899.18,2939.83
0.26,131.68,76.66,503.53,1048.25,2736.35
0.27,132.43,77.88,518.81,1126.79,2631.45
0.28,133.11,77.63,520.97,1235.26,2676.4
0.29,134.18,76.29,519.4,1313.03,2645.86
0.3,134.79,75.85,503.94,1400.03,2614.35
0.31,135.13,75.87,519.66,1611.36,2562.98
0.32,137.09,75.56,507.41,1764.55,2488.37
0.33,137.98,75.22,445.22,2199.34,2278.61
0.34,137.41,75.15,332.05,2260.89,2354.64
0.35,136.26,75.02,1217.1,2276.55,3234.6
0.36,135,75.15,1189.08,2200.39,3197.69
0.37,133.62,75.12,1157.07,2226.23,3262.31
0.38,132.7,74.93,1048.41,2112.98,3245.12
0.39,131.48,75.32,1105.38,2180.76,3322.51
0.4,129.86,75.69,1231.35,2192.25,3268.27
0.41,129.98,75.78,894.81,2240.88,3080.37
0.42,129.28,75.8,283.23,2214.78,2245.48
0.43,123.21,75.75,297.15,2072.58,2376.44
0.44,119.07,75.82,269.77,1948.31,2379.28
0.45,117.1,75.91,323.06,1866.26,2315.92
0.46,114.9,75.65,371.7,1802.62,2098.32
0.47,112.93,75.57,417.07,1723.43,1991.53
0.48,111.94,75.82,417.74,1690.52,1907.88
0.49,111.64,75.91,445.37,1637.88,1930.98
0.5,111.29,75.93,442.93,1647.53,2026.74
0.51,110.91,76.71,462.27,1640.75,2085.97
0.52,110.18,77.57,458.17,1515.87,2478.42
0.53,108.77,77.44,458.14,1414.85,2601.6
0.54,107.38,76.15,453.65,1332.93,2548.72
0.55,105.83,73.89,445.76,1275.26,2473.52
0.56,104.65,71.94,405.93,1339.93,2432.76
0.57,104.66,71.48,408.33,1369.45,2420.7
0.58,104.12,71.1,437.62,1738.02,1979.84
0.59,103.99,71.57,457.98,1336.63,2459.77
0.6,104.13,72.8,481.83,1237.97,2546.7
0.61,103.91,74.02,510.46,1136.45,2699.09
0.62,102.39,74.91,559.54,1143.77,2673.61
0.63,101.47,76.38,598.69,1240.72,2660.45
0.64,101.04,78.08,618.12,1299.25,2676.5
0.65,100.21,78.91,627.66,1354.62,2681.25
0.66,98.59,78.64,619.5,1419.4,2674.36
0.67,97.45,78.02,600.52,1482.29,2661.97
0.68,96.67,77.7,595.99,1541.54,2637.74
0.69,95.74,77.55,596.4,1655.45,2639.62
0.7,94.27,77.03,579,1693.74,2622.71
0.71,92.62,76.63,568.96,1739.57,2613.68
0.72,90.99,76.04,570.7,1790.21,2578.08
0.73,90.26,75.59,542.72,1846.71,2564.15
0.74,89.46,74.72,525.85,1917.84,2524.57
0.75,88.92,73.57,518.8,1962.95,2500.7
0.76,87.07,73.11,463.67,2047.75,2464.38
0.77,86.5,72.14,455.48,2115.91,2533.38
0.78,0,70.14,466.77,2139.12,2501.34
0.79,0,67.42,412.54,2121.12,3111.47
0.8,0,64.83,474.91,2109.79,2727.19
0.81,0,64.59,443.5,2041.1,2500.04
0.82,0,64.49,361.82,2032.03,2384.52
