time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,157.33,1844,3054.48
0.04,0,63.58,168.08,2182.37,3369.89
0.05,0,65.16,108.54,1914.53,3362.85
0.06,0,62.7,175.03,1949.67,2803.53
0.07,0,61.26,95.94,1997.28,2880.38
0.08,0,61.27,2044.59,3053.42,4354.89
0.09,0,57.36,158.02,2171.87,3024.46
0.1,0,57.04,2189.15,2947.06,4250.77
0.11,0,57,1148.27,2439.04,3375.94
0.12,0,54.2,234.07,1836.23,2879.6
0.13,0,56.09,176.41,2075.72,2616.28
0.14,0,60.91,1546.11,2791.57,3617.65
0.15,0,64.37,1926.95,3073.67,4180.6
0.16,0,64.83,671.85,1952.75,3124.43
0.17,0,63.76,627.16,1966.69,3032.86
0.18,0,64,487.22,1990.3,2844.8
0.19,0,63.6,786.85,2040.24,2846.98
0.2,0,66.97,809,2000.93,2804.24
0.21,154.17,73.74,441.55,1912.4,2585.09
0.22,147.22,77.97,587.73,1781.81,2739.21
0.23,147.93,81.34,706.13,1754.65,2550.83
0.24,149.39,84.35,743.37,1747.43,2464.54
0.25,150.12,86.22,765.7,1732.78,2552.27
0.26,150.94,87.38,780.62,1693.52,2710.69
0.27,152.33,88.44,786.04,1650.59,2858.15
0.28,153.34,89.29,789.47,1651.89,2816.81
0.29,153.04,89.61,783.99,1649.85,2709.09
0.3,151.24,88.84,752.75,1654.89,2615.61
0.31,148.32,86.75,704.94,1640.94,2495.28
0.32,147.65,84.06,713.52,1621.69,2584.23
0.33,150.33,80.28,750.82,1598.26,2593.78
0.34,152.1,75.62,774.65,1689.81,2570.91
0.35,151.57,72.14,772.07,1623.77,2600.94
0.36,151.15,70.56,713.97,1565.45,2548.45
0.37,150.83,71.18,711.49,1651.98,2919.55
0.38,0,71.87,771.67,1869.62,3183.48
0.39,0,71.51,771.36,1953.58,3242.51
0.4,0,70.59,734.56,2241.47,3323.43
0.41,0,70.75,745.44,2212.51,3183.68
0.42,0,71.82,822.86,1910.58,3245.87
0.43,0,70.97,833.01,1897.04,3308.64
0.44,0,70.37,1280.76,2984.65,4063.4
0.45,0,69.39,961.37,2153.96,3688.48
0.46,0,68.69,707.98,1683.25,3392.8
0.47,0,67.13,772.17,1847.08,3255.73
0.48,0,65.33,802.23,1954.64,3419
0.49,0,66.75,707.13,1806.19,3488.05
0.5,0,73.94,449.86,1666.12,3007.34
0.51,132.32,78.03,407.83,1642.37,2840.7
0.52,128.85,78.87,454.59,1718.58,3110.12
0.53,128.35,79.02,412.07,2039.94,2882.56
0.54,129.46,78.99,346.11,2245.55,2474.24
0.55,129.18,78.88,321.88,2270.47,3152.91
0.56,128.18,78.93,403,2271.77,3077.21
0.57,127.1,79.11,397.08,2265.29,3188.3
0.58,125.78,79.53,380.93,2246.12,3012.72
0.59,123.76,79.9,374.42,2281.58,2788.11
0.6,121.83,79.71,364.42,2347.98,2873.7
0.61,119.58,77.74,269.35,1932.11,3264.02
0.62,114.67,74.51,297.06,1723.98,3506.09
0.63,0,72.2,311.07,1740.52,3456.04
0.64,0,70.48,282.3,1804.4,3597.52
0.65,0,69.89,342.65,1829.61,3541.27
0.66,109.93,69.41,286.87,1776.21,3448.78
0.67,114.22,69.88,252.14,1759.76,3174.91
0.68,119.12,72.92,317.03,1797.01,2939.46
0.69,125.78,75.53,321.62,1859.92,2899.47
0.7,128.9,77.55,321.51,1934.4,2923.43
0.71,130.95,78.93,332.01,2009.94,2901.27
0.72,133.08,79.73,329.67,2132.56,2959.6
0.73,134.39,80.28,321.54,2199.99,2989.24
0.74,134.71,80.82,332.31,2268.1,3014.26
0.75,134.62,81.16,334.81,2305.1,3020.16
0.76,133.61,80.95,333.83,2327.26,3009.17
0.77,132,80.68,338.66,2361.27,3035.64
0.78,130.29,80.15,342.1,2401.07,2993.12
0.79,127.82,79.49,319.27,2415.64,2983.8
0.8,125.39,79.18,312.07,2453.19,3016.56
0.81,122.81,78.88,322.2,2449.55,2956.74
0.82,119.55,78.85,293.63,2440.54,2914.39
0.83,118.23,78.45,265.92,2461.81,2949.46
0.84,114.33,76.89,277.77,2460.8,2979.5
