time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,139.27,1729.03,2942.63
0.04,0,64.05,993.85,2219.63,3461.77
0.05,0,64.8,1274.32,2581.16,3592.5
0.06,0,62.37,1001.87,2534.09,3644.61
0.07,0,60.77,1536.99,2724.04,4029.04
0.08,0,60.81,1756.33,2720.62,4117.58
0.09,0,59.41,286.13,2036.85,3113.92
0.1,0,55.55,696.36,2389.37,3107.6
0.11,0,57.98,208.39,2106.5,3121.7
0.12,0,62.73,126.09,1923.07,2837.33
0.13,0,63.84,82.5,1540.34,2904.33
0.14,0,66.81,345.98,2594.74,3201.95
0.15,215.17,75.04,323.01,2681.46,3289.53
0.16,215.91,79.51,326.21,2680.37,3264.44
0.17,222.77,82.41,320.5,2678.18,3268.17
0.18,231.33,84.93,327.26,2703.96,3250.77
0.19,235.36,86.68,303.62,2824.74,3253.43
0.2,238.3,87.08,303.16,2716.48,3222.38
0.21,240.65,86.97,316.47,2636.12,3231.41
0.22,241.31,87.29,311.93,2624.69,3235.34
0.23,240.3,87.83,297.84,2591.65,3211.28
0.24,237.62,87.76,289.78,2595.21,3190.14
0.25,228.88,86.34,267.94,2536.93,3101.03
0.26,214.95,84.08,258.57,2270.11,2721.43
0.27,204.08,82.55,272.1,2555.05,3360.87
0.28,195.64,81.59,250.38,2601.18,3337.43
0.29,190.42,82.01,239.76,2300.45,3078.14
0.3,189.27,83.35,180.28,2023.57,2896.8
0.31,188.07,84.22,223.03,2106.21,2779.05
0.32,180.97,85.11,325.19,2040.98,2352.2
0.33,175.37,87.31,366.55,1902.39,2245.41
0.34,175.16,88.71,399.48,1795.43,2386.47
0.35,173.44,88.23,394,1705.97,2144.5
0.36,170.09,87.88,391.74,1602.18,2041.46
0.37,166.88,88.78,414.96,1818.53,2138.05
0.38,165.35,89.03,460.53,1789.56,2421.11
0.39,165.36,89,460.96,1773.53,2613.91
0.4,166.69,89.24,450.48,1768.14,2750.67
0.41,168.87,89.07,454.58,1711.39,2484.43
0.42,170.58,88.65,452.82,1692.46,2650.19
0.43,171.31,88.22,469.37,1694.14,3378.23
0.44,171.03,87.55,447.52,1595.21,2329.2
0.45,168.41,86.23,384.7,1631.05,1751.41
0.46,165.25,83.94,374.73,1593.81,1863.74
0.47,165.61,81.29,405.52,1372.71,1973.61
0.48,168.34,78.15,453.56,1420.85,1956.24
0.49,168.68,74.9,486.28,1432.97,1866.17
0.5,168.45,73.87,438.85,1405.48,1919.99
0.51,169.98,73.51,415.79,1669.63,1960.52
0.52,170.66,72.4,416.01,1603.92,1768.05
0.53,170.02,71.92,398.47,1677.26,2502.46
0.54,169.12,72.16,373.22,1498.37,2042.56
0.55,0,74.32,376.12,1638.02,3186.51
0.56,222.01,79.16,292.21,1839.8,2638.26
0.57,231.52,82.68,341.32,1824.65,2364.07
0.58,241.77,84.85,357.85,1992.43,2355.87
0.59,243.8,85.64,341.96,2157.1,2602.81
0.6,245.01,85.68,352.99,2216.68,2777.09
0.61,245.52,85.92,351.45,2374.53,2965.64
0.62,245.04,86.19,357.88,2404.66,3091.32
0.63,243.56,86.29,361.67,2402.89,3139.54
0.64,241.1,86.34,360.03,2402.48,3151.17
0.65,236.31,86.43,342.86,2391.42,3100.72
0.66,228.69,86.55,311.64,2375.91,2955.59
0.67,220.29,86.58,325.42,2362.9,2740.01
0.68,211.17,86.08,339.5,2213.18,2473.46
0.69,198.7,84.12,329.02,1951.32,2426.92
0.7,0,81.45,359.85,1881.84,2487
0.71,0,80.38,309.25,2126.93,2565.16
0.72,0,79.21,280.15,2136.56,2617.93
0.73,117.13,76.82,292.53,2098.63,2608.82
0.74,116.03,74.96,258.06,2260.49,2818.59
0.75,116.15,75.13,235.39,2040.12,2809.51
0.76,117.41,76.38,434.04,1798.58,2192.2
0.77,117.66,80.64,497.47,1603.88,1809.5
0.78,116.63,84.37,520.71,1751.96,1997.75
0.79,114.81,85.83,502.36,1761.58,1905.25
0.8,110.65,84.9,479.31,1566.1,1816.19
0.81,0,82.97,501.72,1501.93,1819.42
0.82,245.9,82.26,506.06,1473.59,1780.72
