time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,56.11,268.71,1845.84,2702.27
0.04,0,53.85,202.61,1956.33,2670.79
0.05,0,54.96,184.22,1925.17,2890.36
0.06,0,57.58,161.09,1875.36,3092.49
0.07,0,60.01,1625.08,2697.52,3832.15
0.08,0,62.51,1855.76,2878.58,4035.94
0.09,0,62.53,2117.25,3023.34,4098.92
0.1,0,59.57,156.95,2144.63,3020.09
0.11,0,56.13,117.81,1648.21,2578.6
0.12,0,57.09,1738.83,2618.35,4088.35
0.13,0,59.76,65.2,1536.06,2699.74
0.14,0,59.64,880.26,2311.89,3441.4
0.15,0,58.11,1235.06,2663.1,3759.39
0.16,0,58.99,644.78,1854.82,3182.58
0.17,0,64.13,1857.26,3120.6,4332.72
0.18,0,66.66,1284.02,2234.25,3182.1
0.19,0,65.78,1761.86,3049.98,4093.36
0.2,0,62.25,1783.63,2843.25,3829.05
0.21,463.24,60.92,1803.49,2698.49,3687.45
0.22,456.97,63.2,1826.55,2726.29,3631.61
0.23,446.05,64.05,1789.48,2860.51,4094.27
0.24,0,62.7,1759.95,2891.4,3894.07
0.25,0,60.84,1807.78,3052.28,4002.56
0.26,451.61,62.29,887.52,1884.81,2995.6
0.27,453.53,64.93,1737.47,2817.21,3747.56
0.28,453.22,64.01,1788.34,2727.29,3609.63
0.29,0,61.78,1812.64,3089.69,3121.55
0.3,0,61.76,1831.46,3026.35,3633.9
0.31,0,61.41,1847.75,3028.33,3642.23
0.32,0,68.25,1849.81,3042.71,4094.27
0.33,0,79.67,476.2,1782.8,2909.86
0.34,191.09,85.99,538.97,1763.21,2658.4
0.35,193.59,88.73,583.03,1803.14,2801.62
0.36,196.81,89.86,590.67,1856.82,2919.36
0.37,199.22,90.11,606.88,1878.37,2954.22
0.38,202.4,89.87,612.07,1906.44,2927.38
0.39,206.12,89,621.03,1950.57,2809.49
0.4,208.67,88.02,640.34,2027.38,2780.85
0.41,210,87.58,643.21,2052.63,2810.98
0.42,211.09,86.52,657.72,2079.27,2833.34
0.43,211.1,85.53,634.62,2082.46,2824.59
0.44,209.6,85.44,614.43,2076.12,2660.59
0.45,206.46,85.71,625.82,2054.96,2615.69
0.46,200.84,86.34,622.19,1994.89,2566.93
0.47,194.39,87.18,587.84,1962.31,2528.84
0.48,186.74,87.67,577.91,1912.25,2475.46
0.49,179.4,87.92,588.7,1838.62,2590.81
0.5,173.08,87.91,631.67,1800.49,2674.46
0.51,165.05,88.17,603.5,1763.94,2649.36
0.52,158.06,88.59,598.4,1763.81,2610.78
0.53,152.65,89,657.23,1761.21,2548.28
0.54,147.46,89.31,669.17,1782.25,2862.78
0.55,143.15,89.3,672.39,1742.29,2762.66
0.56,139.61,89.4,627.9,1727.7,2529.97
0.57,137.03,88.95,631.38,1702.46,2527.13
0.58,135.38,88.23,624.68,1678.36,2410.82
0.59,134.17,87.66,617.12,1672.8,2336.16
0.6,133.56,86.76,701.39,1691.46,1944.99
0.61,133.86,86.12,661.73,1567.74,1705.42
0.62,133.65,86.41,601.4,1660.35,1840.33
0.63,132.15,86.58,595.46,1648.54,2017.84
0.64,117.3,85.2,580.77,1564,1880.83
0.65,0,83.58,576.85,1519.31,1873.18
0.66,0,82.19,599.46,1541.47,1929.12
0.67,0,81.03,601.41,1624.26,2024.93
0.68,0,81.62,629.99,1654.42,2138.66
0.69,96.59,82.85,674,1714.8,2274.19
0.7,109.44,83.95,678.18,1746.88,2443.47
0.71,124.44,85.01,660.83,1775.84,2654.85
0.72,128.61,85.75,658.86,1790.73,2820.17
0.73,128.22,86.32,659.54,1794.44,2896.84
0.74,126.88,86.16,620.22,1792.14,2907.06
0.75,125.16,85.78,561.33,1813.51,2945.02
0.76,123.58,85.56,535.37,1828.55,2964.99
0.77,122.22,84.72,494.99,1817.61,2925.89
0.78,121.18,83.24,443.08,1814.15,2864.11
0.79,120.83,82.46,312.06,1848.98,2797.51
0.8,120.89,82.64,362.3,2087.5,2850.95
0.81,120.85,83.06,380.54,2191.11,2886.13
0.82,120.45,83.25,388.42,2126.51,2834.83
0.83,120.15,83.3,378.15,2020.47,2804.91
