time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.74,1239.23,2576.86,3445.85
0.04,0,64.26,2074.62,3109.67,4144.19
0.05,0,63.16,2092.72,2892.17,4139.2
0.06,0,60.15,1801.2,2431.37,3718.85
0.07,0,61.85,863.35,2243.33,3280.02
0.08,0,65.76,92.51,1894.51,3175.87
0.09,0,66.86,1843.9,3262.08,4676.34
0.1,0,64.84,1679.54,2762.24,3972.3
0.11,0,61.08,1448.26,2568.16,3602.27
0.12,0,60.94,1107.99,2240.94,3157.77
0.13,0,62.88,675.65,2204.71,2620.4
0.14,0,66.39,581.18,1754.39,2438.09
0.15,145.84,73.25,552.5,1442.86,2452.98
0.16,145.36,78.74,582.3,1439.71,2435.22
0.17,142.04,81.56,587.74,1511.81,2374.71
0.18,139.35,81.98,550.32,1529.75,2450.34
0.19,125,80.15,498.28,1475.4,2341.77
0.2,107.6,76.08,420.57,1437.28,2394.04
0.21,107.15,71.45,358.51,1476.23,2570.55
0.22,0,67.14,469.98,1497.73,2535.52
0.23,0,65.33,466.99,1436.84,2422.65
0.24,0,63.99,518.21,1518.8,2534.86
0.25,0,62.28,556.65,1542.55,2530.03
0.26,0,62.79,479.9,1649.12,2964.36
0.27,0,65.91,1986.08,3015.78,3507.06
0.28,0,66.92,456.96,2127.52,2718.73
0.29,0,67.15,442.03,2252.08,2651.72
0.3,0,65.09,567.97,2454.34,2753.47
0.31,0,65.57,576.21,2499.75,3002.84
0.32,177.62,73.42,344.43,2713.86,2951.66
0.33,167.36,77.98,294.32,2277.87,2986.59
0.34,157.08,78.62,298.53,2180.02,2943.34
0.35,155.24,78.79,291.33,2196.67,2931.43
0.36,156.57,79.28,263.6,2196.31,2866.04
0.37,157.29,79.14,278.22,2188.89,2837.12
0.38,156.54,78.52,285.61,2178.26,2722.85
0.39,150.16,77.02,284.35,2134.26,2587.66
0.4,141.11,73.36,275.26,2109.25,2754.93
0.41,0,67.82,264.59,2053.61,2882.56
0.42,0,64.03,333.18,2088.62,2980.89
0.43,0,62.77,274.33,2124.22,2975.12
0.44,0,61.14,273.29,2045,2983.87
0.45,0,59.61,215.7,2059.06,2981.86
0.46,0,59.93,1268.34,2552.08,3725.28
0.47,0,61.8,1077.87,2350.16,3555.72
0.48,0,62.7,648.91,1956.98,2909.47
0.49,0,66.46,533.42,1841.79,2836.22
0.5,0,76.92,391.54,1668.95,2720.66
0.51,0,82.66,437.03,1595.59,2609.39
0.52,0,82.81,448.75,1586.79,2515.22
0.53,0,79.43,427.29,1533.42,2442.66
0.54,0,75.79,393.36,1512.34,2522.82
0.55,0,72.06,398.37,1684.84,2675.2
0.56,0,69.64,404.72,1735.23,2874.87
0.57,0,68.53,394.25,1709.85,2796.78
0.58,0,65.96,442.35,2055.56,2851.93
0.59,0,64.27,437.38,2026.17,2983.41
0.6,0,64.1,265.2,1879.53,2955.16
0.61,0,63.24,434.67,1922.81,2890.38
0.62,0,61.52,420.19,1787.16,3001.92
0.63,0,60.3,418.75,1607.77,2852.77
0.64,0,58.57,410.05,1644.19,2950.28
0.65,0,60.56,736.53,2243.88,3104.91
0.66,0,65.76,791.1,2601.92,3178.53
0.67,0,67.08,562.08,2404.93,2978.08
0.68,449.74,67.51,497.98,2392.68,2879.03
0.69,452.12,67.8,487.67,2279.18,2780.16
0.7,0,66.74,633.56,2241.68,2729.25
0.71,0,66.94,679.63,2156.62,2686.44
0.72,0,74.37,523.67,2076.07,2569.8
0.73,0,80.25,514.11,1964.58,2319.39
0.74,130.3,81.7,512.05,1955,2493.58
0.75,130.06,80.59,494.18,2002.52,2786.03
0.76,127.31,78.99,478.33,2250.73,2809.07
0.77,123,77.56,475.68,2062.72,2716.23
0.78,118.12,75.93,456.65,2123,2625.91
0.79,111.19,73.72,424.72,2239.7,2651.21
0.8,109.73,71.1,415.89,2143.23,2661.08
0.81,108.82,68.68,428.35,2260.43,2778.23
0.82,0,67.32,429.49,2176.94,2721.05
0.83,0,67.22,427.8,2173.75,2810.13
0.84,0,68.18,432.07,2094.49,2877.12
0.85,0,67.83,420.42,2047.35,2832.59
