time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.73,1962.68,3216.66,4231.61
0.04,0,60.43,821.79,2366.58,3552.51
0.05,0,56.79,193.7,1950.47,3071.28
0.06,0,55.46,1959.06,3167.8,4258.62
0.07,0,56.3,166.39,1910.43,3122.91
0.08,0,58.54,2116.99,3347.4,3975.13
0.09,0,58.36,1875.37,2787.92,3965.66
0.1,0,58.74,1892.93,3154.67,3948.02
0.11,0,61.44,1840.12,3113.98,3729.66
0.12,0,62.62,1901.25,2925.96,4004.28
0.13,0,60.56,1225.34,2524.65,3947.23
0.14,0,63.06,576.28,1302.67,2519.35
0.15,0,70.72,441.84,2306.28,3297.28
0.16,137.94,76.47,433.23,690.74,2910.43
0.17,136.33,79.58,406.38,770.38,2903.39
0.18,133.91,81.01,403.28,783.99,2928.56
0.19,132.49,82.2,406.49,794.9,2915.61
0.2,132.54,83.31,414.26,803.17,2931.44
0.21,133.37,83.87,429.15,837.58,3072.42
0.22,133.97,84.37,476.43,865.11,2882.96
0.23,134.25,85.43,523.85,882.72,2800.91
0.24,134.46,85.97,542.57,885.23,2792.73
0.25,135.2,85.65,536.1,921.18,2772.32
0.26,136.48,84.59,521.27,936.86,2759.47
0.27,140.1,83,484.31,894.62,2631.38
0.28,143.43,82.48,447.4,955.19,2605.82
0.29,144.77,83.63,431.11,940.36,2660.31
0.3,146.27,84.53,428.34,901.73,2706.85
0.31,148.16,84.39,433.96,848.92,2626.8
0.32,151.24,83.7,434.06,849.95,2572.11
0.33,154.64,83.4,439.05,826.08,2607.89
0.34,157.25,84.4,451.69,823.12,2611.94
0.35,158.49,85.93,461.1,862.22,2547.79
0.36,158.24,86.93,471.78,919.19,2508.12
0.37,156.48,85.45,481.87,986.21,2462.8
0.38,152.51,82.92,495.39,1008.7,2387.3
0.39,148.16,82.2,500.8,1103.8,2421.28
0.4,144.2,81.74,513.07,1256.23,2421.37
0.41,0,80.37,497.15,1322.14,2456.17
0.42,0,77.02,480.92,1368.57,2532.39
0.43,465.8,73.7,466.43,1359.68,2735.18
0.44,461.67,71.61,466.44,1402.08,2672.53
0.45,458.91,69.98,482.17,1501.69,2641.12
0.46,461.47,70.12,464.68,1398.6,2747.11
0.47,475.71,68.96,507.34,1412.79,2716.63
0.48,474.32,68.74,485.15,1437.96,2795.53
0.49,465.36,69.31,470.61,1594.09,2687.26
0.5,471.61,67.83,487.82,1943.18,2698.36
0.51,489.08,65.19,510.39,2356.55,2590.66
0.52,0,63.69,515.55,2155.98,2746.78
0.53,0,70.81,413.66,2606.1,3288.33
0.54,147.22,76.87,305.44,2364.11,2663.84
0.55,144.59,79.13,300.09,2138.18,2699.94
0.56,141.01,79.87,293.86,2083.68,2861.9
0.57,139.18,80.3,301.16,2120.65,2859.93
0.58,138.35,80.75,290.67,2108.29,2867.09
0.59,137.39,81.2,291.74,2120.34,2711.9
0.6,136.13,81.25,290.24,2115.54,2615.43
0.61,134.78,81.31,303.12,2147.33,2675.07
0.62,132.97,81.06,319.12,2117.43,2670.97
0.63,130.39,80.09,334.61,2106.87,2651.25
0.64,126.98,79.19,354.5,2157.94,2588.5
0.65,123.77,79.54,346.11,2106.56,2587.31
0.66,120.83,80.92,327.51,2133.75,2805.35
0.67,117.15,81.68,323.56,2098.53,2497.52
0.68,112.84,80.92,323.73,1985.55,2420.07
0.69,110.17,80.4,317.17,1950.25,2512.4
0.7,109.41,80.78,326.25,2006.84,2601.95
0.71,107.77,79.53,317.66,1962.99,2715.81
0.72,107.44,76.51,292.82,1970.08,2918.44
0.73,105.08,73.02,316.64,2225.87,2964.69
0.74,102.63,72.78,312.9,2193.37,2763.89
0.75,103.78,73.35,312.43,2071.86,2761.11
0.76,104.38,72.87,308.36,2032.07,2736.49
0.77,102.71,72.07,293.05,1924.96,2856.25
0.78,99.6,70.63,280.72,2017.32,2853.49
0.79,0,70.97,271.48,2051.56,2934.84
0.8,0,71.21,273.55,2213.76,3037.46
0.81,0,70.46,272.01,1928.93,3351.46
0.82,0,69.24,279.09,2090,3923.78
0.83,0,66.04,270.3,2057.35,3682.53
