time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,54.92,2035.02,2451.87,4153.46
0.04,0,55.36,2125.67,2447.06,4224.51
0.05,0,59.27,1311.98,2623.34,3560.06
0.06,0,64.01,2005.82,3157.27,4238.67
0.07,0,64.5,666.23,2310.8,3349.45
0.08,0,62.75,939.4,2599.66,3044.5
0.09,0,62.36,1052.52,2285.36,3151.16
0.1,0,63.63,585.72,2329.55,2752.32
0.11,0,63.82,535.87,2174.08,2734.67
0.12,0,63.56,609.27,2151.51,2739.35
0.13,0,65.24,1073.06,2235.79,2838.84
0.14,0,68.06,770.91,1905.19,2493.53
0.15,0,70.98,756.61,1952.31,2520.85
0.16,0,79.39,691.39,1759.4,2490.24
0.17,0,85.04,671.09,1702.61,2392.44
0.18,142.65,86.52,664.14,1654.58,2328.96
0.19,143.67,85.83,651.69,1585.68,2281.72
0.2,147.13,84.03,603.88,1603.73,2357.34
0.21,150.12,81.9,561.47,1641.58,2345.12
0.22,147.4,78.17,532.18,1635.34,2370.99
0.23,143.05,73.9,623.48,1603.51,2506.88
0.24,142.92,70.82,601.1,1557.08,2423.41
0.25,145.23,69.21,627.35,1672.89,2550.04
0.26,145.12,68,625.42,1662.19,2342.56
0.27,144.43,66.34,659.01,1611.28,2413.61
0.28,0,65.7,673.57,1892.54,2782.11
0.29,0,65.96,928.79,2190.75,3161.6
0.3,0,67.35,713.84,2199.36,3288.05
0.31,0,69.05,701.18,2704.5,3164.57
0.32,0,71.09,665.27,2582.04,3148.78
0.33,0,71.48,758.91,2542.9,3524.53
0.34,0,69.63,722.43,2203.73,3698.92
0.35,0,66.29,731.85,2050.04,3390.55
0.36,378.65,65.54,657.06,2099.07,3330.05
0.37,381.38,66.49,539.89,1760.19,3399.99
0.38,0,63.85,512.94,1879.06,3184.83
0.39,0,61.2,640.99,2058.2,3312.61
0.4,0,61.75,632.28,1982.48,3205.46
0.41,0,63.74,556.47,2105.38,3243.84
0.42,0,73.52,441.63,1676.8,2665.75
0.43,152.64,79.2,508.42,1377.35,2569.44
0.44,146.59,80.1,579.38,1406.55,2585.22
0.45,139.48,79.44,599.45,1405.57,2578.65
0.46,134.85,78.16,606.88,1357,2638.83
0.47,131.31,77.16,447.04,1275.79,2537.66
0.48,129.9,77.4,312.86,1369.58,2477.83
0.49,128.92,77.65,608.42,1828.42,3104.83
0.5,127.71,77.88,292.18,1424.6,2483.12
0.51,125.86,78.24,265,1494.36,2504.84
0.52,123.61,78.81,273.73,1314.94,2537.68
0.53,121.41,79.03,230.7,1235.11,2527.1
0.54,119.01,78.47,206.41,1330.3,2709.08
0.55,116.17,76.85,991.81,2549.64,3630.97
0.56,112.35,74.85,251.7,1599.69,2671.22
0.57,109.46,72.76,312.92,1769.04,2571.75
0.58,109.38,70.87,322.29,2041.47,2482.26
0.59,111.82,70.33,267.77,1955.22,2564.08
0.6,113.12,69.58,220.2,1945.49,3029.14
0.61,111.48,66.11,1466.61,3483.77,3945.28
0.62,110.49,63.41,350.04,2159.46,3098.41
0.63,112.27,68.51,335.31,1878.8,2814.65
0.64,113.61,74.08,325.07,1862.43,2525.65
0.65,113.48,77.64,330.36,1902.04,2489.88
0.66,113.37,79.58,330.39,1942.88,2485.81
0.67,113.35,80.57,330.19,1975.43,2557.75
0.68,112.94,81.12,327.27,1994.95,2555.66
0.69,112.1,81.45,326.43,2022.16,2562.15
0.7,111.01,81.67,324.85,2073.31,2673.15
0.71,110.11,81.83,321.31,2053.36,2712.03
0.72,109.28,81.6,317.85,2063.93,2641.84
0.73,108.72,80.89,315.37,2091.95,2636.1
0.74,108.66,79.89,315.79,2116.36,2651.1
0.75,108.69,78.05,313.84,2050.64,2686.49
0.76,108.81,74.72,309.57,2128.37,2725.22
0.77,107.33,71.68,302.1,2172,2748.07
0.78,106.64,73.01,315.08,2129.93,2780.7
0.79,106.8,74.4,319.16,2068.75,2757.97
0.8,105.96,73.71,313.09,2109.01,2730.34
0.81,102.5,71.95,287.72,2103.69,2688.89
0.82,102.04,72.6,305.58,2089.33,2661.16
0.83,103.11,73.81,310.06,2135.37,2627.02
