time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,60.75,168.72,2189.72,2740.43
0.04,0,63.27,1401.36,2629.71,3634.41
0.05,0,65.89,1485.49,2656.56,3653.22
0.06,0,66.12,2080.27,2676.01,3563.08
0.07,0,64.48,2140,2871.67,3383.52
0.08,0,61.8,1517.6,2709.87,3750.17
0.09,0,63.63,1694.11,2810.55,3923.12
0.1,0,62.44,1857.14,2939.13,4151.24
0.11,0,61.47,1865.93,3136.99,4230.04
0.12,0,63.69,52.08,2022.64,3022.37
0.13,0,66.62,2188.5,2884.61,3660.99
0.14,0,72.85,227.04,2135.47,2845.72
0.15,162.78,77.2,276.28,2062,2833.67
0.16,159.21,78.88,299.89,2109.91,2794.9
0.17,158.31,80.35,310.72,2119.93,2822.37
0.18,150.34,81.59,302.65,2083.4,2823.91
0.19,150.44,82.06,302.3,2096.66,2803.86
0.2,152.54,82.83,308.71,2129.75,2797.44
0.21,154.04,83.64,307.49,2124.98,2763.84
0.22,159.78,84,310.5,2047.79,2733.72
0.23,163.59,83.71,317.24,2056.02,2773.81
0.24,169.13,82.7,323.59,2143.46,2877.89
0.25,170.43,81.41,323.15,2142.87,2724.91
0.26,167.24,79.61,323.17,2280.81,2886.73
0.27,165.54,77.61,327.28,2189.29,2926.75
0.28,165.54,76,320.79,2150.41,2704.12
0.29,162.5,73.74,309.09,2119.86,2653.32
0.3,161.02,71.5,309.14,2083.46,2957.72
0.31,165.36,70.14,343.06,1922.44,2697.32
0.32,167.38,70.33,363.42,1887.64,2568.18
0.33,165.72,73.04,386.61,1840.08,2234.6
0.34,177.63,77.19,303.71,1797.16,2661.19
0.35,175.75,81.24,358.4,1781.01,2181.13
0.36,171.11,83.12,380.75,1678.1,1781.19
0.37,167.8,82.93,407.15,1490.09,1794.89
0.38,166.45,83.54,407.38,1596.47,1645.73
0.39,166.34,84.67,395.34,1389.31,1777.99
0.4,165.68,84.84,398.49,1341.3,1763.04
0.41,164.93,84.67,395.25,1327.14,1738.97
0.42,163.71,84.28,385.79,1216.15,1742.21
0.43,163.35,82.45,371.8,1156.57,1831.3
0.44,166.04,80.07,340.12,1513.16,1838.59
0.45,165.27,79.3,323.37,1510.55,3012.42
0.46,164.17,77.91,324.97,1516.93,2027.78
0.47,162.64,76.38,317.46,1403.81,2427.99
0.48,118.01,75.15,332.97,1398.74,2290.5
0.49,112.36,74.73,327.88,1564.04,2985.59
0.5,111.84,74.32,320.55,1631.16,2409.55
0.51,114.64,74.48,328.43,1882.7,2650.92
0.52,136.84,77.53,325.35,1988.63,2525.14
0.53,129.98,80.01,339.29,1973.32,2346.92
0.54,127.94,80.29,333.51,1948.38,2454.74
0.55,127.39,79.92,338.42,2025.51,2596.66
0.56,127.08,79.17,311.67,2028.8,2664.5
0.57,126.27,78.83,304.58,1989.95,2645.56
0.58,126.86,78.8,268.29,1971.71,2604.93
0.59,127.21,78.8,277.78,2014.91,2693.38
0.6,127.21,78.91,266.83,2068.68,2709.72
0.61,127.42,79.31,279.69,2125.06,2711.3
0.62,127.69,79.66,283.9,2067.34,2671.93
0.63,127.45,79.81,303.72,2051.03,2601.96
0.64,126.72,79.77,317.38,1995.34,2504.39
0.65,124.99,79.53,334.31,1937.9,2345.3
0.66,122.54,78.18,315.83,1929.36,2428.32
0.67,122,75.19,272.67,1969.41,2670.78
0.68,124.78,71.97,283.26,1917.37,2918.06
0.69,123.19,69.59,311.58,2054.57,2663.09
0.7,126.33,66.55,323.95,2033.59,2736.26
0.71,126.11,65.27,313.18,2072.99,2747.91
0.72,0,65.32,1602.6,2561.36,3567.94
0.73,0,64.69,1540.58,2502.02,3490.61
0.74,0,69.53,645.97,1801.52,2706.42
0.75,118.65,75.64,450.12,1513.3,2318.86
0.76,117.36,78.89,474.78,1498.03,2019.6
0.77,115.07,79.45,469.01,1444.38,2043.65
0.78,112.43,78.1,474.63,1446.58,2029.4
0.79,110.51,76.52,480.78,1487.49,1921.87
0.8,109.97,75.79,479.65,1439.36,1942.2
0.81,108.98,75.62,473.5,1455.18,2026.03
0.82,108.87,75.11,477.78,1469.92,2330.66
