time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.92,2064.21,3055.11,4293.8
0.04,0,66.33,1920.9,2971.33,4195.51
0.05,0,67.25,2153.67,3118.37,4272.44
0.06,0,66.37,1248.43,2708.46,3727.16
0.07,0,66.47,1731.04,3026.3,4124.15
0.08,0,63.5,641.62,2180.99,3192.11
0.09,0,61.06,1976.08,2748.18,4042.79
0.1,0,62.96,676,2238.25,3320.71
0.11,0,63.45,808.44,2445.07,3487.11
0.12,0,62.63,679.84,2259.27,3440.82
0.13,0,60.26,1835.95,2948.1,3960.14
0.14,0,58.9,185.54,1851.89,2903
0.15,0,62.31,376.54,2115.73,2813.95
0.16,0,65.82,507.36,2213.69,2827.81
0.17,0,71.46,414.54,2282.65,2827.76
0.18,0,80.23,354.01,2199.87,2780.53
0.19,148.22,85.3,423.26,2040.73,2579.2
0.2,149.62,87.39,466.21,2032.34,2639.12
0.21,152.63,86.86,514.11,2018.01,2567.42
0.22,161.73,84.86,576.63,1902,2486.44
0.23,164.9,83.24,573.44,1775.2,2429.04
0.24,174.69,81.48,563.21,1694.5,2349.74
0.25,178.31,79.77,557.31,1707.66,2438.06
0.26,0,78.52,529.19,1759.74,2491.44
0.27,0,75.12,458.41,1705.19,2442.86
0.28,0,69.76,508.98,1818.83,2402.49
0.29,0,66.85,560.65,1891.33,2434.24
0.3,114.95,66.96,464.02,1847.79,2417
0.31,114.04,67.39,458.15,1800.02,2363.41
0.32,112.93,67.97,471.67,1932.62,2746.69
0.33,0,67.89,354.62,1880.46,2673.63
0.34,0,66.76,563.32,1791.71,2576.73
0.35,0,65.42,561.54,1734.87,2753.93
0.36,426.68,65.66,523.08,1703.83,2841.86
0.37,446.12,65.47,486.44,1722.58,2725.11
0.38,469.75,64.47,478.52,1775.24,2623.74
0.39,0,62.43,473.93,1789.76,2663.34
0.4,0,60.11,450.16,1816.78,2503.51
0.41,0,60.92,463.98,1862.5,2572.7
0.42,0,60.94,461.52,1798.37,2714.4
0.43,0,61.27,595.43,1311.63,2494.64
0.44,0,62.06,772.73,1504.59,2559.8
0.45,0,63.18,581.4,1176.15,2555.16
0.46,0,63.31,1011.01,1083.14,2465.8
0.47,0,62.44,916.5,2502.37,3084.39
0.48,0,62.72,628.07,1274.3,2699.37
0.49,0,66.04,607.71,1195.59,2777.7
0.5,0,75.78,550.61,1171.34,2902.5
0.51,149.17,80.3,473.15,803.02,2826.56
0.52,143.47,80.64,469.14,777.82,2755.3
0.53,140.11,80.09,455.03,735.57,2764.76
0.54,136.18,79.16,427.14,714.79,2842.98
0.55,132.79,79.28,415.9,686.25,2881.69
0.56,131.24,80.16,410.56,685.78,2872.3
0.57,130.06,80.21,409.91,673.92,2829.37
0.58,129.27,79.51,413.81,666.63,2914.28
0.59,129.69,79.41,400.95,697.11,2904.07
0.6,127.97,78.98,384.98,727.24,2845.15
0.61,124.37,77.62,365.38,753.4,2948.95
0.62,117.52,75.26,281.99,773.64,2851.29
0.63,118.12,73.18,582.8,2274.71,3378.68
0.64,121.21,71.16,290.7,602.64,3152.64
0.65,125.79,67.97,405.13,1022.29,3161.19
0.66,0,63.79,515.91,2432.78,3568.74
0.67,0,62.87,463.11,2009.32,3497.92
0.68,0,63.57,472.55,2096.81,3647.87
0.69,415.6,64.29,423.83,2044.68,3306.42
0.7,405.27,65.66,392.6,2111.97,3160.15
0.71,428.94,67.28,352.03,2142.73,2756.44
0.72,459.12,68.16,352.76,2104.46,2571.62
0.73,449.04,65.89,349.87,1987.43,2749.76
0.74,413.82,62.19,406.09,2166.39,2836.72
0.75,373.74,59.67,368.04,2131.58,2784.43
0.76,0,60.84,273.04,1999.64,2909.6
0.77,0,62.55,337.51,2144.04,2853.46
0.78,0,63.19,781.31,2193.89,3176.16
0.79,0,62.34,245.77,2042.57,2810.09
0.8,0,61.36,1538.56,2551.82,3814.35
0.81,0,63.83,450.21,2029.29,2756.36
0.82,0,72.62,274.51,2095.62,2719.28
0.83,151.88,77.66,323.36,2052.51,2751.63
0.84,142.2,78.53,329.87,2060.46,2731.18
0.85,137.71,78.11,317.81,2066.03,2721.04
