time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,57.73,1654.32,2785.33,4085.46
0.04,0,60.19,926.44,2276.28,3543.38
0.05,0,61.85,1860.38,2982.99,4310.04
0.06,0,61.66,817.89,2337.82,3277.93
0.07,0,62.96,2224.02,2813.74,4096.71
0.08,0,61.69,1189.73,2474.84,3559.54
0.09,0,58.35,1691.75,2865.87,4024.97
0.1,0,54.87,179.32,1876.83,2853.69
0.11,0,59.77,876.47,2190.2,3188.26
0.12,0,62.79,1731.88,2942.89,4121.79
0.13,0,61.77,1228.37,2785.79,4176.14
0.14,0,63.6,1616.46,2688.85,4005.71
0.15,0,69.57,153.42,2137.94,2850.97
0.16,0,73.5,191.15,2442.47,2851.51
0.17,132.33,74.55,236.63,1412.17,2355.03
0.18,133.16,75.37,233.6,1363.24,2388.24
0.19,131.22,76.19,251.72,1173.69,2296.66
0.2,128.91,77,250.11,1359.44,2317.66
0.21,126.97,77.64,240.7,837.26,2063.35
0.22,125.88,78.13,234.95,1552.47,2371.57
0.23,128.61,78.93,262.01,1491.94,2414.42
0.24,132.74,81.28,501.83,1472.98,2462.56
0.25,130.57,84.36,622.12,1461.04,2518.05
0.26,129.09,86.32,675.69,1400.8,2569.1
0.27,130.19,87.15,723.95,1313.13,2645.25
0.28,131.06,87.95,747.55,1267.75,2796.17
0.29,131.54,88.21,750.02,1148.33,2858.64
0.3,130.94,87.89,724.58,972.01,2815.42
0.31,130.86,86.99,644.27,963.63,2878.98
0.32,132.26,85.37,595.98,956.18,2962.54
0.33,133.93,83.58,562.06,892.28,2891.75
0.34,134.25,82.34,511.14,870.28,2713.01
0.35,133.35,82.22,492.85,902.33,2773.03
0.36,133.28,82.31,460.96,861.91,2919.66
0.37,135.08,82.44,479.64,969.18,2955.86
0.38,136.62,83.16,540.98,894.21,2933.53
0.39,136.32,83.88,615.94,891.95,2792.24
0.4,134.24,84.43,612.23,974.77,2774.88
0.41,131.52,84.5,605.15,969.12,2783.18
0.42,129.69,83.72,602.24,981.8,2737.03
0.43,127.94,83.12,576.3,961.03,2691.9
0.44,126.9,82.62,531.05,936.56,2648.72
0.45,125.62,81.93,491.51,899.99,2630.7
0.46,124.68,81.59,483.27,856.04,2615.93
0.47,124.13,81.34,445.86,879.51,2638.63
0.48,125.01,82.33,475.73,888.32,2608.59
0.49,124.4,83.49,507.11,875.7,2506.45
0.5,122.36,83.64,554.73,1038.44,2438.31
0.51,120.03,83.31,602.15,1174.96,2430.9
0.52,116.56,83.05,663.08,1325.51,2383.38
0.53,114.69,82.68,690.43,1417.05,2365.59
0.54,113.2,82.73,733.17,1480.99,2397.5
0.55,111.85,83.28,759.54,1505.97,2410.97
0.56,110.85,83.5,758.45,1497.06,2337.72
0.57,109.84,83.01,750.45,1505.25,2326.62
0.58,109.54,81.61,753.14,1526.98,2336.07
0.59,109.13,79.92,739.55,1492.76,2357.39
0.6,108.59,78,745.21,1474.65,2383.64
0.61,108.35,77.51,752.65,1388.45,2414.23
0.62,108.33,77.64,746.75,1318.23,2419.76
0.63,108.1,77.57,730.89,1252.27,2470.86
0.64,108.98,77.59,717.26,1127.58,2480.97
0.65,109.74,76.87,721.17,1092.01,2500.1
0.66,110.56,74.63,720.18,1317.99,1794.68
0.67,111.66,71.83,699.92,1469,2855.83
0.68,0,70.04,675.26,1264.51,2686.3
0.69,0,68.73,710.34,1076.75,2398.07
0.7,0,66.7,750.3,1169.56,2455.78
0.71,0,64.26,637.09,1159.82,2297.82
0.72,0,62.84,660.02,1226.27,2400.29
0.73,0,63.91,694.24,1422.04,2599.78
0.74,0,65.52,914.81,2047.31,3572.52
0.75,0,65.98,678.33,1349.63,2953.96
0.76,411.2,63.83,846.51,1616.84,2935.84
0.77,406.9,63.45,816.12,1723.1,2779.12
0.78,0,64.13,746.3,1759.91,2960.82
0.79,0,64.21,905.4,1959.02,3072.16
0.8,0,63.92,952.02,2439.23,2802.44
0.81,0,61.45,905.17,2127.53,3084.79
0.82,0,57.88,917.42,1917.35,2952.05
0.83,0,57.61,465.89,1341.92,2761.17
0.84,0,59.87,841.61,2192.7,3318.21
0.85,465.09,61.15,646.76,2148.07,2839.76
0.86,469.55,62.94,508.37,2098.23,3330.02
0.87,479.57,62.57,471.01,1987.31,2967.02
0.88,0,62.49,413.09,1793.39,2758.58
0.89,0,62.43,1303.55,2355.56,3557.2
0.9,0,61.53,1747.85,2765.56,3905.75
0.91,0,62.56,420.03,1892.15,2854.81
0.92,0,65.43,202.29,1820.44,2935.69
0.93,0,64.59,282.97,1635.22,2788.81
0.94,0,61.11,632.46,1707.24,2672.59
0.95,0,58.93,642.28,1730.38,2976.51
0.96,0,58.52,913.45,2049.4,3108.9
0.97,0,58.95,842.54,1758.14,3048.43
0.98,0,60.65,926.27,2029.29,3017.87
0.99,0,62.39,888.72,2160.89,3273.73
1,0,64.17,798.21,2216.6,3170.01
1.01,0,0,0,0,0
1.02,0,0,0,0,0
