time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,57.51,1149.97,2358.13,3633.54
0.04,0,57.73,580.5,2204.16,3619.76
0.05,0,57.87,1616.59,2806.96,3853.72
0.06,0,59.54,1749.55,2955.57,4076.59
0.07,0,60.03,2000.75,3152.56,4310.86
0.08,0,57.04,431.09,2076.28,3368.77
0.09,0,58.43,1842.77,2997.39,4335.36
0.1,0,61.76,1601.72,2253.66,3334.23
0.11,0,60.52,1538.75,2090.33,2882.57
0.12,0,57.31,442.33,1922.61,3139.88
0.13,0,57.19,190.96,1804.54,3038.43
0.14,0,58.44,1843.13,3037.67,4001.84
0.15,0,57.46,1802.53,2987.54,4127.26
0.16,0,55.89,484.93,2094.23,2946.85
0.17,0,56.9,419.83,1836.5,2710.44
0.18,0,64.05,487.94,1902.55,2437.85
0.19,0,75.62,365.82,1744.09,2419.51
0.2,156.46,82.6,446.9,1786.25,2410.1
0.21,155.89,85.55,491.82,1860.69,2434.73
0.22,158.26,85.79,503.71,1910.11,2431.89
0.23,162.1,84.92,496.98,1969.77,2388.47
0.24,164.55,83.49,480.16,2034.53,2353.29
0.25,166.62,81.54,461.67,2139.09,2243.62
0.26,168.17,80.69,443.77,2076.04,2279.1
0.27,171.58,80.69,415.62,1010.47,2232.84
0.28,175.08,80,276.05,1978.65,2348.74
0.29,172.63,77.66,331.82,1980.23,2334.37
0.3,0,73.09,411.76,1888.49,2300.42
0.31,0,69.63,459.63,1884.11,2219.5
0.32,0,68.31,436.49,1979.91,2194.6
0.33,0,66.77,349.25,1942.14,2339.72
0.34,0,67.04,397.74,2146.85,2819.73
0.35,0,68.41,658.21,2260.78,2814.82
0.36,0,68.34,505.66,2112.28,2821.7
0.37,219.88,73.4,389.39,2174.73,2799.64
0.38,211.72,79.49,334.23,2283.9,2540.06
0.39,207.62,81.6,342.32,2292.35,2435.69
0.4,205.74,80.99,340.79,2287.54,2358.98
0.41,196.84,79.92,328,2251.39,2366.96
0.42,191.77,80.4,332.35,2300.47,3032.9
0.43,189.55,81.23,262.75,2351.04,3478.04
0.44,185.2,80.6,250.28,739.48,2348.85
0.45,183.5,79.5,277.82,2282.1,3504.98
0.46,183.36,78.58,257.19,997.99,2301.39
0.47,180.84,76.44,480.65,2284.56,3022.01
0.48,180.6,74.07,386.51,2213.05,2337.21
0.49,172.51,73.7,579.36,2166.82,2382.41
0.5,162.64,75.76,642.21,2053.31,2391.36
0.51,158.93,77.42,643.03,1954.35,2363.36
0.52,156.11,77.26,691.49,1893.11,2387.7
0.53,152.8,77.33,755.69,1837.23,2395.51
0.54,149.93,78.87,768.84,1737.28,2368.2
0.55,147.35,79.46,793.38,1643.42,2363.17
0.56,143.31,79.18,829.71,1543.81,2369.3
0.57,139.08,79.3,819.73,1446.16,2401.96
0.58,136.63,80.07,814.09,1386.81,2485.65
0.59,135.61,80.64,798.53,1336.71,2523.72
0.6,134.67,81.05,793.44,1242.45,2629.16
0.61,134.56,80.4,788.17,1165.09,2673.74
0.62,136.39,78.26,752.94,1162.26,2660.17
0.63,140.28,76.01,708.57,1143.28,2684.55
0.64,0,74.61,659.9,1003.51,2590.54
0.65,0,72.95,660.18,1060.12,2648.84
0.66,0,71.25,705.33,1259.63,2803.56
0.67,0,68.91,643.34,1374.34,2638.87
0.68,0,67.17,633.25,1205.9,2369.73
0.69,0,67.34,622.65,1062.34,2359.47
0.7,0,68.38,735.9,2077.61,3192.35
0.71,0,67.93,728.66,1533.43,2721.88
0.72,137.78,67.36,768.38,1964.05,2828.37
0.73,135.82,68.97,796.28,2288.11,2509.64
0.74,134.11,71.26,353.49,1225.89,2478.01
0.75,131.96,74.29,383.73,968.14,2470.74
0.76,130.35,77.59,403.25,1037.62,2519.58
0.77,126.12,80.03,483.54,1029.15,2586.32
0.78,120.24,81.42,610.15,989.44,2455.68
0.79,117.37,81.85,658.6,1203.08,2562.36
0.8,115.93,81.56,700.55,1263.83,2609.69
0.81,115.46,81.45,733.7,1358.1,2727.8
0.82,115.29,81.86,745.97,1384.81,2695.99
0.83,115.5,81.67,759.07,1408.54,2725.87
