time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,845.13,2466.71,3297.9
0.04,0,59.94,1038.08,2505,3666.66
0.05,64.81,58.58,1613.2,2505.63,4378.83
0.06,62.26,60.66,937.28,2193.83,3266.03
0.07,0,62.99,910.78,2185.35,3473.85
0.08,0,63.06,1175.88,2526.42,3747.4
0.09,0,60.85,1229.23,2485.5,3779.12
0.1,0,61.13,1198.94,2388.1,3692.45
0.11,0,61.99,1288.98,2815.74,4032.87
0.12,0,60.32,264.6,1806.17,3027.32
0.13,0,57.78,481.47,2272.92,3169.82
0.14,0,58,1136.01,2566.34,3619.25
0.15,0,61.64,1271.05,2662.74,3576.15
0.16,0,62.42,996.13,1949.39,2423.19
0.17,0,59.87,610.03,1566.67,2359.5
0.18,0,59.26,874.67,1972.57,2838.51
0.19,0,61.62,902.54,1835.5,2832.5
0.2,0,66.21,623.98,1464.76,2363.02
0.21,0,69.65,582.37,1470.76,2335.21
0.22,0,70.58,521.91,1430.38,2329.2
0.23,0,69.31,470.09,1350.28,2325.53
0.24,0,65.13,432.28,1416.69,2224.76
0.25,211.18,61.46,409.47,1553.81,2066.7
0.26,214.24,59.82,393.44,1679.79,1912.37
0.27,229.57,59.25,497.29,1649.24,2299.24
0.28,242.64,60.77,469.91,1656.71,2251.71
0.29,0,60.27,379.03,1635.57,2342.05
0.3,0,59.68,883.99,1961.58,2993.33
0.31,0,60.97,1427.6,2370.02,3505.92
0.32,0,63.76,1803.47,2340.38,3416.68
0.33,0,68.72,2077.87,2408.12,3441.93
0.34,123.26,73.32,294.47,2238.11,2573.38
0.35,123.09,75.66,280.26,2235.87,2653.61
0.36,123.05,76.43,257.82,2248.54,2725.49
0.37,123.48,76.8,254.32,2218.9,2709.66
0.38,123.86,76.94,266.87,2210.84,2723.37
0.39,123.84,76.33,263.44,2221.94,2642.68
0.4,121.65,74.71,249.99,2280.9,3015.91
0.41,0,72.11,313.97,2325.62,3448.25
0.42,0,69.54,333.56,2365.95,3610.41
0.43,0,67.4,356.38,2341.19,3666.98
0.44,0,66.03,2055.27,2917,4161.87
0.45,0,63.83,1615.45,2519.88,3768.16
0.46,0,63.01,1702.47,2619.59,3665.06
0.47,0,63.64,1659.81,2235.62,3566.53
0.48,0,63.21,1943.07,3069.7,4050.47
0.49,0,64.39,1579.73,2391.01,3482.1
0.5,108.13,70.78,753.04,1976.3,2836.95
0.51,108.08,75.14,438.63,1732.13,2419.32
0.52,107.87,75.75,450.24,1841.7,2341.18
0.53,105.74,73.17,896.23,2058.98,2729.21
0.54,100.54,69.49,1220.16,2236.94,3134.01
0.55,96.83,67.78,1331.45,2169.79,3247.2
0.56,96.5,66.08,1574.52,2497.94,3703.02
0.57,0,64.3,1481.61,2509.5,3787.81
0.58,0,63.6,917.04,2048.22,3289.39
0.59,0,61.46,810.59,1952.11,3237.17
0.6,0,58.97,379.33,1759.97,3054.32
0.61,0,59.48,409.97,1695.7,2679.4
0.62,0,59.92,425.93,1681.16,2576.46
0.63,0,60.27,943.04,2059.85,3055.57
0.64,0,62.75,1302.99,2319.94,3161.55
0.65,0,61.47,1537.65,2407.19,3386.04
0.66,0,60.75,441.93,2324.66,3035.21
0.67,0,66.73,312.38,2131.02,2718.42
0.68,0,70.34,430.36,1992.15,2445.9
0.69,468.53,71.5,452.47,1941.39,2461.98
0.7,467.32,71.2,444.56,1933.78,2437.36
0.71,466.25,69.55,433.15,1912.56,2433.17
0.72,466.06,66.98,455.35,1906.61,2448.19
0.73,463.29,65.62,453.64,1998.42,2460.07
0.74,459.93,66.99,444.84,2022.18,2421.18
0.75,458.93,66.96,417.97,1975.37,2384.81
0.76,457.94,64.49,363.79,2137.25,2398.43
0.77,457,60.71,395.73,2213.19,2687.79
0.78,463.71,60.44,423.24,2024.73,2881.1
0.79,477.99,60.41,425.6,2039.08,2808.23
0.8,487.12,59.64,415.68,1977.55,2911.82
0.81,488.19,58.7,401.84,1967.99,2946.38
0.82,0,60,422.32,1988.08,3096.51
0.83,0,61.97,359.59,1984.3,3089.43
0.84,0,61.33,346.02,2001.94,2953.62
0.85,0,60.01,357.93,1948.57,2974.21
0.86,0,60.9,1531.76,2201.02,3362.41
0.87,0,61.98,1436.92,2220.51,3037.43
0.88,0,59.69,1808.68,2547.73,3783.6
0.89,0,58.6,2206.37,3326.41,4243.1
0.9,474.75,59.93,1863.36,2464.64,3797.19
0.91,472.02,60.61,1601.91,2304.81,3797.47
0.92,469.62,59.44,1834.36,2309.17,3534.66
0.93,0,57.23,922.41,2194.12,2780.19
0.94,0,59.05,308.44,2045.68,2411.09
0.95,0,61.47,1769.29,2561.22,3367.61
0.96,0,61.73,1789.68,2311.31,3989.05
0.97,0,61.13,1547.36,2276.99,3674.07
0.98,51.27,63.05,1116.22,2258.08,3694.08
0.99,50.95,64.4,708.25,2193.49,3236.44
1,50.37,62.38,1784.8,2527.63,3927.9
1.01,0,58.01,1471.38,2533.21,3757.2
1.02,0,53.26,581.05,2081.79,3406.47
1.03,0,54.9,311.74,2093.33,3641.98
1.04,0,59.86,2007.62,2962.14,3943.95
1.05,0,0,1461.57,2382.46,3602.62
1.06,0,0,0,0,0
1.07,0,0,0,0,0
