time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,66.59,1179.82,2549.28,2866.84
0.04,0,67.53,1347.55,1952.8,2553.74
0.05,0,68.38,1405.47,2089.39,2678.24
0.06,0,68.11,1237.37,2315.08,2719.55
0.07,0,65.73,1489.14,2528.38,3911.17
0.08,0,61.8,1438.14,1976.43,2663.27
0.09,0,64.67,1301.92,2678.02,3486.73
0.1,0,67.22,306.13,1681.28,3085.02
0.11,112.6,70.36,533.08,2631.84,3308.33
0.12,111.95,73.99,594.42,2614.72,3312.3
0.13,112.36,76.42,498.73,904.48,2672.02
0.14,113.95,77.72,515.66,1029.48,2698.18
0.15,115.45,78.1,514.46,1000.98,2668.68
0.16,116.81,77.54,559.47,994.8,2674.31
0.17,119.35,76.72,625.83,1103,2712.19
0.18,121.33,76.36,644.13,1129.77,2663.37
0.19,122.78,76.76,667.55,1033.48,2669.11
0.2,124.56,77.69,616.41,1130.06,2645.48
0.21,125.5,77.89,626.27,1090.13,2612.12
0.22,125.74,78.8,547.31,1141.51,2631.73
0.23,125.78,79.69,541.32,1170.03,2623.88
0.24,125.87,79.48,526.86,1139.6,2567.14
0.25,125.82,79.23,515.36,1110.49,2583.27
0.26,125.64,78.75,509.58,1094.33,2522.83
0.27,125.41,79,488.25,1078.86,2517.89
0.28,125.36,79.2,478.91,1054.24,2506.15
0.29,125.49,79.31,476.48,1080.32,2510.31
0.3,125.54,79.39,493.37,1149.65,2521.33
0.31,125.12,79.56,509.61,1186.31,2554.82
0.32,124.36,79.34,527.87,1252.01,2519.24
0.33,123.83,78.5,519.41,1261.07,2504.81
0.34,123.57,77.04,499.04,1281.06,2477.31
0.35,123.22,75.39,480.91,1272.85,2559.85
0.36,122.87,75.62,492.59,1303.01,2476.73
0.37,122.78,75.44,492.49,1341.56,2477.14
0.38,123.36,73.36,458.14,1390.65,2497.3
0.39,124.41,70.22,516.21,1711.12,2372.44
0.4,124.44,67.38,956.72,2603.35,3683.44
0.41,0,66.71,611.66,2101.68,3280.79
0.42,0,67.43,499.16,2140.31,3302.74
0.43,0,67.27,1209.73,2386.29,3261.53
0.44,0,67.24,1417.3,2721.01,3572.22
0.45,0,67.84,1709.4,2277.19,3304.78
0.46,0,67.88,1590.29,2386.25,3330.9
0.47,0,67.89,1482.26,2402.18,3281.91
0.48,0,69.34,2416.14,2665.03,3365.32
0.49,0,71.81,287.74,2252.13,2683.7
0.5,125.28,72.65,253.3,2175.19,2814.73
0.51,125.32,73.05,251.35,2151.69,2913.2
0.52,124.98,74.06,256.04,2168.69,2849.97
0.53,124.02,74.29,250.3,2211.96,2875.83
0.54,120.42,74.39,227.7,2184.18,2847.75
0.55,118.97,74.52,221.8,2228.03,2777.48
0.56,115.19,74.29,293.37,2216,2680.25
0.57,111.21,74.36,320.95,2088.7,2695.89
0.58,107.66,74.32,322.75,2041.95,2570.37
0.59,106.27,74.34,327.81,2025.2,2503.37
0.6,103.91,73.74,324.9,2029.59,2364.97
0.61,99.04,72.6,346.08,2021.77,2387.49
0.62,95.28,72.15,326.2,2105.04,2330.78
0.63,94.5,72.12,263.12,2070.34,2319.06
0.64,92.78,71.5,295.51,1948.44,2485.69
0.65,0,69.65,331.91,1974.71,2336.91
0.66,332.24,68.85,275.59,2025.98,2277.57
0.67,336.86,70.44,348.06,1865,2365.01
0.68,338.1,69.7,348.76,1894.98,2353.87
0.69,336.04,67.64,328.38,1816.36,2395.58
0.7,336.59,66.49,325.85,1760.08,2422.07
0.71,336.53,66.74,310.91,1797.19,2434.98
0.72,0,66.13,322.5,1823.56,2493.53
0.73,0,64.77,306.55,1678.74,2481.71
0.74,0,64.64,270.14,1667.09,2562.58
0.75,0,64.59,280.64,1683.46,2578.09
0.76,0,63.2,2276.83,3453.14,4531.64
0.77,0,62.43,280.76,2020.39,3250.35
0.78,0,61.81,322.03,2083.6,3385.86
0.79,0,60.77,338.67,2157.87,3593.96
0.8,0,62.43,271.34,2324.33,3762.49
0.81,0,63.03,159.71,2731,4109.24
0.82,0,62.08,1589.47,2642.98,4105.21
0.83,0,61.34,1621.5,3434.52,4218.35
0.84,0,60.12,1784.12,3535.98,4391.94
0.85,444.65,61.43,1843.84,3040.96,4080.72
0.86,445.82,63.28,1421.83,2968.48,4165.44
0.87,449.21,64.54,1485.94,3051.7,4056.82
0.88,451.82,64.37,1411.66,2972.73,4012.88
0.89,473.12,62.94,1566.72,3019.75,4030.39
0.9,475.06,59.87,2114.12,3499.36,4306.51
0.91,0,57.54,1769.84,3423.64,4235.97
0.92,0,57.18,1507.31,3424.58,4082.3
0.93,0,57.22,2207.6,3505.93,4035.9
0.94,0,58.38,1622.86,3190.88,4037.99
0.95,0,59.28,1561.34,3203.23,3841.25
0.96,0,58.67,1699.22,3270.33,4038.74
0.97,0,58.46,2048.1,3374.05,4007.22
0.98,0,58.64,1608.22,3237.84,4003.45
0.99,0,60.32,1552.54,3246.98,4185.49
1,0,62.17,1580.75,3030.39,4265.17
1.01,0,63.03,1225.56,2177.97,3223.8
1.02,0,62.83,1677.74,3162.84,4243.85
1.03,0,60.6,1715.68,2978.86,4036.37
1.04,0,0,1665.35,3003.32,4251.64
1.05,0,0,0,0,0
1.06,0,0,0,0,0
