time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,53.17,56.24,156.06,1759.61,3018.1
0.04,51.29,55.92,1205.06,2238.08,3435.29
0.05,0,55.67,1239.64,2518.04,3625.55
0.06,492.19,56.04,1225.35,2493.55,3752.83
0.07,491.14,59.06,1258.63,2388.23,3277.98
0.08,491.58,63.06,1067.75,2427.44,3333.72
0.09,492.42,63.56,1161.44,2451.49,3300.35
0.1,492.4,63.34,1009.91,2719.04,3670.44
0.11,485.76,61.94,1734.08,2409.25,3278.75
0.12,0,61.02,1032.69,2108.22,2824.42
0.13,0,67.37,577.28,1813.04,2480.99
0.14,0,73.66,573.85,1706.56,2460.76
0.15,124.37,75.97,612.43,1742.71,2491.84
0.16,124.51,75.99,617.95,1727.97,2503.93
0.17,123.78,75.13,600.47,1719.83,2525.07
0.18,122.97,73.29,568.3,1689.97,2547.41
0.19,119.05,70.39,473.52,1699.39,2576.26
0.2,123.29,66.84,509.79,1717.05,2564.86
0.21,124.58,63.87,530.11,1670.46,2558.24
0.22,0,62.63,515.93,1677.71,2707.47
0.23,0,64.38,540.95,1718.13,2651.37
0.24,451.64,66.9,545.94,1971.38,2893.48
0.25,440.15,67.61,475.94,2323.01,3183.46
0.26,0,68,534.91,2512.51,3102.35
0.27,0,67.78,322.33,2558.9,3104.75
0.28,0,66.86,530.11,2543.36,3200.6
0.29,0,66.33,458.92,2350.34,3270.3
0.3,0,65.33,1710.87,2999.52,3786.17
0.31,0,65.4,337.66,2235.77,3250.35
0.32,449.76,65.37,2118.6,3135.43,4066.92
0.33,488.07,66.07,1871.62,3280.89,4242.83
0.34,492.95,65.49,1906.05,3176.44,3967.31
0.35,492.22,63.43,1709.91,3106.74,4157.58
0.36,488.84,62.65,1826.95,3117.75,4291.81
0.37,488.03,63.22,1913.73,3325.5,4395.32
0.38,493.12,65.55,2002.92,3329.15,4321.83
0.39,0,66.78,2080.62,3309.53,4378.54
0.4,0,65.82,1518.5,3171.2,4150.61
0.41,0,66.23,392.51,1751.96,2728.55
0.42,0,68.96,397.68,1404.08,2474.27
0.43,99.09,69.44,318.96,1347.82,2616.11
0.44,98.31,69.19,1308.39,3073.38,3314.43
0.45,98.28,70.65,1309.63,2537.8,3438.14
0.46,98.68,72.25,521.15,1732.71,2743.17
0.47,98.54,72.89,166.23,1419.63,2338.55
0.48,98.06,73.2,196.6,1465.09,2323.48
0.49,97.48,73.41,201.69,1483.99,2321.85
0.5,97.1,73.79,199.24,1486.19,2304.61
0.51,96.87,74.14,199.08,1497.89,2322.97
0.52,96.43,74.2,200.08,1628.21,2390.97
0.53,95.91,73.88,204.68,1488.53,2373.91
0.54,95.65,73.7,209.34,1604.89,2445.02
0.55,175.46,73.52,205.03,1651.02,2745.65
0.56,191.14,72.5,207.18,2148.07,3239.74
0.57,193.18,70.75,203.99,2183.87,3502.79
0.58,195.51,68.09,226.8,1974.95,3281.1
0.59,193.65,66.53,180.86,1929.03,2862.41
0.6,0,67.19,1870.35,2409.59,3516.78
0.61,0,66.55,213.61,1940.9,2471.47
0.62,0,65.22,303.65,1897.46,2527.93
0.63,85.79,64.44,337.53,1911.43,2502.61
0.64,85.8,65.02,324.46,1952.85,2517.4
0.65,85.9,65.93,309.86,2006.06,2539.86
0.66,0,66.61,318.16,2050.47,2559.64
0.67,0,66.59,319.5,2079.27,2570.23
0.68,0,66.31,321.7,2216.8,2619.96
0.69,0,65.43,319.53,2165.97,2616.89
0.7,0,64.99,305.41,2138.54,2530.23
0.71,0,64.62,295.98,2104.08,2538.92
0.72,0,62.41,285.38,2126.35,2564.71
0.73,0,63.58,290.85,2069.03,2493.04
0.74,480.7,66.62,304.67,2043.01,2467.44
0.75,488.47,68.19,268.18,2057.76,2480.96
0.76,494.37,67.46,261.59,1990.15,2449.89
0.77,488.47,63.82,298.03,1952.15,2419
0.78,0,62.32,294.3,1939.12,2406.09
0.79,0,62.69,283,1867.75,2397.84
0.8,0,63.77,234.31,1863.56,2377.61
0.81,0,64.98,241.76,1802.11,2343.13
0.82,0,63.72,226.45,1945.58,2318.68
0.83,0,61.78,239.21,1794.08,2516.85
0.84,0,61.64,223.92,1885.39,2689.41
0.85,0,62.39,148.46,2135.7,2888.57
0.86,0,64.87,1863.58,3259.59,4369.84
0.87,0,65.35,1517.16,2471.1,3824.01
0.88,0,63.79,1974.15,3114.59,4324.83
0.89,0,60.39,1592.03,2757.53,4076.6
0.9,0,58.65,1803.58,3120.62,4419.07
0.91,0,62.39,1754.53,3157.2,4219.92
0.92,50.8,62.29,1812.15,2557.1,3942.26
0.93,50.79,62.66,2388.26,3782.4,4688.45
0.94,0,65.41,1145.71,2529.19,4153.28
0.95,0,64.31,1141.1,2562.85,4069.71
0.96,496.91,61.26,1967.11,3167.53,4075.16
0.97,0,59.66,2120.87,3449.99,4460.63
0.98,494.49,58.28,1892.04,2509.31,3758.18
0.99,495.71,60.45,2015.65,2808.78,3764.51
1,497.38,63.46,1788.29,3433.27,4211.07
1.01,0,63.92,1865.31,3319.36,3993.11
1.02,0,62.07,1681,2654.8,3750.39
1.03,0,59.88,1544.27,2410.83,3475.94
1.04,0,59.16,1662.57,2844.45,3823.06
1.05,0,57.92,1691.79,3054,4143.81
1.06,0,56.89,1730.75,2953.86,4187.47
1.07,0,60.85,1768.59,3136.28,4228.13
1.08,0,63.43,1727.3,2880.74,4216.58
1.09,0,62.38,1401.08,2551.68,3866.87
1.1,0,0,0,0,0
1.11,0,0,0,0,0
